sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.852104102122823,0.6520269226659889,1.4579765222411498
6,3.4210753721557636,0.589354576195891,1.443617989254162
7,3.1755832353827764,0.5100778517284509,1.349539144955559
8,2.9872360987707394,0.46995316666421005,1.3292282839534189
9,2.9879064025205544,0.43130966816690036,1.293929004500701
10,2.5647287833104926,0.28023572261523577,0.8861831652073029
11,2.499739914421992,0.24570338379102136,0.8149059337555086
12,2.4028735807270807,0.22280367540775683,0.7718145718386384
13,2.36756293030178,0.2613827689418695,0.9424289759426667
14,2.427415042415325,0.3487534845446201,1.3049160516095293
15,2.460294258757565,0.33399646348800305,1.2935627407812094
16,2.3591457952148973,0.3087080490852976,1.2348321963411903
17,2.336119983650003,0.2972849608969048,1.2257372946855545
18,2.262699539738159,0.2509812482424437,1.0648232554973773
19,2.2528809340245983,0.23192997912617225,1.0109593409884827
20,2.187019718300729,0.23427838189897607,1.0477247751695336
21,2.2150473811029214,0.22887765478078967,1.04884917791694
22,2.228475078667098,0.21731349330138378,1.0192906338030938
23,2.2251311073211957,0.21867441651139918,1.0487256600473835
24,2.1922198974593647,0.20584331873192974,1.0084221957086206
25,2.0073927537339267,0.18133598377805285,0.9066799188902642
26,1.9536108870014217,0.17510586958381374,0.8928682459524995
27,1.8397397799276032,0.15859070409405468,0.8240614712970727
28,1.8209461742704154,0.1576045897220583,0.8339650997738653
29,1.7993125613327012,0.1590980643453498,0.8567692969957984
30,1.6285661310896145,0.14596845485113696,0.7995021540614211
31,1.6511640632662317,0.1462342791525561,0.814198008089739
32,1.5595318466934953,0.12752921450681848,0.7214141790173215
33,1.5277587524447587,0.11493640479119364,0.6602593776908655
34,1.4627380504540617,0.10531831794204256,0.614106045566073
35,1.3931471151073598,0.11471098286745132,0.6786393266416152
36,1.380748182888243,0.11424013254797004,0.6854407952878202
37,1.3550267777917238,0.11119941372718528,0.6763996272108521
38,1.374682185386883,0.10858795223304041,0.6693810932990806
39,1.334491224902574,0.11122529148916481,0.6946017227211126
40,1.350632204266951,0.11003073984179482,0.6958955010670133
41,1.3314611167321615,0.10733601593064859,0.6872858451550143
42,1.3418736566687546,0.1078667958562887,0.6990567339127025
43,1.3200378151650227,0.09942658326597427,0.6519837074480203
44,1.3068025081521306,0.09851060044062794,0.6534453990683644
45,1.244859003576997,0.09403970961342337,0.6308375498398654
46,1.2398652473011942,0.09254274147794399,0.6276554102464699
47,1.1919077187200475,0.09586881815469311,0.657243504217233
48,1.215405792509146,0.09598816834096119,0.6650255379680766
49,1.2130519064936365,0.09486667983284591,0.6640667588299214
50,1.1934518958133231,0.09009807770026668,0.6370896171373103
51,1.2097161521706934,0.0950542335165162,0.6788230054881995
52,1.152978435842817,0.08449935773952787,0.6093335341472852
53,1.1764621439863672,0.09193671235961762,0.6693093688371906
54,1.1581100043178831,0.09307665069516428,0.683970903511253
55,1.152017596984676,0.09236913121393565,0.6850278111631304
56,1.1279555418584342,0.08773182686369266,0.6565248760794162
57,1.125745072370201,0.0857620981315492,0.6474896417146394
58,1.0860847789223977,0.0849656362955178,0.6470790078220189
59,1.1007377235182587,0.08144601149235979,0.6255986848553972
60,1.0859429722771592,0.08385455950328671,0.6495346249195767
