sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,1.0537564748921768,0.10014991364047769,0.22394201484084156
6,0.8339037520920703,0.035681007056519075,0.08740026079711766
7,0.8139050736110756,0.0323358549511476,0.0855526306313932
8,0.7326382190451652,0.026150968814659496,0.07396610953377465
9,0.6969391782555396,0.019178505587595717,0.057535516762787155
10,0.6733026966516855,0.018887710612193995,0.0597281853206663
11,0.6531154574460347,0.011161142945341016,0.0370173233812183
12,0.6420991959533723,0.011691156012665961,0.04049935242630363
13,0.6268457419733523,0.008901666342963334,0.032095414436626314
14,0.6190131773258748,0.0070404705425202,0.026343028611785044
15,0.6155873782713392,0.006669459563941909,0.025830705819350794
16,0.6049621682107158,0.007402305287023686,0.029609221148094743
17,0.6041701705116089,0.006701288647047413,0.02763012091952895
18,0.5986438237614605,0.006736031671802004,0.02857856204051132
19,0.5864080743320703,0.0056914490713449355,0.02480845134430099
20,0.580034195639549,0.005709177269754619,0.025532216941535964
21,0.5786854677487899,0.005003241666585304,0.022927733657284163
22,0.5758022707084579,0.005022716338128519,0.023558627869480632
23,0.5738483705569521,0.005331053516137599,0.02556683450515981
24,0.5705110057379311,0.00510681813931372,0.02501819730101606
25,0.5669442311337973,0.004868268626848947,0.024341343134244735
26,0.5629372626673883,0.00484662295767928,0.024713025036233426
27,0.5581222198039227,0.004948973812714678,0.025715622266849054
28,0.5572525737326661,0.0045389623923815705,0.02401793140103282
29,0.5528054552255407,0.004460155517026726,0.024018672524639118
30,0.5460690209262486,0.0044664333921652115,0.02446366320483204
31,0.5418846581330894,0.004322984755672473,0.02406936046369064
32,0.5421001148902542,0.003967110907270521,0.02244136819400082
33,0.538446931309544,0.003403373789486663,0.019550893943291663
34,0.5417828855367951,0.004022869733536819,0.023457159895482325
35,0.5345657347115089,0.0035759025371255838,0.02115532470622329
36,0.5341442389048584,0.0033862755945949946,0.020317653567569968
37,0.5342992571615769,0.00263804734907129,0.01604661556808339
38,0.5298505319692232,0.0023991168216958027,0.01478914933042003
39,0.5253345606224749,0.0028575812306958406,0.017845589065956357
40,0.5246683619360921,0.0025228183132342246,0.015955703985208524
41,0.5218918465720594,0.003417405900673941,0.021882074551751344
42,0.5168654761567372,0.003377649099842399,0.02188966798628931
43,0.5161672168783642,0.0026476848060217593,0.017362030347216152
44,0.5172220506817673,0.0024636446078487332,0.016341969562033033
45,0.5154182221769238,0.002636736461378631,0.017687765899184603
46,0.5154968072568102,0.002246046030535414,0.01523342533637983
47,0.5175044005022462,0.0029206703287154253,0.020023106975312736
48,0.5139072120061471,0.002811447150353267,0.01947827722882638
49,0.5135349117295528,0.0027690739957084267,0.019383517969958988
50,0.5082732342066985,0.0028213184239320017,0.019949733894488612
51,0.5083893019620191,0.0026693594471103887,0.019063039441593554
52,0.5080014357507993,0.0027970473629112904,0.020169795373755982
53,0.5067301726483857,0.0022057657258660224,0.01605821687431325
54,0.5065032699273979,0.002559990247918764,0.018812009561705933
55,0.5043546255535919,0.002245124517156456,0.01665028904747709
56,0.5052680225992814,0.0021711704121371643,0.016247551621036086
57,0.5016924529694526,0.002223086055138358,0.01678393165165378
58,0.49892256116655986,0.002522890896860333,0.0192137646413378
59,0.4973192324515049,0.0023851609546473476,0.018320768924771705
60,0.5012174102315208,0.0020384603409022476,0.015789845904437397
61,0.4995364265537566,0.002086749954621467,0.016298038156780537
62,0.49841469351621887,0.002207081616661136,0.0173785780281765
63,0.4978917563441283,0.002166047802112761,0.01719247143680524
64,0.49664121190594185,0.0018227325116643887,0.01458186009331511
65,0.49625915274653015,0.0021616269793094333,0.017427593862868667
66,0.4969475716562216,0.0022354554430719506,0.018160925871369023
67,0.4960231438480053,0.0025528236220100043,0.020895761910521057
68,0.4949386322504248,0.00233763644540866,0.019276643957426638
69,0.49355366641247167,0.002169237513433042,0.018019040093419973
70,0.48990409398059487,0.002311110541818418,0.019336138072409796
71,0.4944584253008692,0.002132684292841717,0.01797031727038502
72,0.4897783011583711,0.0019936579186230615,0.016916748403495496
73,0.49126464230802114,0.002201420470147965,0.018808944741962895
74,0.4876664862004584,0.0022711654850001766,0.01953730423725214
75,0.4922656747552702,0.002396032326174605,0.020750248627559302
76,0.48786688087908114,0.0018648742774810033,0.016257597035896246
77,0.4844143865899538,0.0022727077138190214,0.01994292925171328
78,0.48832613811013764,0.0022261325271659273,0.01966067013668355
79,0.4868803372254771,0.002060137102948998,0.018310899097335992
80,0.48978548952700524,0.001777953026057573,0.015902495308264753
81,0.4870712324581491,0.0015676022126810249,0.014108419914129224
82,0.4821124887210674,0.0019280565293512987,0.01745929444137656
83,0.4860796921832745,0.0018853962480412996,0.01717677728814813
84,0.4859727756068593,0.0016703840585796778,0.015309322776177846
85,0.4855657207662535,0.0017410258727813305,0.016051465435404626
86,0.4846355318707314,0.002154091080023929,0.019976218880692224
87,0.48436350120729443,0.001825990545375724,0.01703170596407575
88,0.48216038534108396,0.0017864124131170606,0.01675803387205693
89,0.4822492865099533,0.001998108217724715,0.01885011522582221
90,0.48281472005707265,0.0021197171928341446,0.020109402974322732
91,0.4813244366219284,0.0016848130023395514,0.01607209169988678
92,0.4826130514299125,0.0019238410517929273,0.018452835124063236
93,0.48250765613081636,0.0015141405785552326,0.014601842942634481
94,0.48081462670054675,0.0017324880417096257,0.01679709476602083
95,0.48313367639151944,0.0019126147631062201,0.01864186275684184
96,0.48099978265805393,0.0018409745911298733,0.018037793510788318
97,0.48068218405737567,0.0019395220246006214,0.019102076623743205
98,0.4797088777714064,0.0017982059840941343,0.01780133103452468
99,0.4815084815191186,0.001910345219073474,0.019007694935148003
100,0.47649841259474846,0.0016333453718227297,0.0163334537182273
101,0.4771760483740299,0.0019363218923558604,0.01945979418062983
102,0.47938518292368537,0.0020102435527007126,0.020302464687811373
103,0.4762994885085906,0.0018675448640254754,0.018953510317939442
104,0.4748542937811256,0.001762414244846509,0.017973169251012482
105,0.4787420949853319,0.001979339897763174,0.020282198481478747
106,0.47485355623713943,0.001790352577835396,0.018432807963355877
107,0.4770926420509641,0.0018742178842925676,0.0193870605436932
108,0.47801735098259784,0.001986645104915387,0.02064582154992872
109,0.4792979271875998,0.0019455738454764078,0.02031238728249347
110,0.4776556499661041,0.0017706580249108213,0.01857081803609954
111,0.477023797122799,0.0020102345553382286,0.021179135237063464
112,0.4791846374632437,0.0017511730681996208,0.018532673764360595
113,0.4770456206898014,0.0020389871025824867,0.021674730210737177
114,0.4754854132240512,0.0019852812331215626,0.02119700307832814
115,0.4754243544614439,0.002073045741262572,0.02223093889643872
116,0.4756713950355409,0.002033521813155202,0.02190170020548748
117,0.47569689338046367,0.0020692379042467853,0.02238223009468629
118,0.47403958356034737,0.0019407234196210038,0.02108165250147441
119,0.47537485667167345,0.0018198690885320187,0.019852427973120288
120,0.4735827163076096,0.0018101630295949721,0.019829342481421156
121,0.4728090319071917,0.001961552279075535,0.021577075069830882
122,0.4715277176727518,0.001989499780171197,0.021974743315605564
123,0.4697196065276,0.001790388547301564,0.01985636954450532
124,0.4710227921326194,0.001968539812880031,0.021920731633931035
125,0.4707716556387768,0.0018017042408758617,0.02014366578974041
126,0.4671689370683988,0.00186232880471231,0.0209045889862611
127,0.4692955739240371,0.0017518492578286879,0.019742338499115938
128,0.4684791982088405,0.0017384729270218027,0.019668575929701483
129,0.465274467936547,0.0018468380820654306,0.02097604839516629
130,0.4680900263677895,0.001777102261945956,0.0202620832695887
131,0.4679341782298919,0.0016800708063878476,0.019229289295146855
132,0.46474855689691436,0.0018673605775312502,0.0214543396426074
133,0.4682993770101939,0.0016845696305334383,0.019427404709208333
134,0.4667266228060857,0.00166012922581487,0.01921738515558834
135,0.46725048775719336,0.0016408219934390177,0.01906462876404051
136,0.46651452296691387,0.0016454594768428698,0.019189190108776177
137,0.4647801245403003,0.0017627522605608886,0.020632486226807852
138,0.46683756237095037,0.0016781718227254882,0.019714055188859308
139,0.46586743564131466,0.00180813879956859,0.021317642052352846
140,0.46663025988849727,0.0015949428278767585,0.018871618038402843
141,0.4680111508482413,0.0017158651810130676,0.0203747701345864
142,0.46461307255980416,0.0014941081205976374,0.01780435308561039
143,0.4680215657569562,0.0016940017863780125,0.020257315060787828
144,0.46224598886395396,0.0016700375201565726,0.020040450241878872
145,0.4663810605568603,0.0015470723058504513,0.018629217491128492
146,0.4650663420657349,0.0016170507965553532,0.019538899116416056
147,0.4616870599664125,0.0014588112514558199,0.01768714644322232
148,0.4668832215874417,0.0015801767159081125,0.01922367943755112
149,0.46448033906996233,0.001422051150542498,0.017358346457515102
150,0.46175178949661333,0.0014413837718604693,0.01765327382293174
