sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,1.0545354574071,0.09311350414918433,0.20820812490078489
6,0.9876715835276677,0.06509111769694519,0.1594400251449598
7,0.9545149196690131,0.05985119923509592,0.15835138884504307
8,0.942982329562702,0.04916048896059906,0.13904686044194403
9,0.9245969694303338,0.04179112182317659,0.12537336546952976
10,0.9146523492412018,0.05033977660712073,0.15918835098256467
11,0.8890213646839351,0.03936860884336452,0.1305709040517076
12,0.8969672858871643,0.038282033403562246,0.13261285374403745
13,0.8853607949555876,0.03519399084990213,0.12689373859753258
14,0.8769813599468186,0.03267775903474734,0.12226897847558128
15,0.8720948167001514,0.02970840730753344,0.11506016674442374
16,0.8526803608663697,0.03633459138243115,0.1453383655297246
17,0.818788748715049,0.023403676613336696,0.096495830704585
18,0.8184507428707569,0.023877470594980046,0.10130352825175666
19,0.8061762453310873,0.02353179230485804,0.10257270461726428
20,0.7916954019885009,0.021470326133380953,0.09601821746666006
21,0.8056964382467834,0.03265684095912821,0.14965244565333927
22,0.8064026475337901,0.033121080143239945,0.1553516362862275
23,0.7682236448284498,0.01637623123356442,0.07853764598298657
24,0.7594811753824169,0.01405986770120316,0.06887900343797128
25,0.7722147636344835,0.012452127084734234,0.06226063542367117
26,0.749178746347752,0.009614516057831429,0.04902460499263363
27,0.7449832172749546,0.011046129612952166,0.05739737314987287
28,0.7457387249410663,0.011193358690729434,0.059229686862427265
29,0.7412049961153236,0.008960576530304264,0.04825418138262992
30,0.7238622751919583,0.007253368897440924,0.0397283376303477
31,0.715791798640952,0.008293079050878784,0.046173909997615115
32,0.7103850821898499,0.008731192706654053,0.04939108456577286
33,0.7165872798150199,0.00745462083934845,0.04282353641782507
34,0.7001278429501819,0.008876981836774635,0.051761254061648374
35,0.7054828190783307,0.0074213773386163015,0.04390546043574153
36,0.6975129852768724,0.008232836932850537,0.04939702159710322
37,0.6973136026888801,0.007722971117023211,0.04697699933320417
38,0.6876165301706959,0.006888312076218429,0.04246240741946118
39,0.6850169442268854,0.00540761657594133,0.033770554692859604
40,0.6867594896655911,0.004912327414331679,0.03106828648354754
