sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.9664097254513859,0.06956267201465936,0.15554686332130058
6,0.9309278394963956,0.06037094535882078,0.1478780114185552
7,0.8956493955273886,0.04402617468108512,0.11648230938363964
8,0.9117123371114921,0.04284506906733405,0.12118415551167157
9,0.9844911381603513,0.08779590314027656,0.2633877094208297
10,0.9585278252014889,0.08541198859763639,0.27009642345286194
11,0.8772865389973896,0.04326248710510778,0.14348543722523127
12,0.8732155537414593,0.03481648227777285,0.12060783249184792
13,0.8665713546708966,0.03631232067588978,0.13092593412801176
14,0.8616007641508713,0.03438494242922465,0.12865667383410512
15,0.8508234460624221,0.0348977546733639,0.13515842266997044
16,0.8104582884605616,0.030949979561557237,0.12379991824622895
17,0.7815389974562524,0.02108155415619883,0.08692147453818677
18,0.775162659951823,0.018968919025031037,0.08047830764626775
19,0.757814166476095,0.019749776843602112,0.08608728141874131
20,0.7440471573537475,0.017659468023009287,0.07897554189186518
21,0.7443300154357523,0.015762008942258963,0.07223059908247254
22,0.7287283757414221,0.009684532855169434,0.04542448553041451
23,0.7069232649231274,0.008829266847273922,0.04234367627389618
24,0.7026157586472215,0.009671112581522132,0.047378582139479604
25,0.6911170203807561,0.009379857127962413,0.04689928563981206
26,0.6918844423342118,0.007001142277320603,0.03569896108949718
27,0.6827697932640947,0.007499247075323171,0.03896723085891612
28,0.678141464102548,0.007757062997594757,0.041046519191793904
29,0.6781382098697815,0.005438473411843934,0.029287075621998667
30,0.6790511918838318,0.005606223983612243,0.030706553382508984
31,0.6772121449307427,0.005581260621345949,0.031075143987196515
32,0.6765951468354192,0.004529809698850578,0.025624473244334693
33,0.6801393710339881,0.004242066299337353,0.024368815607311165
34,0.677923396749988,0.004364086022597496,0.02544677566273276
35,0.6866077584942538,0.006016123171377398,0.03559186466682297
36,0.6876202860317139,0.0052385284029191235,0.03143117041751474
37,0.6855837070252319,0.005829541482607881,0.03545971649922635
38,0.673367454545976,0.005352074199612509,0.032992401141020325
39,0.6672118193062678,0.0052372936060377925,0.032706888086730744
40,0.6625651903527897,0.004866873010437566,0.030780807591566282
41,0.6611206050894136,0.005205140311977475,0.033329160090861745
42,0.6556113123156474,0.004897306665855256,0.031738174621992264
43,0.6568313782866768,0.005045186129161979,0.03308349788564085
44,0.6528211525197787,0.004475777269294178,0.029688947694900537
45,0.6478799317635169,0.004570013784172812,0.030656584438564383
46,0.6495161245105046,0.0046076663706431575,0.031250713777851075
47,0.6458064377010695,0.004801335615577354,0.032916298601002265
48,0.6363527697268795,0.0038197212657131527,0.02646380521186592
49,0.6373174140211908,0.004461128628086245,0.031227900396603718
50,0.6328509683655025,0.00420514713583641,0.02973488055637114
51,0.6320255693960055,0.004197893747879789,0.029978957751111018
52,0.633296150890856,0.004348310283996255,0.031356111381151755
53,0.6352012535678851,0.004374106827277271,0.03184397837003069
54,0.6310757577342253,0.003886491627393909,0.028559764130142246
55,0.6346074148496109,0.003668966006679676,0.02720978014794323
56,0.6282791491456283,0.0037844137322720563,0.02831995919192896
57,0.6305699985295737,0.003988739804519666,0.03011432512949769
58,0.6260304894224663,0.003250508831011854,0.02475513773559321
59,0.623501532377963,0.0027126099659051817,0.020835952505238595
60,0.6242232199387254,0.0030251728239814395,0.023432887933358754
61,0.6241465297648903,0.003507538162702998,0.02739474879848131
62,0.6162410109608542,0.00369096458072087,0.029062684171294834
63,0.618027619130178,0.003180924120815883,0.025247802489136807
64,0.6152861463475164,0.0032853512699983693,0.026282810159986954
65,0.6117006577354285,0.003254815912814583,0.026241164812374786
66,0.6144573153350285,0.003232472276993765,0.0262607289202184
67,0.6125462725422642,0.003597470710800371,0.029446566854379772
68,0.610788852491953,0.0028341610970720236,0.02337109112648876
69,0.6105539767451178,0.0029660324103448726,0.024637715597959135
70,0.6077369220237056,0.003191107345187579,0.026698719560977233
71,0.6072366505120038,0.003095135771402034,0.026080077578149286
72,0.6093361117565295,0.0030903889645283555,0.026222819919864873
73,0.6076552103504458,0.003206076317055102,0.027392728060692626
74,0.6058130619500213,0.0028509145444928817,0.024524494220270438
75,0.6060330886100068,0.002698303216410653,0.023367991325248853
76,0.6049779141211513,0.002888611705402601,0.025182333021957243
77,0.6112567506875741,0.0026570629808148616,0.02331563303170837
78,0.607883214619209,0.0022040307689683925,0.01946547269355752
79,0.5999849022688284,0.002815171618002903,0.0250217926589187
80,0.5980899110352055,0.0030061927877517896,0.026888205707530397
81,0.5968935167301923,0.0023968331967058843,0.02157149877035296
82,0.5993425304902995,0.002387195399749323,0.02161697374472003
83,0.5973216759922115,0.002258190294643539,0.020573092688418258
84,0.5965530765093735,0.0023696759606013137,0.021718438923945423
85,0.5947214668224677,0.0024855356859848662,0.022915506757125448
86,0.5956147040152941,0.002692405884332884,0.0249683450063309
