sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,1.1279991101363813,0.08030076842288857,0.17955797683904742
6,1.1214304229237553,0.1005482693982105,0.2462919545455163
7,1.062855738323633,0.07476278091257757,0.19780372561828685
8,1.0105303324711605,0.055126943942207,0.15592254355050095
9,0.9895109140450977,0.04253977387915939,0.12761932163747816
10,0.9616922697951745,0.03916014825530685,0.1238352619966386
11,0.9030331397757573,0.02909936287921965,0.09651166830876758
12,0.8691381901021709,0.014812265475576278,0.05131119275779298
13,0.8417975155168229,0.015315930548946359,0.05522237292567142
14,0.8166803684034984,0.01018651090406389,0.038114433769643956
15,0.8167755781804829,0.01797518391021022,0.06961758792925969
16,0.8062211324735985,0.0175762498860943,0.0703049995443772
17,0.7846472253957125,0.013772211641741642,0.056784283297262
18,0.7810424189895602,0.014609766857788859,0.061983991300181875
19,0.760925552451,0.008690952356422508,0.0378829830447724
20,0.7522771404441032,0.009337883516835715,0.04176028461923892
21,0.7459191705116293,0.008890267619368836,0.040740324314172544
22,0.7418401523280004,0.007989734397946119,0.037475176136929834
23,0.7456471271948627,0.009602811575149903,0.04605346646453617
24,0.7485592620759159,0.008684986108529346,0.04254756877811404
25,0.7400132493459257,0.010752933090424783,0.05376466545212392
26,0.7380720087272327,0.010939293866752686,0.05577967289149781
27,0.7304260988148502,0.009473785658036004,0.049227234299207126
28,0.7168860975102885,0.009671697912027807,0.051177814861936476
29,0.7183866071351556,0.009052001411746231,0.04874651943666765
30,0.715876225125587,0.009022716486506285,0.04941945349633249
31,0.71735361308616,0.008716729185380643,0.048532694118802705
32,0.7089367944292927,0.008152329369512776,0.04611653903718989
33,0.7036686601402088,0.009630222358544544,0.055321415638750336
34,0.7034701791658394,0.00963817290358491,0.05619972255500506
35,0.7029655836209087,0.009262015534523903,0.054794822854551443
36,0.7061609761504762,0.009758440227634252,0.05855064136580551
37,0.7065927532079592,0.009496027314301544,0.05776207913412186
38,0.7081359852447584,0.010169459147397678,0.06268875637083919
39,0.7082417493090595,0.00978868703560918,0.061130330944327675
40,0.7020017326205836,0.009787877869546883,0.06190397505464916
41,0.7028767487793885,0.009386450140180174,0.06010260639604263
42,0.7062790218987175,0.009027260268342248,0.05850333301616587
43,0.6997171888717469,0.009139059702825764,0.05992882217120565
44,0.6925890791997534,0.00828923256862117,0.054984548460220675
45,0.6882999253330484,0.008328787776152325,0.05587120691293771
46,0.678234795259802,0.007601704164776886,0.05155726607961449
47,0.6708344381735732,0.007876784198894395,0.05400051182951661
48,0.6687330227015824,0.007227464085454858,0.050073340023548574
49,0.6642739688277042,0.007733839798463474,0.05413687858924432
50,0.6718130986918579,0.007754552592725132,0.05483296723383665
51,0.6632376926228288,0.0069324828505238755,0.04950783010911698
52,0.6552672519098557,0.006742448522140545,0.04862048773750826
53,0.6599246771948183,0.0065469543043664875,0.04766254677588612
54,0.6505942503918754,0.005440839260092085,0.03998183987918274
55,0.6517978470970298,0.005422193013736776,0.04021205962521535
56,0.6510270876261687,0.00586450747928465,0.04388595545931288
57,0.6483732910185924,0.005608262672948402,0.04234145465026942
58,0.6470288058185554,0.005585121691568454,0.04253501957162417
59,0.6421137908340306,0.004646194359631184,0.03568809604925218
60,0.6410510747632434,0.004696366645341959,0.0363778996101868
61,0.6374304319209291,0.004660937961389044,0.0364030892023598
62,0.6390172783935666,0.004842613003612255,0.03813077292123489
63,0.6400919355698724,0.005022079407398047,0.0398615195291816
64,0.635834587627228,0.004383185871513344,0.03506548697210675
65,0.6342154250835843,0.004599800095284714,0.03708477395883359
66,0.6352465374993473,0.004438676277790205,0.03605997654651422
