sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,1.0049733080904193,0.09423862575161981,0.21072397328678413
6,0.9449666822723526,0.0879126610036839,0.2153411613892984
7,0.9386027824564213,0.075803286094187,0.20055664356669953
8,0.9551534427664172,0.07073945006558877,0.20008137935513992
9,0.9302776499517037,0.06972988722174508,0.20918966166523525
10,0.8788331426253004,0.04440166631685636,0.14041039746804568
11,0.8321957308592864,0.036732376672303634,0.12182751108003462
12,0.832518177899099,0.03319121512301237,0.11497774191601179
13,0.8305644869823043,0.027971996296321706,0.1008544669234767
14,0.8157904170181094,0.030564005465012,0.11436003681756125
15,0.8096819381427937,0.026936950377981786,0.10432636021153904
16,0.7887243871037978,0.020578996819396473,0.08231598727758589
17,0.7800968027002171,0.018636336913538037,0.07683958556911474
18,0.7733783357631444,0.01864212892361202,0.0790918546658396
19,0.7634149986173853,0.019199940212565814,0.08369059910859723
20,0.7537222786042383,0.0171045536818198,0.07649388951468677
21,0.7470124982664814,0.014807928308770469,0.06785845236042008
22,0.7685010331380779,0.018186151012682967,0.08530060932041701
23,0.7647106401018696,0.01630263366467184,0.07818468444205236
24,0.7406023964686506,0.013634235491481352,0.06679383997414787
25,0.7259949062554496,0.012510498599911171,0.06255249299955586
26,0.7190318258942876,0.013479765001165522,0.06873358477958806
27,0.7059459411812156,0.010769035707664227,0.0559575509825937
28,0.7001467885888805,0.009913692951383366,0.052458332247228665
29,0.7021332832783754,0.00772350258709376,0.04159233431982961
30,0.7135352893653442,0.009773611094800324,0.053532272649049
31,0.7056986013806787,0.008638296538306512,0.048095999621540944
32,0.7067596293244451,0.0086212268941067,0.04876902399176548
33,0.6939334814680564,0.007959479847935866,0.04572373062032456
34,0.6911016376125304,0.008315685091342733,0.04848835974030173
35,0.6783063868977475,0.006723976802117794,0.03977958322103989
36,0.6818848174507692,0.006879734324800487,0.04127840594880292
37,0.6805744299213187,0.0060175929917497106,0.0366035891728003
38,0.6840804329918415,0.005784070960565304,0.03565540802347498
39,0.670407057342688,0.005772861406165069,0.03605150792653222
40,0.6703329289314758,0.005391593447851266,0.03409943102570053
