sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.73696303429855,0.43789958029350545,0.9791732288549055
6,3.5534308657528895,0.40089552015507474,0.9819894645475823
7,3.583922699499625,0.5567316059873232,1.4729733764520554
8,3.4506462881576616,0.4823768837859129,1.3643678624506168
9,3.3871763929504106,0.4386611372947846,1.3159834118843539
10,3.384544797322053,0.4073302913588781,1.2880914806740573
11,2.9993861817186858,0.30322950711502866,1.0056985004649532
12,3.1182978793800027,0.2607942156882417,0.9034176637842218
13,2.822427409833153,0.3174644047930175,1.1446341896158805
14,2.8898351007074945,0.3375486025255738,1.2629912220350341
15,2.650892758686139,0.2888675853857225,1.1187793474580523
16,2.5191490957977867,0.2866157941356739,1.1464631765426956
17,2.4503287791528514,0.2723343164543042,1.122863152221482
18,2.379658133524937,0.2586738857890321,1.0974603525437945
19,2.3988478551217822,0.24389610181415136,1.063118460531393
20,2.308163471246427,0.24690757521723258,1.104204244690749
21,2.3850212582302674,0.2420941251198661,1.1094146536658964
22,2.276722257429087,0.22552072015483055,1.0577859399809466
23,2.1563941531709356,0.23989681306652688,1.1505046984467082
24,1.867773169862567,0.16556158256027131,0.8110827965606697
25,1.6959910542088608,0.14351164463717242,0.7175582231858622
26,1.7678706560944035,0.15624181267967466,0.7966800516927697
27,1.680896282351189,0.1499205859137024,0.7790102157090824
28,1.6939518269190934,0.1334008996322623,0.7058912101985076
29,1.6811462128873367,0.1478182412327006,0.7960255905388577
30,1.6556623060170021,0.14096830801653235,0.772115221939911
31,1.5991129533916797,0.14318556424635626,0.7972234818825709
32,1.559694587883813,0.12232689552918233,0.6919854188014656
33,1.573951376802972,0.11784145125273351,0.6769475990802849
34,1.485778564750047,0.11941215564267353,0.6962865352122092
35,1.4907373149317684,0.11980857513776762,0.7087970892145183
36,1.4489835005032963,0.11942381399445,0.7165428839667
37,1.4499159435959128,0.119700006139303,0.7281067122206191
38,1.3986849087998983,0.10863002565750468,0.669640451306001
39,1.359772603616746,0.1136866521485837,0.7099729151125201
40,1.2905630329880413,0.10102467092246348,0.6389361199679366
41,1.2643525465724974,0.10061853117268522,0.6442729556867134
42,1.2518861094009466,0.1103178621111341,0.7149414587449733
43,1.2340755135654988,0.10615555163356362,0.6961085038504602
44,1.2029449832079184,0.10657491240564615,0.7069379930290425
45,1.1802359657498065,0.10313423993422684,0.691845513902114
46,1.1920258931007646,0.09773093638134683,0.6628434600981167
47,1.1745805240361078,0.0921475958224183,0.631732089215858
48,1.1695106098398804,0.09520784372805348,0.6596192904642659
49,1.1495924225793759,0.09405475154605983,0.6583832608224188
50,1.1358777011248002,0.08948398619896232,0.6327473344888969
51,1.1434385311565032,0.08751463438823534,0.6249794979336776
52,1.093124346485414,0.08462043310262488,0.6102066210069685
53,1.0958431235372939,0.08590062552310679,0.6253659933661522
54,1.118898799176467,0.08756559581626207,0.6434730863178946
55,1.116914444087668,0.0864766369069879,0.6413279037987246
56,1.1133634803614936,0.08145780412510034,0.6095743890301331
57,1.1002918280796705,0.08222361817869242,0.620774703918046
58,1.0973387127391248,0.0836786974429168,0.6372779735194888
59,1.0854747479239593,0.08452309106646863,0.6492341815419166
60,1.072574289086375,0.08034500288875772,0.6223497162782909
