sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,4.456115265690144,0.7545878113687036,1.6873096412132098
6,3.694287597701224,0.5258783097686197,1.2881335257303885
7,3.5354847695781997,0.5251012729838163,1.3892873814386173
8,3.251295120007022,0.46991998600624835,1.329134434880423
9,3.323818203362117,0.43868195035088187,1.3160458510526456
10,3.331377536801978,0.384739293122989,1.216652471631802
11,2.977702615242801,0.4043872564727591,1.34120079972136
12,2.8400526636540855,0.3724548163805204,1.2902213309895965
13,2.8311004495792917,0.35822795792784123,1.2916092706135882
14,2.727255143948903,0.3340341394565196,1.2498413053321635
15,2.6487799018852733,0.29074763958687677,1.12606076606909
16,2.378174442473995,0.30236580113898964,1.2094632045559586
17,2.211194063336162,0.25357315899493016,1.045508918357638
18,2.131433904984351,0.2259829747460251,0.9587645632537359
19,2.1661378160923137,0.21770810480880268,0.9489676280513323
20,2.1970614892781466,0.20926912398973657,0.935879973665766
21,1.907272904098054,0.15243653754608824,0.6985519719819273
22,2.0103313879080016,0.16504965622382947,0.7741515087056889
23,1.8929936697700476,0.13559548500518478,0.6502931014067423
24,1.7489791228807932,0.14076984524147726,0.6896285840243478
25,1.7233871950520463,0.1396386333018588,0.698193166509294
26,1.7752668665119917,0.13445812826788708,0.6856046197991178
27,1.680168127438997,0.13502947183846176,0.7016337172302199
28,1.6241308361949929,0.15783070584745637,0.835161593844315
29,1.618747497319357,0.15819387302560384,0.851900077721786
30,1.5905572959881022,0.15101178845290256,0.827125629848529
31,1.526426072035224,0.13009323900246675,0.724328499963063
32,1.3868177458774351,0.126445231208957,0.715282243492435
33,1.3840009846075603,0.10932996353512246,0.6280528246712292
34,1.3942547598960382,0.11786819937800293,0.6872838005051699
35,1.355182180334393,0.11260398208902832,0.6661741419334117
36,1.3212450801362272,0.11409139182172982,0.6845483509303789
37,1.3580711178558218,0.11729928815386748,0.7135037148129989
38,1.3531546728472155,0.10761481019077515,0.6633822428668628
39,1.3271487221165696,0.10914649143343715,0.6816196205340229
40,1.3149689919715926,0.10758702337895772,0.6804400811105823
41,1.3371545878564026,0.10285958712438355,0.658622715368476
42,1.3158630600852539,0.09925563749116532,0.6432500494354122
43,1.2810492341035298,0.09716970917396174,0.6371843943325582
44,1.2685035185717868,0.09751168011194904,0.6468193112169915
45,1.266541919140464,0.09836289384960892,0.6598383513339646
46,1.2003436939967362,0.09144815814771691,0.6202315849068417
47,1.2046976845179378,0.09199034814149981,0.6306540534287668
48,1.2059071131696204,0.09077740464539294,0.6289243081002384
49,1.1735048357072009,0.08713882972724032,0.6099718080906823
50,1.1413317229398094,0.08715909603788909,0.6163078785048092
51,1.1300559681151359,0.09234764314583968,0.6594940840706298
52,1.125211496954465,0.08883794814055951,0.6406195544555962
53,1.145525088089673,0.08629838467146136,0.6282617236756401
54,1.1263551082974894,0.08613117665347729,0.6329323012396157
55,1.1113722773371872,0.0841413677640079,0.6240090843135951
56,1.120975512687624,0.08817646007237646,0.6598522063387698
57,1.0984554479322672,0.08396203115669329,0.6338994340820786
58,1.0813808303819852,0.08212078312008594,0.6254132515184334
59,1.1038529334901224,0.0807875225335495,0.6205407351894131
60,1.098577220911711,0.07885067297118457,0.6107746865092903
