sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.7777878081388914,1.3975843147505125,3.125093532069608
6,3.7856414158732923,1.323031083972958,3.2407510695750696
7,3.578918150678547,1.2622189754363338,3.3395175091112845
8,3.186276292228109,1.0580432061434275,2.9925981034094953
9,2.97688618749349,0.9487400292113022,2.8462200876339065
10,2.994700619477335,0.8884341116511237,2.8094753438058886
11,2.9189755590237834,0.7816247448608094,2.5923560055605748
12,2.952165758960606,0.7658182851844372,2.652872358609434
13,2.8123027591592114,0.6617152973856698,2.3858484344829347
14,2.6057785677203475,0.6469905674096799,2.4208170357214924
15,2.5621924164606,0.6245977957486765,2.4190568610124856
16,2.37801908681603,0.5571926182008735,2.228770472803494
17,2.3137182197776087,0.5417094454043854,2.2335252617970442
18,2.1341216506739293,0.5481915602801556,2.325779817979992
19,2.0596769667957373,0.5233175247758496,2.281088205881771
20,2.0692707298297623,0.498189573668212,2.2279715048075226
21,2.1088574128098534,0.4894323654092875,2.242860862049346
22,2.116357614991064,0.483181859004638,2.2663238063361364
23,2.0523007990137767,0.4691522857004074,2.2499753209962288
24,2.079965213287174,0.4816580863338392,2.359633084006627
25,2.069909971546843,0.4696716243038087,2.3483581215190434
26,2.022337420103216,0.4125850229353305,2.103779082963377
27,1.983090815112084,0.3975783099921982,2.065877498681569
28,1.9094840689970685,0.37935347278891773,2.007349895976369
29,1.8631456595093527,0.3752988322198564,2.0210460634290475
30,1.8368122391064268,0.3717135044863782,2.035958713364871
31,1.788926872248168,0.3577831788569335,1.992052432859674
32,1.730653517125915,0.3354399522487667,1.8975349193279571
33,1.6611061538937029,0.30911830685805974,1.77574947893789
34,1.611032817384821,0.2643064585970328,1.5411582455762194
35,1.5341112946987259,0.25514315120673303,1.5094472386504818
36,1.5437776509868932,0.2561320796904402,1.5367924781426414
37,1.4798986867459634,0.24934643300857734,1.5167151397680894
38,1.46770058272654,0.24681478208408303,1.5214684988188578
39,1.4295419534575515,0.23988668218789946,1.4980918501058649
40,1.351205523970596,0.20716536368842994,1.3102288031051592
41,1.3581342753301837,0.2104628115255882,1.3476195295577553
42,1.3418742245256454,0.2076654218439421,1.3458257509960723
43,1.297739030022977,0.20274035212834596,1.3294573954769688
44,1.2688082256312871,0.19292340395930035,1.2797090884223292
45,1.2325098726943498,0.18955225906953244,1.2715552097043767
46,1.1878704017637647,0.18357550684994134,1.2450696642757753
47,1.1501178258774352,0.16195019807970637,1.1102746205009992
48,1.1689313251795108,0.16586325712001257,1.1491343537628884
49,1.1496885097283396,0.15932617924244238,1.1152832546970968
50,1.1781179175786503,0.16155115151434757,1.1423391474429057
51,1.1693870239822564,0.1628809163471145,1.1632024064683932
52,1.17150265920427,0.16681569756795633,1.2029251022671201
53,1.1620857811326097,0.16392521629090567,1.1933935882218702
54,1.137157929539056,0.15809937403304158,1.1617883851031294
55,1.1577630462567687,0.15991698275572583,1.1859760855739172
56,1.0864601076332854,0.1520261560361382,1.1376595794309285
57,1.0967756892136316,0.14924981444196,1.1268113885316793
58,1.1342242980439403,0.15263235151552002,1.1624133577566638
59,1.1123184120798064,0.15028961194618617,1.154396413749271
60,1.061268806143557,0.1303657586123352,1.009808824042541
61,1.0481588334885839,0.1270512750472747,0.9923021797615045
62,1.0485709398990306,0.13168245510229012,1.0368686883446392
63,1.0478720124912977,0.13217324502269606,1.0490926089193784
64,1.0315297004443926,0.12894023943376803,1.0315219154701443
65,1.006665118552647,0.12646353131074384,1.0195815851872407
66,1.006952278378393,0.12151657026529405,0.9872052836348931
67,0.9962725646907178,0.11857069132224306,0.9705429368773549
68,0.9536941554113652,0.1126356557248825,0.9288174115287942
69,0.9440926881042825,0.11566426193240313,0.9607795182545066
