sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,4.03036441829349,0.440047699137025,0.9839765686127635
6,4.008659598011423,0.40481250770706906,0.9915840853788018
7,4.021173872249293,0.3710900935374855,0.9818121014998838
8,4.046233932613289,0.3315330927956715,0.9377171924142731
9,4.053223710734513,0.30143071412017536,0.904292142360526
10,4.054334579382898,0.2882428970736932,0.9115040741183535
11,4.027220784224129,0.27486992098651736,0.9116403940669134
12,4.004455635746903,0.2523102883197176,0.8740284772842062
13,3.9273346230509105,0.25518880099905167,0.9200963069262569
14,3.874637260941197,0.23811312513058286,0.8909377335326731
15,3.7845007276804097,0.23979630553282583,0.9287270978107
16,3.786628194834916,0.23260528787794707,0.9304211515117883
17,3.7654649599936194,0.22480508924215345,0.9268951281218031
18,3.77995253193453,0.21408949193854435,0.9083047891831644
19,3.758196589410266,0.21392567063580206,0.9324803797306278
20,3.7023220059358537,0.21365611606182483,0.95549919864565
21,3.6862495905804438,0.20765930084327555,0.9516144648759173
22,3.6680091869729807,0.20760868348964817,0.97377104091604
23,3.6798875220234195,0.20225756126062885,0.9699931881220772
24,3.6596413460706962,0.1997475686385083,0.9785592410518097
25,3.6204487283923696,0.1889277108367728,0.944638554183864
26,3.574850378059895,0.18912262776560013,0.9643399694387396
27,3.5034113290309166,0.18240575700770623,0.94780811619123
28,3.499456699807728,0.1725240582689888,0.912911506710722
29,3.491056768435731,0.16872750998927238,0.9086254487896651
30,3.4867691758261414,0.16762618829332057,0.9181264455686008
31,3.480490352580032,0.16600265512079207,0.9242636673167086
32,3.4904686724024026,0.15907842586062998,0.8998834693322634
33,3.4506424158744893,0.15718429152291438,0.902955009705078
34,3.4500421400984584,0.1500327256551482,0.8748336059476916
35,3.425406343033469,0.1485909314871029,0.8790758057227896
36,3.399287149443448,0.15317102814264758,0.9190261688558855
37,3.380353069225781,0.15409049494795135,0.9372958889445056
38,3.372841673195,0.15187311315954352,0.936208745435182
39,3.360067290834486,0.14944446788487573,0.9332804028127627
40,3.3621006612383275,0.14718211719547755,0.9308614423670859
41,3.3553149796418893,0.14717355575752342,0.942370561980173
42,3.374187984722513,0.1411745405275369,0.9149155903758383
43,3.3619377782007795,0.1400694286625302,0.9184966675886462
44,3.3417751882873348,0.1394959770514591,0.9253116312874345
45,3.2977251088205106,0.1349486296663132,0.9052629282129633
46,3.2872481001846006,0.13295197474263137,0.901724164612662
47,3.251799568047006,0.13063871113724304,0.8956138809985034
48,3.2497709660198284,0.1276861555902878,0.8846356356220931
49,3.257691425687068,0.126327065715706,0.8842894600099421
50,3.2340282407123597,0.1290485048494963,0.912510728810639
51,3.234677516250258,0.12723079132621695,0.9086095901630488
52,3.2131389332499283,0.12823168714727903,0.9246918462975422
53,3.2092567803397416,0.12700618866369656,0.9246190100904046
54,3.2089641560320032,0.12410902358493213,0.9120113407743804
55,3.2101923706218107,0.12225379738106777,0.9066584271791746
56,3.2061815643623377,0.1212686637289736,0.9074915828514384
57,3.201931558113112,0.12285821161206431,0.9275591566845438
58,3.1849676890004295,0.12155156245413841,0.9257091203139646
59,3.182150322528786,0.12063113810090449,0.9265853534843134
60,3.183481878960916,0.11937669001878935,0.9246878647362727
