sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.943342136210518,0.6491019168553008,1.4514360104138693
6,3.619557795992864,0.5737201868041997,1.4053217128045359
7,3.5050614113119907,0.5699370297012489,1.507911643556338
8,3.1702404261377515,0.3760744532762704,1.0636991845706971
9,3.1606850723363342,0.3411578994818662,1.0234736984455985
10,3.078961746999199,0.28489565923889637,0.9009191786901052
11,2.9100502133337938,0.23413862532291144,0.7765499691257026
12,2.615618596908491,0.2549351956367108,0.8831214229605893
13,2.629026793269837,0.26297506848845703,0.9481700936037861
14,2.6449074156924164,0.2545331801331094,0.952375953624111
15,2.4447885570966577,0.22486545198777178,0.8709001506860437
16,2.2113581050573563,0.2057155835600814,0.8228623342403256
17,2.242569779451533,0.20705094632027726,0.8536929215625955
18,2.1894776692234545,0.20474379686784597,0.8686543630268093
19,2.150475840015573,0.21268585892068217,0.9270761657554024
20,2.1175221749153845,0.20057679927958333,0.8970067157969583
21,2.073503732235084,0.1966044006299811,0.9009545478483121
22,2.1477470572428174,0.20023393817787355,0.9391804192810085
23,2.074016331015008,0.19249621181697277,0.9231794007501204
24,2.0199275803637886,0.18587771329062028,0.9106111042347335
25,1.9860395739377181,0.18520282522395498,0.926014126119775
26,1.9720755926577336,0.17969855995950437,0.9162864637980358
27,1.9631132615438283,0.1683677602117225,0.8748645451298311
28,1.9332032253876714,0.1467953015631142,0.7767677231374628
29,1.946321742897591,0.15588881616391692,0.8394869666317858
30,1.9133955066056907,0.1609055405427706,0.881315941828375
31,1.9203608488034505,0.15395064248929047,0.8571609008866568
32,1.8101357385643795,0.11224313539119658,0.634943057414039
33,1.7415909071327782,0.12006102800630435,0.6896980967899721
34,1.7509787050323369,0.12259629238628598,0.7148530833908228
35,1.7567467010717384,0.12107814028793439,0.7163079379327477
36,1.7516021349345245,0.124626790667685,0.74776074400611
37,1.63241401279653,0.12002683365198695,0.7300947263686436
38,1.6229859734399903,0.11671273884349159,0.7194656416516807
39,1.6446244643195265,0.11371575903903619,0.7101546875851356
40,1.6276470978535778,0.10626365623127809,0.6720703723759662
41,1.568863152627163,0.08935997388593901,0.5721830146454225
42,1.548769422722713,0.08340690022166233,0.5405384927945707
43,1.5526741038686767,0.08479263242579504,0.5560224744458874
44,1.5178114993654694,0.08227089497719199,0.545723379612161
45,1.5297049051601177,0.0897857024387464,0.6023008021818168
46,1.3959822098156243,0.08462450952047407,0.573951348227981
47,1.4294689163281253,0.08659902784751508,0.5936930236530749
48,1.4217214737855333,0.08724293910515524,0.604436812527066
49,1.3525377431953962,0.0841671130263636,0.5891697911845452
50,1.3594376695010055,0.08420744572823616,0.5954365590083396
