sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.5942600064700057,1.328141651169083,2.9698150157628826
6,3.199859693807072,1.185593683908498,2.904099567842387
7,2.950687199544629,1.0416090469731385,2.75583850164592
8,2.69935790416213,0.9466595272968285,2.677557484905756
9,2.6683777057000193,0.820094718243069,2.460284154729207
10,2.405811391298945,0.6875911799616262,2.1743542277214667
11,2.3720395651688295,0.6754899796063774,2.2403468119991747
12,2.3593240148058094,0.6294508886158602,2.180481839904096
13,2.122043032227897,0.5805442043423327,2.093181896429724
14,2.0353874479735077,0.5573609404457746,2.0854536799182033
15,1.9787607259586992,0.5429161018013144,2.1027050206643416
16,1.92412284768715,0.49530734460291753,1.9812293784116701
17,1.894633045997765,0.4585491978918872,1.890646777450506
18,1.9093775978312002,0.4435747379353713,1.8819282309428802
19,1.96346343541506,0.45786382786349455,1.9957821555596753
20,1.9466010538601515,0.44282650805412727,1.9803803484957734
21,1.870834777997812,0.4196159581005712,1.9229218908072856
22,1.8670651554694224,0.4022698815640083,1.886812992190129
23,1.9223776474322205,0.3878288432527618,1.8599617921215024
24,1.9827722804422685,0.3973130508623572,1.9464284855224698
25,1.998972457266681,0.4085910560775985,2.0429552803879925
26,1.8797053811092737,0.3794731109848216,1.9349407977953659
27,1.733332879865279,0.35215238266366183,1.8298374563396993
28,1.771676428582562,0.3563402293577864,1.8855752580168408
29,1.7606159744893468,0.34928327898845163,1.8809480217291523
30,1.7260686307451907,0.3381300901001639,1.8520147771911404
31,1.5994027529924608,0.32770198101677706,1.8245674115340116
32,1.5627894666838515,0.308406908913423,1.7446129332597062
33,1.5608268839555306,0.3021707453738608,1.7358387767512344
34,1.5128630497008089,0.3026891116740914,1.764965649265084
35,1.4647539001961323,0.2884769913287199,1.706652896289243
36,1.477530903070349,0.28152284546493705,1.6891370727896224
37,1.4435010191270443,0.27627254881975527,1.680500308110793
38,1.3789996522055727,0.2584808377959291,1.593382896008378
39,1.3584016749942995,0.2524943446864632,1.576826677173878
40,1.3154234286412365,0.1912318466482215,1.2094563931368325
41,1.3006406258805463,0.18481622037173817,1.1834012201330073
42,1.3159712470312623,0.1830357789364673,1.1862074218183478
43,1.282528499252083,0.1777640489636046,1.1656768229098478
44,1.2660496431216928,0.17939555802182625,1.189975510029659
45,1.14308417165628,0.1476661767467855,0.9905748275499334
46,1.144444497172672,0.14554165219496756,0.987111511475518
47,1.1077049558510053,0.1379353788700682,0.945637314708644
48,1.0536473928432035,0.1268665131046772,0.8789569859056147
49,0.9370767390338646,0.11401630054103566,0.7981141037872497
50,0.8843742820109468,0.1091175800037322,0.7715778076730466
51,0.9181411580889488,0.10858121506107632,0.7754249760428955
52,0.8792661728843423,0.10830288635013387,0.7809832200323132
53,0.903687832518328,0.11321460116837102,0.8242147375768076
54,0.8872338408507243,0.11106009906277203,0.8161217204602312
55,0.8718282203554873,0.10825490456557192,0.8028398594598799
56,0.9248697806112862,0.12077883488892645,0.9038260394562038
57,0.886383072660613,0.1153038654404491,0.8705250938221275
58,0.8949540684021319,0.1118660522337066,0.85194647206063
59,0.8925112757720637,0.11512030826591481,0.8842558663300549
60,0.9011263589247808,0.1163303648930815,0.9010911317782733
61,0.9156893755139517,0.12200642824548573,0.9529006666628334
62,0.9343336799296766,0.12679264998732845,0.9983663243670478
63,0.938374935696002,0.1262958943302461,1.0024425840189708
64,0.9446011536285098,0.12652808889029477,1.0122247111223581
65,0.9534977196744409,0.12186178818394579,0.9824811460075336
66,0.9939666368744428,0.124303182482982,1.0098438283102178
67,0.9909738832178623,0.12369861384205637,1.012516791688856
68,0.9679684026962946,0.11975370091348693,0.9875143158498655
69,0.9713564934933109,0.12023593350548036,0.9987546744368541
