sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.9957639248239323,0.5492215957744808,1.2280968228626505
6,3.984654682654412,0.48521801734220826,1.1885365564933292
7,3.8458599270966,0.4075409233229085,1.078251932194059
8,3.797875819427806,0.39195649575454755,1.1086203843126272
9,3.737624941766839,0.36859316580946233,1.105779497428387
10,3.692819740376656,0.3414121355742237,1.0796399692367455
11,3.662286052646583,0.3238788580058448,1.0741846495341814
12,3.6529469250926283,0.2960838167817038,1.0256644279296512
13,3.65865177309445,0.28057049306634835,1.0116112991329327
14,3.6755584219020996,0.2614754350608666,0.9783514930554216
15,3.634435474912705,0.245892308632179,0.9523368162929235
16,3.6124682887775266,0.2466318698001243,0.9865274792004972
17,3.592925390458549,0.23975181710821727,0.9885220658709472
18,3.5797627693064458,0.23237885723562804,0.9858999945341591
19,3.565859754114418,0.22685546020261244,0.9888400258136008
20,3.566310242941822,0.219930402599119,0.983558661061053
21,3.5565989466948045,0.21351271520499934,0.9784381792624581
22,3.5644199542244173,0.2056315264581622,0.9644973524159126
23,3.5446983716602363,0.19928522346314553,0.9557383568149729
24,3.5238135994620157,0.19485400614376708,0.9545857787787355
25,3.518460035687955,0.18955431557099256,0.9477715778549628
26,3.5032750665809393,0.1850725616022829,0.9436886030406432
27,3.50318462717154,0.18039577424310216,0.9373639393793339
28,3.492242067178305,0.17610383878710084,0.9318539247089588
29,3.4497126589739544,0.17064450514446175,0.9189487836348382
30,3.397739433917669,0.16736599765851748,0.9167013227692684
31,3.3868621717964453,0.16040948458302226,0.893122211721283
32,3.3805728330927445,0.1567817013321815,0.8868912334235962
33,3.3673555938079778,0.15508254049355266,0.8908813692494839
34,3.3611526610493554,0.14890749657290683,0.8682724492984613
35,3.3734019492019045,0.14529864017928854,0.8595983476765545
36,3.3718069733942917,0.14278420615840007,0.8567052369504004
37,3.337710877969509,0.13976679974534675,0.85016825247069
38,3.2872326332053357,0.1388705221310262,0.8560553912241109
39,3.273423132881935,0.14094748847947983,0.8802167834336327
40,3.2603013370414944,0.14116125049472805,0.8927821378418223
41,3.2591185998954515,0.14007041009041177,0.8968882377970743
42,3.237001915404074,0.14047314137834377,0.9103700043638336
43,3.2387614695967493,0.1396438217154716,0.9157057761977937
44,3.2353200327368796,0.138897645123356,0.9213427462762186
45,3.2209162681293106,0.1378303745395022,0.9245942605037496
46,3.2287089710841896,0.13375843127172568,0.9071938189100255
47,3.205330642354105,0.13587169844292962,0.9314894344945738
48,3.2145977103517813,0.1339117852285952,0.9277680629927135
49,3.192978033134262,0.13120769229206714,0.9184538460444699
50,3.1850333887771884,0.12957023309797167,0.9161999046349741
51,3.1858109605787748,0.12876470480132782,0.9195639234611305
52,3.1663794274897414,0.12986266160789725,0.9364529703910046
53,3.161317796888537,0.12784717823567765,0.9307415065901659
54,3.1762015596961852,0.12672098660188374,0.9312052706300364
55,3.175899223673963,0.1256246894204145,0.9316576316215406
56,3.1704338765058657,0.12586949695194308,0.9419210660795159
57,3.1804521822489003,0.12170463588179066,0.9188498509124312
58,3.1833564066048643,0.1211262147916714,0.9224697690255063
59,3.174209547022262,0.12013628531542976,0.9227843171153431
60,3.166307413156194,0.11985287535756316,0.9283763805098308
