sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.014867745316251044,0.0005004951975139564,0.0011191412840533903
6,0.014749535758244078,0.00039706952456306026,0.0009726177275890092
7,0.014813793145532264,0.0003130195543681426,0.0008281718963583671
8,0.014854976137422787,0.0003367517092515921,0.0009524776687518458
9,0.015024507209544433,0.0003382600247634555,0.0010147800742903665
10,0.014765766611893456,0.0003188128315705187,0.0010081746950504754
11,0.01490831157965684,0.0003248258737500331,0.001077325545428213
12,0.014466053723759208,0.0002039714216601206,0.0007065777312147678
13,0.014262501041376347,0.00016297345227743188,0.0005876091387256641
14,0.01408668975185744,0.00017146707383257074,0.0006415710433941511
15,0.014060448372831763,0.00015216890577238607,0.000589347637867057
16,0.013928020216221451,0.00014041738355830607,0.0005616695342332243
17,0.013851430841493461,0.00012642027565511386,0.0005212441497457354
18,0.013625858344033435,0.00013773983010502663,0.0005843806074404838
19,0.013528778578660385,0.0001247366701464177,0.0005437145397220017
20,0.013322639021059979,0.00010243104656491959,0.0004580855662512131
21,0.013196229278643622,9.332036232042667e-05,0.00042764762421406
22,0.01315618844726841,9.89507612498296e-05,0.0004641202100127263
23,0.013158806972020104,9.005509830000356e-05,0.0004318890792621827
24,0.01298475483178432,8.85128374044009e-05,0.00043362257465343046
25,0.01294445031003536,8.818256571122539e-05,0.00044091282855612693
26,0.012900183881995143,8.775265591617092e-05,0.0004474525048861488
27,0.012867340537360767,8.961285331126332e-05,0.0004656420448389749
28,0.012825179893634223,9.452381916351521e-05,0.0005001730369574053
29,0.012854279640888205,0.000100246117123063,0.0005398418619830024
30,0.012811601553416919,9.066869373539451e-05,0.0004966128881840292
31,0.012709992481065312,7.681231612094397e-05,0.00042767287632462575
32,0.012637087482708798,7.255870071914255e-05,0.0004104539945007274
33,0.012644027900462563,6.888229270728497e-05,0.0003956986456941681
34,0.012647408399206517,6.859914291689534e-05,0.0003999983023760345
35,0.012569278459978772,5.783401042710289e-05,0.0003421506198633558
36,0.012559957404633318,6.0302509964081095e-05,0.0003618150597844866
37,0.012450872063243603,5.132510680605015e-05,0.00031219843654339596
38,0.012431427901549125,5.3313496601555047e-05,0.00032864646499786485
39,0.012386159663066162,4.912122166301441e-05,0.00030676193096440904
40,0.012302926954915892,4.067567632238348e-05,0.00025725556509302637
41,0.01225898958793506,3.8774105668027034e-05,0.0002482754157877263
42,0.012232252371163183,3.18437633859535e-05,0.00020637117336581894
43,0.012224518305732386,3.821692016453367e-05,0.000250605104567087
44,0.012152281767048023,4.271184053566653e-05,0.00028331829832459654
45,0.012123447420003427,3.966898976201376e-05,0.00026610767311981793
46,0.012133540039887305,3.4558360535593246e-05,0.00023438620482820708
47,0.012123337781087165,3.473416870721609e-05,0.00023812546348873196
48,0.012141424024634199,3.518039227455436e-05,0.00024373690739892706
49,0.012109639476826905,3.8711105689295975e-05,0.0002709777398250718
50,0.01210158748527508,3.683911259814509e-05,0.00026049186331043167
51,0.012039045101270322,4.107530202346495e-05,0.00029333632958135624
52,0.012018054372159625,3.66188814029963e-05,0.0002640625090972757
53,0.011994097259952128,3.411993046616689e-05,0.00024839684320830517
54,0.011976087575449039,3.3872790915813464e-05,0.0002489131617231729
55,0.011954369002711521,3.177224484463067e-05,0.00023562927414838293
56,0.011930322382720474,3.1895403298849386e-05,0.00023868334271454747
