sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.01512229890838807,0.0004896174599571645,0.001094817923435001
6,0.015153443474773026,0.00046204566908709125,0.0011317761271262205
7,0.015143857539704823,0.0004071567505605404,0.0010772355066043483
8,0.015122642721716132,0.00036053282397176186,0.0010197408186830748
9,0.014694234003241163,0.0002206714483661548,0.0006620143450984644
10,0.014786500926812374,0.00023169533866774795,0.0007326849934341662
11,0.01500271844213456,0.00028332368238110885,0.0009396783486799651
12,0.014933511396792215,0.00027833938115451036,0.0009641958998137823
13,0.014893544974480585,0.00022354955251749177,0.0008060193742088465
14,0.014825248775744277,0.00020298731400751664,0.0007595089828776262
15,0.014687261938001761,0.00013956512229880975,0.0005405333943746916
16,0.014624727329571461,0.00012114514957288975,0.000484580598291559
17,0.014851738276673928,0.0002426589773212312,0.0010005085944997966
18,0.014687108361489964,0.0001917167919351379,0.0008133854618679984
19,0.014646076720674348,0.00018912639708178734,0.0008243828524354569
20,0.014686726259518659,0.0002508332292385987,0.001121760303186589
21,0.014587628654710458,0.00018502913387958132,0.0008479100117752995
22,0.014559639385207485,0.00016431413488780686,0.0007707016078395221
23,0.014344709338626634,0.00014972328780101768,0.0007180476634101433
24,0.014254833003365348,0.0001421901730247859,0.0006965867406975567
25,0.014153108441403411,0.00011120222241578994,0.0005560111120789497
26,0.014031975419533332,7.768997794088449e-05,0.00039614271353116296
27,0.014024043113216408,7.082568250065906e-05,0.00036802104171565025
28,0.014008021307293245,6.559413921319109e-05,0.0003470915596429072
29,0.013891312241152393,8.39341714132544e-05,0.0004519993460106525
30,0.013846654077295531,8.399814549659725e-05,0.000460076790770873
31,0.013850687916564196,9.115272311609215e-05,0.0005075168833406902
32,0.013786914123014268,8.792140790993307e-05,0.0004973585899566579
33,0.013706788608809034,9.764201245344925e-05,0.0005609106574728856
34,0.013736128265391254,0.00011591976081156625,0.0006759225489542163
35,0.013626197860698389,0.00010922182274180289,0.0006461650173960699
36,0.013614601798954287,0.00010943369426898713,0.0006566021656139228
37,0.013488970754821505,9.731168950357471e-05,0.0005919238986723588
38,0.013471013701147986,0.00010385567067614651,0.000640209350603772
39,0.0134116939382592,8.55482015462531e-05,0.0005342483474229334
40,0.01333549407942368,7.471293303986836e-05,0.0004725260781552635
41,0.013336566673418293,7.522702719322787e-05,0.00048168800113097734
42,0.013233125538441057,6.712246133955582e-05,0.0004350032669805676
43,0.01321841451695167,6.864744850770862e-05,0.00045015142343948636
44,0.01318694807064733,6.949328834819334e-05,0.00046096632579786817
45,0.013208679351155345,7.32529259646841e-05,0.000491395566023379
46,0.013224181143296054,7.510402069368013e-05,0.0005093802514040073
47,0.013237825242173793,0.00010313565258484029,0.0007070624111086241
48,0.01319202555508322,9.634793465978436e-05,0.0006675180721402917
49,0.013150612939449146,9.450256047773064e-05,0.0006615179233441145
50,0.01310313874320812,9.031298965960084e-05,0.000638609274175343
51,0.013069038372781585,8.366915448531305e-05,0.0005975172784335582
52,0.013046643124656965,7.875903498923298e-05,0.0005679394781194838
53,0.012967222063497378,7.87688560601115e-05,0.0005734459279705314
54,0.01293292387569003,7.962402943840471e-05,0.0005851147301653145
55,0.013006289476513885,0.0001036975593523987,0.000769041682784772
56,0.01299405032155462,0.00010431725866790236,0.0007806388829255296
57,0.012987203002928008,0.0001027893605957457,0.0007760426542052232
58,0.012953463982572452,0.00010178569766128015,0.0007751767788103723
