sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.015528752223186393,0.0005598476410716529,0.0012518573824791192
6,0.01543642590129507,0.000441342207647114,0.0010810632106888892
7,0.015352239202247982,0.0003900211141149351,0.0010318988740124619
8,0.015132527294017725,0.0003719447717875972,0.0010520186814315714
9,0.014832877545493655,0.0003070327706435886,0.0009210983119307658
10,0.014599481435305508,0.00018743082562741682,0.0005927083127084952
11,0.014921131191725206,0.00028293759185734604,0.0009383978312775319
12,0.015056122948089829,0.000380435703816101,0.0013178679360454238
13,0.01507130507701305,0.0003277161679852932,0.0011815974474695449
14,0.015026275948833817,0.00029477491598631147,0.0011029467418358502
15,0.015018919175788658,0.00028507462527291826,0.0011040892761083325
16,0.01495065356784136,0.00024346479547417504,0.0009738591818967002
17,0.015013414453868307,0.00029064392025335143,0.001198355582648164
18,0.015157739203415229,0.00030594837664882227,0.001298029030928389
19,0.01504972838700927,0.0002869539838393432,0.0012508034170021008
20,0.014832843929168471,0.0002217154741307811,0.0009915417436400452
21,0.01472933573372836,0.00021804382317355,0.0009992023245103592
22,0.014804753256443754,0.00021588218164809837,0.001012577187067305
23,0.014761701310110073,0.00021219107732388438,0.0010176326575955714
24,0.014771124098285817,0.000254103298513179,0.0012448468466308078
25,0.014608302085371084,0.00022824980683933588,0.0011412490341966793
26,0.014481033157881093,0.00020087800223452052,0.001024280853245355
27,0.014326921900524037,0.00018259954239238904,0.0009488150545873346
28,0.01413411104053372,0.00016946743079408204,0.0008967373544123807
29,0.014045726212374775,0.0001577291794115059,0.0008493976260250457
30,0.014047407803767361,0.00016924113965422662,0.0009269718984650199
31,0.014058192851437366,0.00018636979398566238,0.0010376630972613438
32,0.014066521231976442,0.00020113433453094667,0.0011377876150102078
33,0.013996623311222051,0.00018244143884407977,0.0010480462747643527
34,0.01390677527265068,0.0001902933944552895,0.0011095916289756145
35,0.013868652704695316,0.00018132872373400428,0.0010727551965779983
36,0.013769347729972323,0.00017082537621744762,0.0010249522573046858
37,0.013724526803767536,0.00017952420420386993,0.001092003102612906
38,0.013678864859630296,0.0001776364565737123,0.0010950246603407825
39,0.01366493192605403,0.0001737872198254553,0.0010853008399571908
40,0.013570814936570513,0.00016531070933480474,0.0010455167262320827
41,0.013551104066354128,0.0001618164108517886,0.0010361305823394795
42,0.013545400024704704,0.0001364838728927158,0.0008845165897321487
43,0.013506462595085178,0.00013125943796762362,0.0008607256952071238
44,0.013412558321153668,0.0001212723999890689,0.0008044300963792836
45,0.013414967887074636,0.00011704543777617337,0.0007851646659712365
46,0.013394358047627588,0.00010826265558103034,0.0007342730549999862
47,0.013356186048290133,0.0001081340885931003,0.0007413299619234621
48,0.013333241611469426,0.00010784215117057743,0.0007471523400998543
49,0.013313685184692423,0.00010434255126723882,0.0007303978588706718
50,0.013208335177038672,9.443694564945711e-05,0.0006677700466327655
51,0.013182187262309764,9.003033373982822e-05,0.0006429451848008098
52,0.013183866734073003,9.088422702245393e-05,0.000655375481320735
53,0.013193221090013474,9.190152491901361e-05,0.0006690532004028709
54,0.013122494953318253,9.907083247490108e-05,0.0007280189638687823
55,0.013086580118081554,9.297927258003221e-05,0.0006895527406392902
56,0.013058387869523208,9.327177109171584e-05,0.0006979820225656134
57,0.013043828503095833,9.191010034037612e-05,0.0006939060404989615
58,0.01305514478295403,9.3761108735524e-05,0.0007140633302839853
59,0.01299501258631447,9.278682141494597e-05,0.000712709098769656
60,0.012946700136875053,8.259558003973699e-05,0.0006397826119284863
61,0.012906141717821248,8.68480018943434e-05,0.000678304578648436
62,0.012910261983499646,8.97785687648879e-05,0.0007069171573722381
63,0.012875507674037345,8.402406800376325e-05,0.0006669203642458108
64,0.012797650221696827,8.318564131790892e-05,0.0006654851305432713
65,0.01280073617978647,8.043785732174704e-05,0.0006485107384487883
66,0.01279055031683016,8.045426469370135e-05,0.0006536135361883768
67,0.012731748596444398,6.246209078708693e-05,0.0005112742479610307
68,0.012661750760260031,5.5428799348199765e-05,0.00045707758882758995
69,0.012649042847510682,5.206013255944883e-05,0.0004324439394249959
70,0.01268116628269762,6.264959916796145e-05,0.0005241641530221582
71,0.01266217137882716,7.211479995222308e-05,0.000607650105260083
72,0.012652095684179913,7.100404451313687e-05,0.0006024892964029266
73,0.01261558703882425,6.34047816559351e-05,0.0005417306919393498
74,0.012583261599780992,6.425070309048114e-05,0.0005527054466204997
75,0.012576482800386871,6.489218122134914e-05,0.0005619827744467186
76,0.012566201418830195,6.364038814146669e-05,0.0005548040412727152
77,0.012462853963639555,6.010303542067512e-05,0.0005274019953905915
78,0.01240631644563112,5.2682060272623116e-05,0.0004652753582732778
79,0.012383031962661654,5.4661804988209206e-05,0.00048584474993659446
80,0.012379899911114687,5.5396963807713194e-05,0.0004954855072845692
81,0.01236908149730089,5.531405696926404e-05,0.0004978265127233764
82,0.012306494146287967,5.256130100371879e-05,0.0004759628239502425
83,0.012285948837017405,5.449861240573949e-05,0.0004965059884780191
84,0.012276569829602861,5.477188532670509e-05,0.0005019926209301343
85,0.012228099487441208,5.250150574231344e-05,0.00048403996626607656
86,0.012187372576147437,5.312299328173793e-05,0.0004926423730336189
87,0.01217274358696418,5.154429394054482e-05,0.0004807731676072905
88,0.012124228862383696,5.189786406223534e-05,0.00048684511899736526
89,0.012108614943989125,5.098870365778536e-05,0.0004810264682555726
90,0.012133319616678833,5.145717958040654e-05,0.0004881656683271763
91,0.012141390324423709,5.106668339269333e-05,0.0004871451117463787
92,0.01210165535594417,4.746777319638601e-05,0.00045529488607337317
93,0.012089044224914795,4.740030693812648e-05,0.0004571120060751631
94,0.01206693552442103,4.611486651246004e-05,0.00044710021903979067
95,0.012046721175846051,4.329504419297186e-05,0.00042198789189831223
96,0.012001337433925442,4.292661506546646e-05,0.0004205932131810477
97,0.012015617303276788,4.819936920208984e-05,0.00047470873340765336
98,0.011987252544678343,5.0053349670991276e-05,0.0004955028816284313
99,0.011979790039101972,4.6988301827138794e-05,0.0004675277000897714
100,0.011962565487451988,4.6403196990866974e-05,0.00046403196990866977
101,0.011956335821252568,4.669059410453705e-05,0.0004692346634268377
102,0.011905730026949864,4.635086026628386e-05,0.00046812074215666445
103,0.011836399003531107,4.6848022240660115e-05,0.0004754554977594881
104,0.011840261603231886,4.7812179365298265e-05,0.0004875904711421082
105,0.011799778385824172,4.491370467078698e-05,0.00046022852047840384
106,0.01178562411400023,4.363825300340318e-05,0.00044928331292185426
107,0.01175941986746101,4.195392400823771e-05,0.00043397476441231166
108,0.011713574787349688,3.6801609851428874e-05,0.0003824535483780128
109,0.011709458499313888,3.681684619247149e-05,0.0003843791589408187
110,0.011692163540430539,3.7928530353768714e-05,0.000397797782331228
111,0.011656078217268478,3.353258734290485e-05,0.00035328772968213777
112,0.01164257311958136,3.191982029049943e-05,0.00033780762553014
113,0.011656154942772102,3.0464938596729935e-05,0.00032384673945924696
114,0.011615559746093589,3.0502645775304108e-05,0.00032567913583691425
115,0.011609949915584105,2.841556889579332e-05,0.00030472302817842847
116,0.011583648901831667,2.695694932427433e-05,0.0002903352296175807
117,0.011560796561957761,2.9765122392690726e-05,0.0003219590250219234
118,0.011543745436915252,2.7833301830726878e-05,0.00030234704813250716
119,0.011543775520416511,2.9666280608943878e-05,0.00032362091467496863
120,0.011514727319387711,2.874907851651994e-05,0.0003149303762197026
121,0.011518154760352681,3.0446594845531894e-05,0.00033491254330085085
122,0.011513974536611049,3.0253822325969573e-05,0.00033416438974017397
123,0.011497523237046774,2.9551154928035894e-05,0.00032773816253594266
