sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.9255042055872338,0.23792375483905098,0.5320136892821126
6,0.9205210818290892,0.2262848987912218,0.5542825385358273
7,0.8928223862233573,0.19896842971266882,0.5264209837727564
8,0.883138604840324,0.18802213214559735,0.5318068986132202
9,0.9231816642423109,0.17955812166338989,0.5386743649901696
10,0.9064455005706481,0.17424411134042245,0.5510082607077097
11,0.9140179502349556,0.18151143066929634,0.6020053106906637
12,0.8892346690256889,0.1714937467601678,0.5940717651379223
13,0.8279093536929185,0.11377308244616431,0.4102146825272373
14,0.8242933965145364,0.10976725679102639,0.41071146719805596
15,0.8059440035847458,0.10668269304834156,0.41318029350478463
16,0.7464465379231793,0.10274932000941803,0.4109972800376721
17,0.7732287046360403,0.13207383406670153,0.5445543682373105
18,0.7686300835335177,0.12827737923303462,0.544234828371103
19,0.763723007906742,0.12557236578068504,0.5473572525393311
20,0.7548178809271603,0.12137751651585546,0.5428167557391125
21,0.7439901886974267,0.11899701774717127,0.5453128413004158
22,0.7325186039996867,0.1164180483414826,0.5460490486687759
23,0.6098616890638134,0.03360312690235776,0.16115493528020503
24,0.6217816265014218,0.04838257254672461,0.2370252303653298
25,0.6141692881098955,0.044285990217482876,0.2214299510874144
26,0.6110002672044714,0.042473418850731644,0.21657279152888026
27,0.6152515018084599,0.04159411294906954,0.216129350770641
28,0.6132948803657601,0.04026293940798327,0.21305144945197182
29,0.6006257916870695,0.03580425332227583,0.19281180493684844
30,0.5977769978141054,0.035317309016935514,0.19344086818956183
31,0.5899057619315234,0.03472622735226315,0.19334745110746387
32,0.5882726502257658,0.03617114381064142,0.20461488857422694
33,0.5261309796468085,0.010190472566142205,0.05853980805403104
34,0.5234873618975964,0.00970700949368241,0.056601105400468775
35,0.5078490572050699,0.008867320721982173,0.05245977685357903
36,0.5059767778073065,0.008909868231549054,0.05345920938929433
37,0.5031387273225835,0.00875868141580121,0.05327697913085496
38,0.5002349542715675,0.009630597173707216,0.05936698807455421
39,0.48224487252171205,0.007386705758534646,0.04612996267680679
