sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.7087359053205164,0.020977239551767595,0.04690653361804956
6,0.7348941440428896,0.01951440161888224,0.04780032660200349
7,0.7344116096431299,0.016018438944388837,0.04238080583832486
8,0.7193159893046881,0.018607174589571868,0.05262903732403313
9,0.71778764650477,0.01334118348960481,0.04002355046881443
10,0.714052180195673,0.014360336284360198,0.04541137062453765
11,0.7191665291576248,0.014833389526875676,0.04919678742983402
12,0.7049711891625463,0.012080771988925905,0.04184902175894917
13,0.7012153975747732,0.013074871045572395,0.04714211797489073
14,0.6937303298122952,0.012768651186141615,0.04777591802976662
15,0.6928230395614061,0.012253445021729835,0.04745738850282783
16,0.6936050095469632,0.012876456768873395,0.05150582707549358
17,0.6988518338547443,0.015552264400083506,0.06412362883907757
18,0.688222372006636,0.01226183149920188,0.05202254521711475
19,0.6792359016233677,0.01252793549491773,0.05460800479354261
20,0.6789335893266605,0.014057836454156956,0.06286855585613912
21,0.6754350456946743,0.013578764314364297,0.06222571531453953
22,0.6727956627240864,0.011616209548821015,0.0544848523372015
23,0.6680871342386592,0.012836262652840335,0.06156055307201343
24,0.6719769556089658,0.01408430409015685,0.06899871680615673
25,0.6661581541096437,0.01272154397543113,0.06360771987715565
26,0.6762549961841124,0.015409630427928186,0.07857400624925895
27,0.6722408908653067,0.014820388241504273,0.07700899626654531
28,0.6655054542074559,0.014313747700275178,0.07574123348850165
29,0.6616346067440934,0.014469313450743954,0.07791963757834425
30,0.6589694224964323,0.013201889366839973,0.07230972607905849
31,0.65499641810475,0.012726777227724237,0.07085969670219966
32,0.6440351216324731,0.01296660539021972,0.07335019680315523
33,0.6447255718171246,0.01159357663941649,0.06660002730256785
34,0.6323879458154988,0.012213653895143062,0.07121722832286913
35,0.6309094490853113,0.010904890600016131,0.06451420281566847
36,0.6296911538172557,0.011327494902788712,0.06796496941673227
37,0.6262780166472964,0.011074047055827473,0.06736079848994667
38,0.6238072999439275,0.010660344113513812,0.06571477452981243
