sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.9280669529467126,0.24804896833374787,0.554654354942953
6,0.941260040788757,0.23569536573878638,0.5773333807986869
7,0.908898757445734,0.2071661963217641,0.5481102355265718
8,0.9857329327960255,0.16217156167912988,0.4586904439157008
9,0.9744834446815738,0.14681631369378806,0.4404489410813642
10,0.9520331263522694,0.13677687464454918,0.43252645511610877
11,0.8006558297703747,0.05835817380761932,0.1935521659702194
12,0.8273566645906539,0.06829431693797593,0.23657845360957208
13,0.8306878103509681,0.06535918071345409,0.23565587738467575
14,0.7916421127281029,0.05176135627977022,0.19367326107364
15,0.738746418865097,0.018416622163797053,0.07132727093378038
16,0.7218060916354079,0.0134630710771319,0.0538522843085276
17,0.7006178179227924,0.009456292391428901,0.038989292356585985
18,0.6917273493606262,0.010701450612179624,0.04540240977843085
19,0.6870641232478277,0.010699862257778895,0.04663961829146315
20,0.6825849054431915,0.010611060241204529,0.04745410402535728
21,0.6770319586614544,0.010155439395136273,0.04653806974374852
22,0.6709108466589712,0.00903003408706362,0.04235461419370598
23,0.6721071126352743,0.007385214492650007,0.035418244470276854
24,0.6718511719177019,0.007636275682251711,0.03740995791348036
25,0.6632173099437316,0.007249008017671142,0.03624504008835571
26,0.6562997816955328,0.006025126679992224,0.03072223851314886
27,0.6554825832430062,0.0055537467867704925,0.02885811482117667
28,0.6539290959624807,0.007216080916181637,0.03818391108947148
29,0.6759603666309387,0.016420447943744077,0.08842681838403474
30,0.6747762216036034,0.01688901931580825,0.09250496853408645
31,0.6674176444780331,0.015622261995241901,0.08698107360390168
32,0.6641078610423147,0.016132567202135416,0.09125958133262113
33,0.660509301463353,0.01575395899228249,0.09049960436215787
34,0.6547613286990683,0.017572658451397122,0.10246532609464334
35,0.6995997387432406,0.027762843184760043,0.16424719528672385
36,0.6960792627097547,0.026450195008777915,0.15870117005266748
37,0.7058093246426089,0.029386223652629023,0.1787494201411751
38,0.7027103884066843,0.029914623481411454,0.1844061238823573
39,0.699693310092369,0.02851235820136725,0.17805961989715663
40,0.6970242647743264,0.027996091466514193,0.17706282923317687
41,0.6604114106356355,0.021121111364142915,0.13524110009726187
42,0.6592407754710067,0.020562710057324195,0.13326159193806153
43,0.659110932258833,0.020146855442850598,0.13211176602449196
44,0.6584948149438086,0.020077519139917913,0.13317919541657355
45,0.6562669085325633,0.019861948898970094,0.1332380037111727
46,0.649383739477199,0.019444594943386885,0.13187965929425885
47,0.6059329540566195,0.006107657952907266,0.04187199334252472
48,0.6076982846428574,0.006090569716294542,0.04219670478265003
49,0.5981236755329129,0.0058907001718003105,0.041234901202602176
50,0.5968163416277518,0.005828367927096939,0.04121278484500427
51,0.5965968128353929,0.005995717402982972,0.04281798671117171
52,0.5936066713041241,0.005865421948630742,0.04229615917604009
53,0.6049088552773145,0.007610726021011572,0.05540692177017091
54,0.6062107034632161,0.007580590305981063,0.05570573459622662
55,0.6082758425535995,0.007437931072775277,0.05516117316903783
56,0.5968584235209761,0.007171632524625279,0.05366758362198485
57,0.5931037470278856,0.007140161691200148,0.05390703860962391
58,0.5897257202358712,0.0068030833378638425,0.05181073912145432
59,0.5826804298615428,0.0024816170757604485,0.019061662449315498
60,0.5819269337012488,0.0027307315865841525,0.021152155915605958
61,0.5815065375354388,0.0028504873762397773,0.022263018106452728
62,0.5799715794498276,0.0026397243049930156,0.02078520996273536
63,0.575557221501787,0.0027343865005884675,0.021703520006667767
64,0.5737251665990142,0.0029224586596730763,0.02337966927738461
65,0.5882196033675676,0.005761522346787063,0.046450878182379245
66,0.5868222612713193,0.00541985718050593,0.04403112788207215
67,0.5840076106299109,0.005714314839875792,0.04677368281392919
68,0.5851081017797398,0.005131487411623351,0.042315329229300896
69,0.5757470513101405,0.005046869022182731,0.041922442652685084
70,0.5726154041758539,0.005046208011681865,0.04221960528950214
71,0.5682384927304747,0.0034576388291623693,0.02913458263607227
72,0.5685104719567226,0.0033241925276677278,0.028206708939402
73,0.5683217839208323,0.0033257385054038476,0.0284151222461172
74,0.5673392302976936,0.0033528248959420882,0.02884209031833219
75,0.5658603847200439,0.0038125876219731575,0.03301797734782857
76,0.5674332185580812,0.0035069794359580773,0.030573137916833065
77,0.5665047697598988,0.002833217502203987,0.024861382683576048
78,0.5663214778183318,0.0033166040706531716,0.02929145404029832
79,0.5620514636227035,0.0029496581145009746,0.02621713478629719
80,0.5585538610279681,0.003178137504184887,0.028426126004795722
81,0.5552068831155097,0.002803430625159339,0.025230875626434054
82,0.5536035735105239,0.002910067464985362,0.026351781673405676
83,0.567628967705192,0.0054365721015577516,0.04952952902947083
84,0.5651738251226118,0.005361977091972172,0.049143331797163334
85,0.5643341518468805,0.005302392998152811,0.04888564797650836
86,0.5606339238624596,0.004639555738718786,0.04302546990946576
87,0.5611171941098431,0.004488943800239117,0.041870080372843246
88,0.5568976153154066,0.004569031063736424,0.04286131061694427
89,0.5497489105373832,0.004896063551378627,0.04618937116505601
90,0.5460771303175945,0.004624423301680987,0.04387113149420365
91,0.5427443384206138,0.004414666273945461,0.04211323219889856
92,0.5432763956250364,0.004969950604542795,0.04767009155714688
93,0.5423461818682003,0.0049244205106493966,0.04748939160497337
94,0.5381600115196989,0.0036528986986200575,0.03541616688496555
95,0.545959289493901,0.004513991599530619,0.043996947794820204
96,0.5452583229223232,0.004809354937457022,0.047121862354818425
97,0.5430214435514185,0.00405980977306047,0.03998448915721468
98,0.5437872088536191,0.004244579757389274,0.042019195816319486
99,0.5416016233219905,0.004354271607181476,0.0433244554689562
100,0.5421392742655436,0.004102301113217301,0.04102301113217301
101,0.5396126705164535,0.0052235023615166114,0.05249554903987319
102,0.5362675913098287,0.005037020505481107,0.05087141346973749
103,0.5338065259192029,0.004766201195889887,0.048371659114499324
104,0.5333461934598608,0.004787390116315286,0.048821991244545754
105,0.5269153852585124,0.004796879649147946,0.049153389595052555
106,0.526037051070883,0.004518856650263335,0.04652447673125075
107,0.5248470952919535,0.0037871336307703347,0.03917441488640707
108,0.5246411006654864,0.003908613634802012,0.0406195044158013
109,0.5229815470005095,0.00391691512638723,0.04089379448887079
110,0.5224952885242797,0.003876174049079209,0.04065365639721798
111,0.5191735671078115,0.0037925607580617873,0.0399571069835957
112,0.5167343427288643,0.003693378566762789,0.03908704474108203
113,0.5179938172927357,0.003814145650359218,0.04054492441432612
114,0.5172504620064255,0.0037725070690334517,0.04027935318241145
115,0.5173329199653602,0.0038920669408564284,0.041737768067930565
116,0.5179892552702456,0.0035949184333613697,0.0387184564637135
117,0.515311787818458,0.0033521832833103486,0.036259406138186075
118,0.5152644998929915,0.0033758304823455427,0.03667090550522217
119,0.508858272372039,0.0032100770909437174,0.0350178068508923
120,0.5090255603538544,0.0032553471457064565,0.03566054128426966
121,0.507944584992934,0.002984657615055053,0.03283123376560558
122,0.5087705604574527,0.002795440836444667,0.03087665324071928
123,0.5094252607987539,0.0025335087419986937,0.02809797119244391
124,0.5098280731194285,0.002610378883377747,0.02906794904070929
125,0.516286396780931,0.0024111985956203176,0.026958019835295284
126,0.5136870137632316,0.002335280364264507,0.026213457075415298
127,0.5144246607233174,0.0024269789550672416,0.0273506637897344
128,0.5126374131848096,0.002606096039972681,0.029484610916609453
129,0.5100107943538451,0.0026004600246431406,0.029535548273731834
130,0.5074205652752515,0.002435971861589601,0.02777435252817462
131,0.5009847286971824,0.0018966410905211677,0.021708049494120505
132,0.49788652481082163,0.0021231734322578045,0.02439340558214025
133,0.49660620850992965,0.002059673332313325,0.023753311629477605
134,0.49646391371656107,0.0025670579138925794,0.029715843731237413
