sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.015057167125411119,0.0008922443788942605,0.0019951190837496453
6,0.014989479202478126,0.0006522751324655139,0.001597741246446815
7,0.015055421064420722,0.0006434564453442465,0.0017024257338825015
8,0.014809440226370804,0.00045399407280275606,0.001284089149989312
9,0.014652497907858813,0.00030864527386614235,0.000925935821598427
10,0.014644491292231807,0.00022015368994605957,0.0006961870955200602
11,0.014590379469439021,0.00017533591701851325,0.0005815234490232983
12,0.014492703336055587,0.0001354529355189643,0.0004692227327063943
13,0.014563388985567291,0.0003022980049363588,0.0010899509572685076
14,0.014511046926713197,0.0002739451082118515,0.0010250087377114607
15,0.014628492441713391,0.00028250026040751617,0.0010941188038575687
16,0.014576871537499156,0.00024132622019885165,0.0009653048807954066
17,0.014440652929851316,0.000173494418918135,0.0007153358146546294
18,0.014354097096451773,0.00015248226906000345,0.0006469274787782407
19,0.014296128076873416,0.0001514348508611733,0.0006600892114340079
20,0.014295898196537708,0.00014659100334551,0.0006555748967409188
21,0.014246751865487888,0.00013694525359301114,0.0006275619906548968
22,0.014141989203894778,0.0001114836297037662,0.0005229045737248644
23,0.014147532958444814,9.683501238692282e-05,0.0004644044049655821
24,0.014038468814017258,6.694775469997432e-05,0.00032797567687990276
25,0.013996596482803108,5.9813858342372234e-05,0.00029906929171186116
26,0.013883578976421715,7.166510544946505e-05,0.0003654217711305069
27,0.013863849274852116,7.356511174721769e-05,0.00038225553363198926
28,0.013855435009152137,6.64288827181197e-05,0.00035150860708804227
29,0.013849450760524188,7.418311017768325e-05,0.00039948827421264124
30,0.013860883092685627,7.3238536479226e-05,0.0004011439850833707
31,0.0138476678470242,7.78291686531408e-05,0.00043333447161564477
32,0.013800480813579357,7.943152573853702e-05,0.00044933256391770657
33,0.013796850102283622,6.955830832818205e-05,0.0003995820597784497
34,0.013806612313199504,6.667489521556472e-05,0.00038877810659580895
35,0.013776227699389066,6.342955520458449e-05,0.00037525430919684336
36,0.013698961038244029,6.613018279896063e-05,0.0003967810967937637
37,0.013620924704280552,6.561466844387538e-05,0.0003991184466483461
38,0.013607265384760264,6.4946939425741e-05,0.00040035982284601564
39,0.013594687808147248,6.584313058332005e-05,0.00041119021870111806
