sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.7119492948941986,0.03002229524697676,0.06713189301280888
6,0.7100318294883872,0.02278267709122932,0.05580593384810751
7,0.7100031662283159,0.016781777985254986,0.04440041110648327
8,0.7134102598107674,0.01460715895879786,0.04131528461454319
9,0.7142963873504541,0.013504058900491197,0.04051217670147359
10,0.7152452626651602,0.017989274102377856,0.05688707961659507
11,0.7211680338459813,0.02204058203446571,0.07310034076937083
12,0.7004389555915952,0.012451252012061244,0.043132402205468566
13,0.6893428434952866,0.011102498076194369,0.04003062609945909
14,0.6631207512348077,0.010844700358257095,0.040577153202822666
15,0.667712606447191,0.01131694155766738,0.043830326182848385
16,0.6541463185567555,0.007698986600615502,0.03079594640246201
17,0.6526171739650459,0.006926681432895638,0.028559439182833404
18,0.6480477091178584,0.008107283729666922,0.03439629181350507
19,0.6465391108084583,0.009411381572737958,0.04102326119466565
20,0.6439505801526786,0.009195838898667166,0.04112504177511317
21,0.6390582474747166,0.009183137722257144,0.04208242372944772
22,0.6392171319521798,0.008976927258283751,0.04210552108704264
23,0.6406824608132837,0.008336354328725858,0.03997975087920791
24,0.6402141519302489,0.0077212040166459986,0.037826020081421295
25,0.6300819211761202,0.007298453306877756,0.03649226653438878
26,0.6301859642161943,0.009376512299218109,0.04781101918315588
27,0.6279786037658119,0.009222847191020197,0.04792331977587266
28,0.6292943304063229,0.010857845727226412,0.05745431913629269
29,0.6230025122550489,0.009705694778406899,0.05226676594946595
30,0.6586733746504739,0.028432139957680975,0.1557292441296585
31,0.6551183007552159,0.02850708506418329,0.15872073230852368
32,0.6501203440065408,0.02737182201782777,0.15483840769789814
33,0.6496912396762793,0.02767878492163988,0.15900251396241247
34,0.6454717634925082,0.02706150764392097,0.15779434927369157
35,0.6431286333167372,0.02743156105395473,0.16228730377016437
36,0.6445283691713005,0.026503445629932777,0.15902067377959667
37,0.6405148422545504,0.026056301267555627,0.15849429302844936
38,0.639621495340243,0.025814340404497035,0.15913028146688935
39,0.6390731618104902,0.025203204299752435,0.15739396040517986
40,0.6116374072461728,0.013857852124137392,0.08764475238015319
41,0.6110833367062682,0.013980840822941506,0.08952106073306737
42,0.6110465811258946,0.014031787225466481,0.09093637454348014
43,0.6082100816324081,0.013399770805629273,0.08786817329765065
44,0.611772727796851,0.012819592900635562,0.08503555923302399
45,0.6101478180894001,0.012529290294233246,0.08404903442320164
46,0.6094884555148805,0.011974086174191953,0.08121220367974781
47,0.6088061562913912,0.012434265216372451,0.08524502753323047
48,0.6038071483989166,0.011220356404453376,0.07773690948617637
49,0.6010504603151443,0.011399293508552464,0.07979505455986724
50,0.5937415640045473,0.011248107025893064,0.07953612753521035
51,0.6019624259854026,0.010629142753401292,0.07590726223018021
52,0.596567707346684,0.01018743326646991,0.07346262601524971
53,0.5968067730620702,0.010220943147421854,0.07440958928531978
54,0.5930635796160948,0.009360270051839419,0.06878365644498367
55,0.5941256852864154,0.009339862955987812,0.06926627752387764
56,0.5927732020983293,0.00909212422296729,0.06803922752066369
57,0.5921633445386462,0.008976922613769176,0.06777427947219523
58,0.5897036457995342,0.008913286942343467,0.06788157098034732
59,0.5880967978847013,0.00869842029362273,0.06681383405153424
60,0.5842464240385835,0.008104059638182861,0.06277377603070786
61,0.5819646047054554,0.008006774182004295,0.06253490546005681
62,0.5821542159064855,0.008355966599837965,0.06579494680210383
63,0.5806372992396612,0.00823671564772547,0.06537690367150768
64,0.5784042805264256,0.008295204550732238,0.0663616364058579
65,0.5766272350499131,0.008459190188513188,0.06820017164167151
66,0.5677881048468205,0.007692986188868312,0.062498115244700204
67,0.5680534174668647,0.007595667835359712,0.062173220770384036
68,0.5661544742927983,0.007028144144120776,0.057955561316552384
69,0.5665813659234326,0.007003527084113448,0.05817566520148981
70,0.5659474359720205,0.00661190447959547,0.05531916177339119
71,0.5630035118510046,0.006233378629520337,0.05252338192525515
72,0.5609957281098222,0.006185314208756988,0.05248413144937885
73,0.555908476975579,0.006121556383707184,0.05230260066956662
74,0.5560130977906695,0.006265830381808557,0.0539007110124351
75,0.5526152256591244,0.0060940951472112535,0.05277641210564414
76,0.5591855480654722,0.006717169227268137,0.05855892369664601
77,0.5584334449691821,0.006795126742637712,0.05962699517446176
78,0.5574659307437596,0.006579431835558194,0.058107968607954454
79,0.5567785543297261,0.006789270097096631,0.06034435257466194
80,0.552209225171721,0.0066662556760897764,0.05962480338852224
81,0.5510567338492482,0.0065573071784904855,0.05901576460641437
82,0.5515559232432818,0.006343718200786369,0.057444811515932725
83,0.5500529746601855,0.006215245944911403,0.05662358535916128
84,0.5483940452572046,0.006492034652675196,0.05950048042032086
