sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,27.65220299586586,3.030100631313001,6.775510990280899
6,22.747417334575765,2.1744250639077674,5.326231890492732
7,21.354049267157134,1.936428327406053,5.123307786017177
8,20.892228090059938,1.7326547978796971,4.900687828144563
9,17.21670491863795,0.8131857718675347,2.4395573156026042
10,15.995014946754683,0.6468303283661978,2.0454570973118047
11,15.49585029656349,0.3586580850473946,1.1895342961295843
12,15.564174363852832,0.7528289014476395,2.607875813427149
13,14.70305846753514,0.5027381425779586,1.8126481511963553
14,14.666657201938548,0.5200458743563942,1.9458334872469152
15,14.478308458773,0.4315941514609932,1.6715569609289482
16,14.651083605247909,0.46095013911525823,1.843800556461033
17,13.996357194999021,0.4972521935341371,2.0502233165113224
18,13.481119461962157,0.4017733321580655,1.7045798860132997
19,12.987620489473983,0.21099291846664123,0.919696809398806
20,12.7286064271912,0.23442745555230068,1.0483914528145097
21,12.69689071708277,0.266713349119902,1.2222341111971347
22,12.537872543583134,0.22179088007453643,1.040291439286714
23,12.175343097321583,0.20166842882053296,0.9671678081944592
24,12.147637230505083,0.20438679644368446,1.0012867228982367
25,11.841289089765342,0.16086989201135513,0.8043494600567757
26,11.955587943620824,0.2096948582234778,1.0692381739815857
27,11.766525015873311,0.20899978941840078,1.085994762131599
28,12.158955690399932,0.2261755479806367,1.1968085052010435
29,12.015509457965212,0.20403849157103668,1.0987809041091567
30,11.892000010089427,0.19388505247285082,1.0619521680245319
31,11.713239938872231,0.19482195889574278,1.084722759836452
32,11.72670741933212,0.20203589176308762,1.1428875928700049
33,11.746097406002422,0.20321433079540455,1.1673774539285036
34,11.849961902098155,0.24555747452649995,1.4318338213837216
35,11.851282254858338,0.21160323893421887,1.2518616438971297
36,11.848891769645162,0.21834516205816648,1.310070972348999
37,11.865200417425642,0.2510281442843936,1.5269445901034044
38,12.056898568531597,0.24664131658573876,1.5203991856718324
39,11.986113813043511,0.27059354503876587,1.6898561471466196
40,11.98861526734348,0.27679611195572695,1.750612322518122
41,12.027615099350447,0.27775046587327906,1.7784707399914583
42,11.92392341868446,0.24836404885970192,1.6095829994664286
43,11.889291674691663,0.25906728541548874,1.6988177977698677
44,11.752518330686035,0.22502683490926964,1.4926591583105913
45,11.622792163391296,0.19957781872947294,1.3388087084406968
46,11.703349619332693,0.20421476851134604,1.3850519474714882
47,11.579757629003284,0.19965740090920436,1.3687821790473025
48,11.60503499103018,0.19667203997950075,1.362583862690851
49,11.697414460910457,0.2111657389215505,1.4781601724508535
50,11.61905353213349,0.22030675933275826,1.5578040346542608
51,11.530504445786194,0.19506730091457317,1.3930591682304556
52,11.570224297327481,0.1943130725770868,1.401211493339284
53,11.444551064508465,0.19896518229728968,1.4484883912649997
54,11.51753101088921,0.20076326821705973,1.4753026986759474
55,11.71250199955073,0.21203865752862835,1.572520771169609
56,11.598354458661838,0.19763136020743896,1.4789376775566911
57,11.523132791298067,0.20245236929175564,1.5284818691810473
58,11.604343509311043,0.20116533512181456,1.5320295490528157
59,11.575222829239946,0.20149848920888816,1.5477392635887999
60,11.680914959230142,0.18167370725188325,1.407238485260611
61,11.659032275174296,0.18212927387033173,1.4224751022188726
62,11.606218257845875,0.1448841379474008,1.1408188430172472
63,11.506311972926657,0.1505422695193725,1.1948922208545563
64,11.673292404047414,0.14563987101994433,1.1651189681595546
65,11.610805581512695,0.15012786647190424,1.21036955469864
66,11.745679465174465,0.17507305480870788,1.4223002208828794
67,11.99239363495119,0.18721047655004397,1.5323837931524649
68,11.939211130444454,0.17160268570776058,1.415071997625534
69,11.884262881154779,0.1594022137655007,1.3240942326664762
70,11.759618711076792,0.15405948241689477,1.2889541064674512
71,11.739433244016922,0.16897667311297287,1.4238227558229721
72,11.578901386497224,0.1466904076019493,1.2447093834042842
73,11.625183438075993,0.1628838333840426,1.3916800824849367
74,11.4995362337262,0.17021914450389966,1.4642804477002762
75,11.336293642942584,0.1475510409588542,1.2778294982520597
76,11.42286394418915,0.13965857625926406,1.2175152410258014
77,11.37900080674343,0.13276952790248628,1.165047879075182
78,11.448650743012417,0.13784808499043763,1.2174413225167822
79,11.354735933230808,0.1347277854589634,1.1974867505736508
80,11.45709671347542,0.1493808995370108,1.3361033836192922
81,11.592031415014768,0.16472582588074214,1.4825324329266794
82,11.642539592976187,0.14582539149543328,1.3205050829108171
83,11.771134059859383,0.17552557118510348,1.5991140577232499
84,11.82286481441587,0.1763385937958474,1.616169908023082
85,11.894935386588788,0.1760969682310007,1.6235338274002042
86,12.128958110003968,0.19824120257373234,1.8384132827570747
87,12.130988850783668,0.19545208051451538,1.8230556416737194
88,12.044654015899898,0.19383182891848827,1.8183037302293523
89,12.228230590146897,0.19325828860990577,1.8231950483594006
90,12.171317246304135,0.18338590452688033,1.7397514472253748
91,12.0493208904746,0.1735568103902294,1.6556264510412768
92,12.05144817067685,0.17559509072510285,1.6842489428768102
93,12.040302843911364,0.1705405833131745,1.6446338260482778
94,12.058725024139948,0.17493597679850503,1.6960672221271262
95,12.186991242694246,0.18333071958995084,1.7868868209290907
96,12.153134845640647,0.18633278934435238,1.8256810249726791
97,12.672560252648953,0.2151739784935438,2.119217916829646
98,12.791084764437771,0.22336562135405627,2.2112068376075986
99,12.68186763585912,0.2245556271004267,2.234300278965234
100,12.796255596388603,0.22465324495791808,2.2465324495791807
