sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,29.695987723753394,0.0,0.0
6,20.156642746146815,0.0,0.0
7,19.167635534670588,0.0,0.0
8,18.292128634310487,0.0,0.0
9,17.273320566153263,0.0,0.0
10,15.794619106841337,0.0,0.0
11,15.720494721739499,0.0,0.0
12,15.190000004454383,0.0,0.0
13,14.313542866186877,0.0,0.0
14,14.235492519318816,0.0,0.0
15,13.85117316409103,0.0,0.0
16,14.1070995939872,0.0,0.0
17,13.472955285350524,0.0,0.0
18,13.111951492709794,0.0,0.0
19,12.579475129668776,0.0,0.0
20,12.909843159319697,0.0,0.0
21,12.671728920343114,0.0,0.0
22,11.749818434931921,0.0,0.0
23,11.048813007885983,0.0,0.0
24,12.085437979074594,0.0,0.0
25,11.452061495785278,0.0,0.0
26,11.481388989580257,0.0,0.0
27,10.584228164049483,0.0,0.0
28,11.191706972002933,0.0,0.0
29,10.688136257098535,0.0,0.0
30,10.720452006370785,0.0,0.0
31,10.650651140697809,0.0,0.0
32,10.466877100541065,0.0,0.0
33,10.32523366680641,0.0,0.0
34,10.092100025391792,0.0,0.0
35,10.123922502150746,0.0,0.0
36,10.30817856013401,0.0,0.0
37,10.188494040282688,0.0,0.0
38,9.894818493356434,0.0,0.0
39,10.26051374787325,0.0,0.0
40,10.105100686832653,0.0,0.0
41,10.234858524520591,0.0,0.0
42,10.100383337342919,0.0,0.0
43,10.373777341518574,0.0,0.0
44,10.260404111274825,0.0,0.0
45,10.12799471975894,0.0,0.0
46,10.337074712249871,0.0,0.0
47,10.373596160525247,0.0,0.0
48,10.554093298388052,0.0,0.0
49,10.538668866635826,0.0,0.0
50,10.447338941212097,0.0,0.0
51,10.530352496650417,0.0,0.0
52,10.104763028549973,0.0,0.0
53,10.209206847411636,0.0,0.0
54,10.17734903360846,0.0,0.0
55,10.122381339904452,0.0,0.0
56,10.179997665989701,0.0,0.0
57,9.989156459687356,0.0,0.0
58,10.164687515237638,0.0,0.0
59,9.794915827161278,0.0,0.0
60,9.878951930836694,0.0,0.0
61,9.854562723108451,0.0,0.0
62,9.59178777819007,0.0,0.0
63,9.34503098329192,0.0,0.0
64,9.238243204727684,0.0,0.0
65,9.306856919731315,0.0,0.0
66,9.353319895334964,0.0,0.0
67,9.447878866936474,0.0,0.0
68,9.017400269834736,0.0,0.0
69,8.81038340373532,0.0,0.0
70,8.882588406863578,0.0,0.0
71,8.696089733150341,0.0,0.0
72,8.910329272250369,0.0,0.0
73,8.969592890516859,0.0,0.0
74,8.801392400236091,0.0,0.0
75,8.992532437371693,0.0,0.0
76,8.633296033720882,0.0,0.0
77,8.707456322702642,0.0,0.0
78,8.47747252395735,0.0,0.0
79,8.577284514139714,0.0,0.0
80,8.363958054786103,0.0,0.0
81,8.332464490883645,0.0,0.0
82,8.33085222364767,0.0,0.0
83,8.373639908584535,0.0,0.0
84,8.366987202005035,0.0,0.0
85,8.321494207528438,0.0,0.0
86,8.41127368350845,0.0,0.0
87,8.402576009106928,0.0,0.0
88,8.307109346621544,0.0,0.0
89,8.48831980483496,0.0,0.0
90,8.398369595227217,0.0,0.0
91,8.35872265558039,0.0,0.0
92,8.371241444524104,0.0,0.0
93,8.341237469588929,0.0,0.0
94,8.34227932734952,0.0,0.0
95,8.33697401449145,0.0,0.0
96,8.228404435589475,0.0,0.0
97,8.261396834699191,0.0,0.0
98,8.249090402745738,0.0,0.0
99,8.329912022332687,0.0,0.0
100,8.37099395721655,0.0,0.0
101,8.354876503611667,0.0,0.0
102,8.29324080030692,0.0,0.0
103,8.155076987204529,0.0,0.0
104,8.250243732849325,0.0,0.0
105,8.133208349474467,0.0,0.0
106,8.14462398715553,0.0,0.0
107,8.203405411884901,0.0,0.0
108,8.275872911851993,0.0,0.0
109,8.143734990818665,0.0,0.0
110,8.167577645787153,0.0,0.0
111,7.991221606015165,0.0,0.0
112,8.023217135193256,0.0,0.0
113,7.940147022960812,0.0,0.0
114,7.946086740565343,0.0,0.0
115,7.975812765802557,0.0,0.0
116,7.99161531547983,0.0,0.0
117,8.010927454550002,0.0,0.0
118,7.9424885158680665,0.0,0.0
119,7.812543395243807,0.0,0.0
120,7.90396265846421,0.0,0.0
121,7.848112332601855,0.0,0.0
122,7.8330782714578,0.0,0.0
123,7.858480736026183,0.0,0.0
124,7.835033534737417,0.0,0.0
125,7.869308790843168,0.0,0.0
126,7.785807156072479,0.0,0.0
127,7.797265815669706,0.0,0.0
128,7.807916374542233,0.0,0.0
129,7.8069881576821185,0.0,0.0
130,7.7955746633803535,0.0,0.0
131,7.667180207550946,0.0,0.0
132,7.7564492382923484,0.0,0.0
133,7.758561271217787,0.0,0.0
134,7.728273143194,0.0,0.0
135,7.816282633314696,0.0,0.0
136,7.73478878023195,0.0,0.0
137,7.650017363577255,0.0,0.0
138,7.713140929456087,0.0,0.0
139,7.785391764599657,0.0,0.0
140,7.783892561524984,0.0,0.0
141,7.805232220693963,0.0,0.0
142,7.640966573964002,0.0,0.0
143,7.6154170827111605,0.0,0.0
144,7.697194127788447,0.0,0.0
145,7.61739416527183,0.0,0.0
146,7.621609169096594,0.0,0.0
147,7.65089637097004,0.0,0.0
148,7.670520969832217,0.0,0.0
149,7.596359032317815,0.0,0.0
150,7.717446605711484,0.0,0.0
