sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,25.29748698564747,2.2735973191455083,5.083918159070641
6,21.305873582230216,2.9064850280285626,7.119405263708841
7,20.158594793966152,1.6482187280285048,4.360776860602629
8,18.901944857778375,1.4644132142247925,4.141986056950157
9,17.078492093334056,0.9792877259198304,2.9378631777594912
10,15.968196307165893,0.8464793042386869,2.6768025935888726
11,16.283761144849635,0.803280361300889,2.6641795598961706
12,15.504386121461105,0.7116823750686213,2.465340064940284
13,14.92092467578703,0.7374736454788828,2.658999043077464
14,15.365686538163775,0.7906979288054431,2.958520746021742
15,14.50826378459755,0.6802925091843947,2.634761558620817
16,14.534498398200364,0.6489628662884833,2.5958514651539333
17,13.813920591016606,0.5041232959037887,2.078553597345828
18,13.303601569672612,0.45818771091686744,1.9439258246739506
19,13.30353897701247,0.4519106879863637,1.9698330204385
20,12.001539203748273,0.2645230360801442,1.182982980579664
21,11.875697458813379,0.2660014148702647,1.21897161860834
22,11.450569624402956,0.23482955620248266,1.1014482512844666
23,11.507359344597862,0.20669286350723667,0.9912641504517788
24,10.9486234361887,0.2217206449014223,1.0862048908986104
25,10.830658181537657,0.2518548471094472,1.2592742355472362
26,10.524199428502557,0.24379610522097964,1.243121097859695
27,10.313639841058611,0.2258341884384198,1.173468865384281
28,10.132914972323585,0.15472512020435414,0.8187283792705927
29,9.987581416667007,0.1445358517842934,0.7783493823979856
30,10.098503173389517,0.15075900531250705,0.8257410795670129
31,10.152710322999807,0.13928001195615974,0.7754782870240455
32,9.710999247153053,0.13484617284408668,0.7628051458808558
33,9.556918205701765,0.13289156700010868,0.76340393182873
34,9.485141049426174,0.10782204584821063,0.6287051625447206
35,9.357457882490479,0.11038276652239419,0.6530332534257414
36,9.283370122847263,0.1079251681869247,0.6475510091215482
37,9.291847247109514,0.1050485066751281,0.6389851202672516
38,9.279996356708272,0.10022808170579041,0.617847390357893
39,9.176106491630168,0.09910127024973028,0.6188872343483044
40,9.057012511960282,0.08392545242310899,0.5307911666342435
41,8.962209557334964,0.07467311376966443,0.4781412246631189
42,8.809367636683326,0.06823155801467175,0.4421910349414602
43,8.75143401191221,0.07559548159911753,0.49571272330121624
44,8.677377470581444,0.07469299201300879,0.49545725795232565
45,8.777088628548926,0.08490237226713637,0.5695424275209297
46,8.722630413335922,0.07343137955796201,0.49803584727821765
47,8.621612693422636,0.08038081660048137,0.5510631151110826
48,8.570482526942666,0.0795757347797391,0.5513168627525356
49,8.568643722150433,0.07221148736073411,0.5054804115251388
50,8.470446730638736,0.06986621564552563,0.49402874858792833
51,8.339957065504262,0.06780884864894075,0.48425203944830497
