sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,28.436452638852472,4.180249053786743,9.347321047146332
6,24.110165863770685,2.313746349017539,5.667497949320488
7,24.48496434007905,2.445059091744844,6.469018297614317
8,21.871767408931742,2.2081957209002616,6.245720673742768
9,18.829236031461317,1.2075018140104594,3.6225054420313785
10,16.4790237452523,0.8909978247835187,2.8175825165715414
11,16.75795578916572,0.8191649545844711,2.7168627957652123
12,16.11903769293194,0.7988630344788976,2.767342728012197
13,15.159238549950889,0.8581518666496083,3.0941105573402985
14,14.366030219579887,0.752015782865238,2.813785408928306
15,13.519170938278847,0.7160576699080331,2.7732794304779
16,12.657279877781416,0.35508180554391766,1.4203272221756706
17,12.289106383703524,0.3175729850685605,1.3093869612803752
18,11.966190671622053,0.27436424114204744,1.1640288925598572
19,11.620518092437216,0.24741792878466334,1.0784697483924908
20,11.70516985991452,0.2728019187763295,1.220007269552498
21,11.73999614193914,0.2960922359351538,1.3568650838615661
22,11.703401715096279,0.3003992257943077,1.4089972629043779
23,11.348628976978649,0.3086674459589392,1.4803170675503057
24,11.17423970277871,0.293553687313161,1.4381134920595364
25,10.713839445781097,0.24802709767052597,1.2401354883526299
26,10.472557480707382,0.26227436453756076,1.3373421026921697
27,10.373514186646318,0.2694087076620106,1.399888709016219
28,10.090694018374256,0.2670879088170812,1.413296369844585
29,9.915125690884945,0.25495113531919034,1.3729538814598903
30,9.527145737398717,0.16479082117490326,0.902596500272945
31,9.39130960917225,0.15947363205425513,0.887911605362749
32,9.16360287878399,0.14293144083375492,0.8085423284664953
33,9.04035882963122,0.1508903604635305,0.8667991284414558
34,8.740340080574061,0.173385299757842,1.0110013421613093
35,8.711700269753658,0.16601307777241137,0.9821466131395071
36,8.607258003440782,0.14581143096843183,0.8748685858105909
37,8.534366841760221,0.16292597555893149,0.9910400193421519
38,8.530657012026827,0.16296028988456915,1.0045546928923217
39,8.28479262511199,0.10787583545471388,0.6736843764902432
40,8.180833711822153,0.11122418896067161,0.7034435360413567
41,8.025009653350974,0.09968175576993034,0.6382746664003026
42,7.8113766595097855,0.0801858655000121,0.5196638019829871
43,7.753321893733025,0.06917853961221836,0.45363402070811265
44,7.604481718045912,0.08383663404702402,0.5561093176406268
45,7.544775337388721,0.0841183050232589,0.5642827445522068
46,7.507823961909841,0.07889051407618328,0.5350614990030639
47,7.460524711360803,0.09187253662349511,0.6298463783533776
