sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,22.3670669634573,2.5873365173923264,5.785460333556809
6,19.722195064774887,2.2651832737996216,5.548543194696192
7,18.160277358431763,1.9277882612496562,5.100448319656206
8,17.259206384622015,1.8462177788755065,5.221892443960146
9,14.644196899350726,0.4226559686831238,1.2679679060493714
10,13.66333717325765,0.23099290659325164,0.7304637081772009
11,13.392437064984588,0.23152791130830833,0.7678912103043417
12,13.097718977410954,0.3383051165880232,1.1719233007819374
13,12.792141317352733,0.3207612998170575,1.1565213136748786
14,12.753449455764677,0.37456593402989313,1.4014973938968305
15,12.097136624731743,0.2865798833906947,1.109919115730224
16,11.779473364185858,0.24989318348171666,0.9995727339268666
17,11.55591957211551,0.27347126431822805,1.1275509083552602
18,11.85594142900165,0.33258451626787744,1.4110366006239825
19,11.7320074826371,0.3066638238267005,1.3367166177003482
20,11.557273635308816,0.29671846536309154,1.326965317462579
21,11.311067467052965,0.21023288124411604,0.9634080918698237
22,11.4798553637063,0.30463761026553704,1.4288770482244229
23,11.387175322190455,0.28412957559479834,1.362637575342998
24,11.223468608212475,0.2598088710934831,1.2727983296551275
25,11.056850845272018,0.27978705391612707,1.3989352695806354
26,10.982606051755338,0.26007544174540204,1.3261297524660685
27,10.910560504903248,0.2339589645059759,1.2156864402316616
28,10.864903428133353,0.2224821457089447,1.1772648573958076
29,10.810756369713342,0.1915004485520056,1.031261476092732
30,10.657169502594826,0.21449984157511787,1.1748640181197652
31,10.619344669621611,0.20856716285948185,1.1612528166255882
32,10.649208313953924,0.19188837501122935,1.0854845696104602
33,10.386009106724368,0.18774295012926806,1.0785011384634453
34,10.392674378300478,0.19613932716771248,1.1436789814022554
35,10.15338947793977,0.17046371652052938,1.008476947059128
36,10.004173872570789,0.17857252902419718,1.071435174145183
37,10.027166504691722,0.15448421145502336,0.939690772961283
38,9.953724851196524,0.1360511087643904,0.8386753599866632
39,9.911032895216863,0.14795911406964934,0.9240043712097605
40,9.884333958281895,0.14351144436226093,0.9076460689705501
41,9.795632373404636,0.13039652702992616,0.8349451627023877
42,9.828877220168684,0.13744996051178976,0.8907775530833092
43,9.765345207874136,0.13622413339118775,0.893281380239029
44,9.767645093105179,0.14019111978387203,0.9299226865257466
45,9.703262725228774,0.13743922172054618,0.9219703276254206
46,9.622797553469788,0.13177491772676533,0.8937409755221059
47,9.522015833270341,0.1266165746895058,0.8680395027571328
48,9.595362193701561,0.11339949302206274,0.7856547338670601
49,9.514361242808196,0.11905830777764649,0.8334081544435255
50,9.46653131576247,0.12109729108912265,0.8562871571243991
51,9.351567156646798,0.11858949142770214,0.8468983654082307
52,9.27287586443964,0.12083939600407984,0.8713852767776162
53,9.282361251993857,0.11206334453418174,0.8158334627691464
54,9.272850162865238,0.12264361331517187,0.9012428185001398
55,9.120164138178378,0.08169025905000214,0.6058311755770787
56,9.124529146556844,0.08721500478622124,0.6526573337917787
57,8.927441082405918,0.03906155032711841,0.29490823775474
58,8.918158626360585,0.041756497041801115,0.3180080071660348
59,8.890143534639035,0.04202317527871909,0.32278613410407037
60,8.842356784079053,0.03717813902055202,0.2879806265391642
61,8.92127281150309,0.0429783279741243,0.3356714721309142
62,8.892849589098242,0.03616531826941177,0.2847660008194915
63,8.945888645050463,0.043155940506169166,0.3425396585232676
64,8.81190606642281,0.027214617420504725,0.2177169393640378
65,8.737513133708763,0.03400181214277084,0.2741313734042459
66,8.717195729476218,0.021305185833002744,0.17308414792522028
67,8.72518246019622,0.029557873434009736,0.24194162124372665
68,8.6535262937922,0.03241631910978846,0.2673118153667722
69,8.580593398988304,0.03079230212168789,0.2557800715981955
70,8.678748392374645,0.03288705706381911,0.2751528603564255
71,8.684346719991863,0.03935842782083099,0.3316400076550731
72,8.693749368510412,0.03536791868130473,0.3001067416320594
73,8.651164985980929,0.0353628509596062,0.302140331043981
74,8.634758346422416,0.03128589427948143,0.2691314388624075
75,8.594479779043658,0.03450389791152756,0.29881252120967705
76,8.60011257348581,0.03574307103798996,0.3116008691727874
