sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,28.39526482797636,3.09806586617813,6.927485875546066
6,22.428231959000335,3.155801138260617,7.730102518432859
7,19.523053927643787,2.0599464838912915,5.450106110478278
8,18.441953081878882,1.8223103633752897,5.154272061476756
9,17.629067209327907,1.495388319550141,4.486164958650423
10,15.236346306786796,0.8714075115382921,2.7556325066404606
11,14.507034833418775,0.6646664374305931,2.204449183699511
12,13.790339334040874,0.6529397284148374,2.261849567789445
13,13.746935441669635,0.5709839326782384,2.058711846737467
14,13.469000189227335,0.5212945846855856,1.9505057334740756
15,12.407856386927202,0.26868887733143076,1.0406275472157989
16,12.140175498589395,0.24517221443796794,0.9806888577518718
17,11.983750306893752,0.192680374532576,0.7944415361813819
18,11.794034190514108,0.22291286500600488,0.9457391907568049
19,11.764692487482067,0.31733139511462244,1.383215482917416
20,11.553896253490542,0.2961906080533789,1.3246046678087038
21,11.351822192586091,0.2503201330610358,1.1471109577236145
22,11.46030371763204,0.2530857580732868,1.1870774282538044
23,11.298249097009045,0.2547262978468706,1.2216244090307669
24,11.22120516230891,0.2618069341141215,1.2825867994041036
25,11.372509569713774,0.30442523778669195,1.5221261889334596
26,11.382797827494676,0.2997351633235029,1.5283554466964617
27,11.297402861703691,0.2842756714892206,1.4771397191252682
28,11.15586393587518,0.25697850296976515,1.359802422295344
29,10.974289733551478,0.21999081389104785,1.1846867888589472
30,10.846171593128785,0.16980110041114338,0.9300389298438296
31,10.667432098018878,0.17173457398304812,0.9561776408886111
32,10.599731482038294,0.14994095448160705,0.8481941255322224
33,10.701368114162772,0.1432045935740452,0.8226477590581198
34,10.638748453388894,0.13013319424817585,0.7588003955836725
35,10.50681863668133,0.12248066237853171,0.7246053705182812
36,10.237762165317191,0.1164067891202666,0.6984407347215996
37,10.221879414606626,0.11792106228622623,0.7172858192076194
38,10.18844437381338,0.10970419439069423,0.6762620720864261
39,10.183290771517468,0.10417831280458395,0.650593354941149
40,10.126934041671152,0.11912829654376886,0.7534335017085485
41,10.154237978286227,0.11688071636188067,0.7484017478252722
42,10.041799646697555,0.0991092538542822,0.6423013750422827
43,9.95426576605924,0.09291960798001303,0.6093146170311771
44,9.966070176384392,0.10801931147830485,0.7165190525721349
45,10.003917332351365,0.12193683347598026,0.8179771458400915
46,10.016767082707208,0.10801826590645405,0.7326155235825412
47,9.877934030121576,0.09075653783279226,0.6221954761098537
48,9.853828385397797,0.11291087578289694,0.7822694943323033
49,9.899972413676865,0.09455955404523979,0.6619168783166786
50,9.8515624255636,0.11552882823203589,0.8169121786540844
51,9.768926890045117,0.10022404035524085,0.7157428110163429
52,9.754708849213351,0.10176879238527795,0.7338651983743376
53,9.639445165099733,0.10064601809498516,0.7327140716500075
54,9.646156877597173,0.09324083778040931,0.6851774272548685
55,9.590348438123188,0.09402832904786462,0.6973327516289068
56,9.423672857787,0.09231274795291827,0.6908053505428754
57,9.334335617160002,0.08177007731903498,0.617350545518002
58,9.342197112004587,0.09280965141097038,0.7068172471802725
59,9.305941062441013,0.07963660749071486,0.6117003890019858
60,9.271811212720731,0.0811853073260352,0.6288586864609307
61,9.174797851559985,0.07787913647705906,0.6082555004298406
62,9.049636694605924,0.06423387663564689,0.5057780504073869
63,8.987993557217617,0.06302546126963678,0.5002490903537763
64,8.953247655650108,0.06683686939175107,0.5346949551340086
65,8.959149922349392,0.06333485347888257,0.5106219131974743
66,8.943349409359111,0.061809525799832246,0.5021429613701744
67,8.857233876388214,0.05425701229601413,0.44411278599069687
68,8.855032654675503,0.05856947595058593,0.48297627156267825
69,8.813263982721631,0.057113234074362036,0.4744181530505214
70,8.806704887320837,0.05319147187802808,0.4450317827285751
71,8.77622594676767,0.05300952198970753,0.4466661716897613
72,8.702400600172462,0.05531717795337923,0.4693818197632492
73,8.692606294817589,0.054720381438605324,0.46753114395664774
74,8.631359374828588,0.04752142471842272,0.4087947525811518
75,8.693231517227897,0.06041104535013111,0.5231749994238734
76,8.585672419240195,0.05051139840026584,0.44034816224736173
77,8.604170068863889,0.04684428326083979,0.4110569173667781
78,8.53660937405203,0.04349948758048321,0.3841770721186259
79,8.569700994928022,0.04513306075978913,0.401151418681523
80,8.576737694168502,0.040918377148540734,0.3659850913324444
81,8.548819591777464,0.04502663905558144,0.405239751500233
82,8.564224659916496,0.045010189490098114,0.40758460097338345
83,8.536752388790351,0.04033862185626312,0.3675023350957037
84,8.538734371994519,0.03701698518351824,0.33926627320506225
85,8.484113643731204,0.04034472890922299,0.37196002179601095
86,8.498250808248992,0.044237633864431705,0.41024293960216096
87,8.405199613242853,0.03929037492197502,0.3664762200352359
88,8.40400261807074,0.03509672450457337,0.3292364594688642
89,8.410605275365663,0.032284869120555934,0.3045748461342416
90,8.414954711478284,0.032520055759481144,0.30851233750691176
91,8.426926059795731,0.028814023392997365,0.27486826465125097
92,8.390076485327171,0.02980111906470456,0.28584229248101156
93,8.370892764698466,0.03074488218046473,0.29649290643627746
94,8.3720776257579,0.03164456113305982,0.3068054032030275
95,8.400185847194559,0.027894034830680963,0.27187742094158546
96,8.32297925209607,0.028551309893085918,0.2797445629045513
97,8.317309714448848,0.022751113959845408,0.2240724862229757
98,8.3207964971235,0.024991463612732245,0.24740286749275756
99,8.277301135444096,0.023675920129852257,0.2355724309114273
100,8.286522234819591,0.024029513882596224,0.24029513882596223
