sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,19.834477558372903,0.0,0.0
6,16.31693907679052,0.0,0.0
7,15.795126432028038,0.0,0.0
8,15.380143426850935,0.0,0.0
9,14.026619410962281,0.0,0.0
10,13.987307135453756,0.0,0.0
11,14.097662650316307,0.0,0.0
12,11.810695333902034,0.0,0.0
13,11.860578431692426,0.0,0.0
14,11.502707148979862,0.0,0.0
15,11.610677696637548,0.0,0.0
16,11.541430998569098,0.0,0.0
17,11.374216824903186,0.0,0.0
18,11.013927611466011,0.0,0.0
19,10.750958460495394,0.0,0.0
20,10.354787083603279,0.0,0.0
21,10.420140678359807,0.0,0.0
22,11.498740301875461,0.0,0.0
23,11.42143360768551,0.0,0.0
24,11.096281606695213,0.0,0.0
25,11.196812780259762,0.0,0.0
26,10.793712588301181,0.0,0.0
27,10.967691813530312,0.0,0.0
28,10.193278576464389,0.0,0.0
29,10.027781454708636,0.0,0.0
30,9.733986493107308,0.0,0.0
31,9.898899380157676,0.0,0.0
32,9.925999192403172,0.0,0.0
33,9.852334511826284,0.0,0.0
34,9.959152230859816,0.0,0.0
35,10.10873606241864,0.0,0.0
36,10.349697552319308,0.0,0.0
37,10.194682266317239,0.0,0.0
38,10.120020260588477,0.0,0.0
39,10.155309272908912,0.0,0.0
40,10.099686821312288,0.0,0.0
41,10.00965978214743,0.0,0.0
42,10.12584444625169,0.0,0.0
43,10.235847480104935,0.0,0.0
44,10.151580198519179,0.0,0.0
45,10.077415424687796,0.0,0.0
46,10.286938220983005,0.0,0.0
47,10.214410269418947,0.0,0.0
48,10.267495813868969,0.0,0.0
49,10.307433582636861,0.0,0.0
50,10.355278389694604,0.0,0.0
51,10.208563921700275,0.0,0.0
52,10.146586615933753,0.0,0.0
53,10.14084440045571,0.0,0.0
54,10.186903202607633,0.0,0.0
55,9.95124404825107,0.0,0.0
56,10.141466975041135,0.0,0.0
57,10.060570951909742,0.0,0.0
58,10.077303216814217,0.0,0.0
59,9.850578333608762,0.0,0.0
60,9.826824989716595,0.0,0.0
61,9.775012553753548,0.0,0.0
62,9.507940720883333,0.0,0.0
63,9.642650402931837,0.0,0.0
64,9.662033315954899,0.0,0.0
65,9.516215329471125,0.0,0.0
66,9.672797052394227,0.0,0.0
67,9.722317506537953,0.0,0.0
68,9.850393727574076,0.0,0.0
69,9.820329125706667,0.0,0.0
70,9.746396431893116,0.0,0.0
71,9.967966416618575,0.0,0.0
72,9.456303161901216,0.0,0.0
73,9.701261346069547,0.0,0.0
74,9.556791885301367,0.0,0.0
75,9.551347761702118,0.0,0.0
76,9.617010123079435,0.0,0.0
77,9.517425357644289,0.0,0.0
78,9.626792711173294,0.0,0.0
79,9.422867686287617,0.0,0.0
80,9.164530389368828,0.0,0.0
81,9.19573922873824,0.0,0.0
82,9.21434098888352,0.0,0.0
83,9.282148737110267,0.0,0.0
84,9.362379373610636,0.0,0.0
85,9.125841167296356,0.0,0.0
86,9.182012722262137,0.0,0.0
87,9.044704769888984,0.0,0.0
88,9.069130231288876,0.0,0.0
89,9.059106786817551,0.0,0.0
90,8.724829708993251,0.0,0.0
91,8.869584965290857,0.0,0.0
92,8.86606742101969,0.0,0.0
93,8.988387757221268,0.0,0.0
94,9.041622750496948,0.0,0.0
95,8.895486643591193,0.0,0.0
96,8.747088515372551,0.0,0.0
97,8.900541949667197,0.0,0.0
98,8.934364828043881,0.0,0.0
99,8.848705115644814,0.0,0.0
100,8.723623972977174,0.0,0.0
101,8.751266601905403,0.0,0.0
102,8.679566088510153,0.0,0.0
103,8.671232383111153,0.0,0.0
104,8.704169418390785,0.0,0.0
105,8.545916851037036,0.0,0.0
106,8.588904636241287,0.0,0.0
107,8.617727003309216,0.0,0.0
108,8.562274709519683,0.0,0.0
109,8.351940639018155,0.0,0.0
110,8.391967952451678,0.0,0.0
111,8.238803651970317,0.0,0.0
112,8.343206300912144,0.0,0.0
113,8.270723375156985,0.0,0.0
114,8.207578901008034,0.0,0.0
115,8.196474030331544,0.0,0.0
116,8.161733176456845,0.0,0.0
117,8.172391683992387,0.0,0.0
118,8.120789798791224,0.0,0.0
119,8.144193059600918,0.0,0.0
120,8.180550530161852,0.0,0.0
121,8.17573036792619,0.0,0.0
122,8.13455468411576,0.0,0.0
123,8.115268394880342,0.0,0.0
124,7.998186599807885,0.0,0.0
125,8.108149827437716,0.0,0.0
126,7.942469412717427,0.0,0.0
127,7.964997505185413,0.0,0.0
128,8.052713123240883,0.0,0.0
129,8.033162644293249,0.0,0.0
130,7.978373707349633,0.0,0.0
131,7.975641405212714,0.0,0.0
132,8.24320097300673,0.0,0.0
133,8.141745994019848,0.0,0.0
134,8.191653388909145,0.0,0.0
135,8.067656519659229,0.0,0.0
136,7.988718385171431,0.0,0.0
137,7.9572317666768875,0.0,0.0
138,7.848739568017318,0.0,0.0
139,8.049862208737856,0.0,0.0
140,8.053900542583252,0.0,0.0
141,8.078039079089674,0.0,0.0
142,8.093559903514619,0.0,0.0
143,7.944543700775744,0.0,0.0
144,7.84348183044235,0.0,0.0
145,7.808879256728357,0.0,0.0
146,7.82971445783,0.0,0.0
147,7.862901380976716,0.0,0.0
148,7.861090671687825,0.0,0.0
149,7.620936764701713,0.0,0.0
150,7.621184252738098,0.0,0.0
