sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.8559684772003016,0.07217280434263952,0.161383296636934
6,0.828729960153549,0.056540361916309234,0.1384950365672481
7,0.755137111897142,0.054331107937369824,0.143746600056888
8,0.7360738737417665,0.045609601865941755,0.1290034350665041
9,0.6951962718335551,0.03403284777443422,0.10209854332330268
10,0.6856793590544045,0.037261988633933256,0.1178327542305352
11,0.6478110056209639,0.015794166928720158,0.05238332557880468
12,0.6356035767961362,0.015765841983912437,0.05461447868047769
13,0.6218819107787781,0.01605320034466794,0.05788063697799645
14,0.6076920380143362,0.011369171172172676,0.042539543297857245
15,0.6066475690090986,0.010060747991847715,0.03896510942281591
16,0.5953925836046855,0.00823571035044179,0.03294284140176716
17,0.5797336436582375,0.009651986050012865,0.039796157981191224
18,0.5747975279027885,0.00875946092378682,0.037163245312489435
19,0.5765088574647927,0.009141554158271985,0.03984711076281161
20,0.5672802351738512,0.00773148707559898,0.03457626133640075
21,0.5611007428741732,0.007230042732984958,0.03313221810166896
22,0.562855350370108,0.0055755857395262745,0.02615181522292081
23,0.5543284482036572,0.004471070341876051,0.021442500088517738
24,0.5506796448668649,0.004095381545395526,0.02006319017645972
25,0.5504060413724681,0.003687093205981884,0.01843546602990942
26,0.5494157220702165,0.002372998976016808,0.0120999680844454
27,0.5434470909887059,0.0028198295873197235,0.014652264341771224
28,0.5401233411674042,0.0022689838572533144,0.012006334030224698
29,0.5370490260826509,0.0017671152555019769,0.009516206884079743
30,0.533482381329977,0.0017066626281117619,0.009347776194678624
31,0.5344047522216693,0.0018334428268905944,0.010208177632847783
32,0.5354965494147053,0.0017094373415301924,0.009670037889676027
33,0.5348486939487984,0.002152449954455039,0.012364883606904898
34,0.5320763850408379,0.002600195089979052,0.015161612486880801
35,0.5346674913172099,0.0024315711671835942,0.014385369023342798
36,0.529734206718052,0.0026254001146558546,0.01575240068793513
37,0.5301669265909803,0.0021805529332755017,0.013263785677860095
38,0.5328299027713905,0.0028524489272246543,0.017583676109737493
39,0.5324626362701661,0.0027751351165639523,0.01733071324822699
40,0.5326882900478925,0.002359952955220868,0.014925653018686596
41,0.5306556987203885,0.0022751488997870073,0.014568061063994867
42,0.5265312435794569,0.0028792571476080595,0.01865971897768528
43,0.5254040522157304,0.0023679235984986028,0.01552751342739856
44,0.5245899447710644,0.002527335242495126,0.01676444543759642
45,0.5283878401743737,0.002676735733519631,0.01795608917385797
46,0.5285096528992961,0.002451473196103474,0.016626700160760524
47,0.5241935729791586,0.0026081603609654416,0.017880646577236377
48,0.5250534006016097,0.002728564681719399,0.018904050641904004
49,0.524592371751893,0.0025873362196175186,0.01811135353732263
50,0.5227608347623741,0.002711409828321981,0.019172562761823254
51,0.5198884239681438,0.0024683635113868204,0.017627641352195692
52,0.5165068404273448,0.0025366643747285695,0.01829214694345331
53,0.5194723511702859,0.002161628567917644,0.015736893514248524
54,0.5142954241671311,0.002321337514872005,0.01705827729665031
55,0.5111787344308925,0.002366894839647146,0.017553361928905695
56,0.5103688712377988,0.002447000869734833,0.018311677759371196
57,0.511309397156946,0.0018914876588507388,0.014280418660680961
58,0.5107549111181685,0.002169759519831808,0.016524396197327273
59,0.5094226187349438,0.0022331816916705215,0.01715339405519305
60,0.5039949916368858,0.001965266181566931,0.01522288638414673
61,0.504980228665525,0.0019815918284335327,0.015476726935802274
62,0.5076646401399759,0.0022555019752626276,0.017759840313067123
63,0.5053962096162415,0.0018911237711536678,0.01501032959074569
64,0.5053844248240293,0.002064757908338626,0.01651806326670901
65,0.5034578162479938,0.002038334473914691,0.016433577905942767
66,0.5016808742206438,0.00191961629791891,0.015595036526458331
67,0.50151032864405,0.002188514681434067,0.017913764713959893
68,0.49955355782414346,0.00203483036327815,0.016779641036019536
69,0.49800851541674607,0.001898072369124698,0.01576657323491666
70,0.49708860795955834,0.0017391755924712367,0.014550986973444015
71,0.49445049509159267,0.0019597057201387273,0.01651277390923935
72,0.49133595902993915,0.001973682291811013,0.01674724958936848
73,0.4892885761602204,0.0020143105343836732,0.01721027675000666
74,0.49145324729818424,0.0020276471535145054,0.01744248034132489
75,0.48913565347086063,0.0018558310511007105,0.016071968353851922
76,0.4887421796622354,0.0017470450933960706,0.0152303860238441
77,0.48860109989210443,0.001739427264783995,0.015263412302938444
78,0.4860016845483132,0.0019314206304659389,0.017057845140567338
79,0.48415802485062676,0.0015051297013071031,0.013377885408493674
80,0.48768081249147305,0.0020982363876265145,0.01876719678238594
81,0.48610170811823583,0.0015919404052388082,0.014327463647149274
82,0.487432385161754,0.0019440452729763992,0.017604078672776784
83,0.482356090942771,0.0019467377430425223,0.01773562490400218
84,0.48166473525597525,0.0021734540389368932,0.01992003530587162
85,0.4827416758732098,0.001971345170971506,0.018174904444441444
86,0.4797749927235129,0.0021815710186009075,0.02023105734733478
87,0.48159356246263735,0.0018948605408949876,0.01767408251766845
88,0.4842291224077203,0.0021558591427870435,0.020223751398575556
89,0.4825272650694955,0.002068697202400514,0.019516050375384727
90,0.47826623594433026,0.0022152392207628194,0.021015604499241218
91,0.4810726385634866,0.0020602077907193343,0.019653129746317714
92,0.4804563984716516,0.002149740343320724,0.020619585010869274
93,0.4776053068263509,0.0020819321535805644,0.02007742659721291
94,0.4788126437554869,0.0022103829792305472,0.02143045809118364
95,0.47878138319838853,0.0020771810334693193,0.0202458563501632
96,0.47631971072490653,0.002023482118801683,0.019825994778839576
97,0.4766331482765393,0.002405942904901554,0.023695789549615653
98,0.47682469003637235,0.0020455927560377716,0.02025033513076542
99,0.47592840031660116,0.0021497349576220055,0.021389592759428276
100,0.47757682203061336,0.0021727977394807928,0.02172797739480793
101,0.4811862084507876,0.0021321589227823816,0.021427931978426035
102,0.4796613305121927,0.002149883258555154,0.021712756586679732
103,0.47974288294384027,0.0020299610993894848,0.02060185507905927
104,0.4765245148484124,0.0021024201467388856,0.021440562707984365
105,0.47630226476878523,0.0021303782916639803,0.021829881467549925
106,0.47456847730578566,0.002160312751985805,0.02224178108330363
107,0.4747352583495397,0.002082711852021458,0.02154373891563207
108,0.4748667680801996,0.0020784211189597574,0.021599585865374745
109,0.4752318668511939,0.0020920259372107326,0.021841392009070905
110,0.47135565078313857,0.002194010979232677,0.023010981280016902
111,0.47486791241517173,0.0020847083009645187,0.021963764834660088
112,0.47325481845963396,0.0017857312937231164,0.01889840364630801
113,0.4715589655113284,0.0018293380371663917,0.019446130075860543
114,0.47253365745300685,0.0019283487296282203,0.020589130283445677
115,0.4692344350758962,0.0018672986986574462,0.020024547671567916
116,0.4675205492719356,0.0016858345015186595,0.018156993256462847
117,0.46980940429027296,0.0018834186956676736,0.020372288041191913
118,0.4698964196884183,0.0020243819992758327,0.021990417288470405
119,0.46884810585948433,0.001678606285602688,0.0183114327234577
120,0.4687813180164954,0.0016774721055900852,0.01837578623634755
121,0.46808492166491183,0.0016914397940302644,0.018605837734332907
122,0.4668811231052869,0.001457922176315414,0.016103276772367087
123,0.4664562822175472,0.0015899712845433855,0.017633634575371093
124,0.46663546327067695,0.0015888710062023814,0.017692918730934995
125,0.46765803557284646,0.0017434954154444409,0.019492871336965034
126,0.4662402783888092,0.0016765277186793904,0.018818976968184017
127,0.4665525499904148,0.0012509599810900174,0.014097603024438927
128,0.46780772155643674,0.001793212091754449,0.02028787888296455
129,0.4650702115735143,0.0016966630930029842,0.019270388397731906
130,0.4671409839397911,0.0017063225159426505,0.01945506999971142
131,0.46528356777860636,0.0016080581657277448,0.018405066949936422
132,0.4646157361503097,0.001872510521303146,0.02151350799185501
133,0.46661798754060974,0.0016689338291786535,0.01924708385136644
134,0.4646590523516406,0.0015268786903572676,0.01767489868992167
135,0.4631563771196259,0.0016378855509834088,0.019030510385857503
136,0.46258170766332596,0.0015629586150532173,0.018227072996018688
137,0.46235126641474517,0.001824689429243975,0.021357442199563
138,0.4629659851672267,0.0018715149864359003,0.021985323093706745
139,0.4645679402775492,0.0016942414816963666,0.019974812478814344
140,0.46020429096418597,0.001606503516106872,0.01900840594623663
141,0.46284336375779517,0.0016526461459310407,0.019624085685609964
142,0.4638814730789309,0.0014658807890745194,0.0174679856098074
143,0.463080270284038,0.001550981925103152,0.018547046268220856
144,0.4602825090438406,0.0016001711619850077,0.01920205394382009
145,0.46169411277614697,0.001456030483836652,0.017532928780723753
146,0.45988264254258054,0.001603569271607078,0.019376001230671885
147,0.4585711052925549,0.001600980108051365,0.019410852223364528
148,0.45983523589100106,0.0013749509332641292,0.016727000035715225
149,0.45875092268488393,0.0012436592957943123,0.015180796361137483
150,0.4612395587882716,0.0013863527463743234,0.01697928416061597
