sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.8294495876801514,0.0643039780649066,0.14378806617678655
6,0.8038942514849527,0.042583049821490464,0.10430674375416593
7,0.8132968566606162,0.05489233185480832,0.1452314589722517
8,0.7759607399730842,0.043378563804277036,0.12269310649655046
9,0.7730855735479347,0.04036853863913505,0.12110561591740517
10,0.7592554990162346,0.03499514529412191,0.11066436617794831
11,0.7415893980291492,0.02913260879599318,0.09662193254051675
12,0.712080462022301,0.020533097263564785,0.07112873539449538
13,0.699367031054574,0.013153376399501829,0.047425173053881754
14,0.7232581808634938,0.010069002855626858,0.03767475891220414
15,0.7070850449039693,0.00997228483485757,0.03862249308904015
16,0.7014098743207151,0.011353119354697218,0.04541247741878887
17,0.6956082295402769,0.009557541138032003,0.03940675163329197
18,0.693401439783497,0.007498209494230717,0.031812208680767354
19,0.6923126969241395,0.007267366375380299,0.0316777156159682
20,0.6677379816482084,0.007791915649736482,0.03484650613551043
21,0.6699608042330742,0.006831338783914702,0.0313051270751767
22,0.6700833165428188,0.006969451518478434,0.03268962523959658
23,0.6618618929383719,0.006801586839794312,0.0326192645748345
24,0.6571962942896017,0.006898006207129502,0.03379319090003682
25,0.6584940298242529,0.005698631404971717,0.028493157024858582
26,0.6567911646814019,0.005872563292252681,0.02994431482200511
27,0.6458582787569025,0.0054479851334342175,0.028308561149963923
28,0.6374954012024624,0.005010280972271261,0.02651191490237732
29,0.6400610361085824,0.0057851397945343904,0.031153931225879936
30,0.638347715672088,0.00564481976601604,0.03091795118898019
31,0.6456020962719591,0.006944874797118325,0.03866742639971178
32,0.6409757213479053,0.006912779175208907,0.03910458425308294
33,0.6410916639068553,0.006378790825769227,0.03664336350779337
34,0.6378897435037458,0.005767062702645092,0.03362746519368006
35,0.6399004388520331,0.004514731103648354,0.026709509408425043
36,0.6316024565568019,0.005126037904952147,0.03075622742971288
37,0.6362304892439095,0.005432866121232356,0.0330468344743588
38,0.6308225477250913,0.005265338249764717,0.03245772483721778
39,0.6257476711406196,0.0048127680323806574,0.030055726728973
40,0.6255682674130885,0.00453905367794796,0.028707496088159905
