sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.6970998594291383,0.025698710367184605,0.05746406331510336
6,0.6617964923019721,0.025034098954312002,0.06132076860840633
7,0.6283070151681761,0.02267975079273946,0.06000498039450861
8,0.5547425187645321,0.009621627650521502,0.027214072630942974
9,0.5410770921894945,0.0085986236443848,0.0257958709331544
10,0.5213356954288967,0.007770619307494815,0.024572855841763937
11,0.5177761266549586,0.0104004091950477,0.03449425496613545
12,0.5069202414136449,0.009415322468613716,0.03261563377056756
13,0.5036907963960798,0.0074190278897661,0.02674968547064907
14,0.5028346876717774,0.008239488045512246,0.030829341308726478
15,0.4909114288834034,0.007912500046993077,0.030644980908869593
16,0.4866929669785942,0.0064702379238034385,0.025880951695213754
17,0.4768957708754666,0.00608648507476153,0.025095220851987194
18,0.47223902949927793,0.00381827533173886,0.01619957027705917
19,0.47265791348554637,0.003810313163648238,0.016608770023585427
20,0.4671670898773564,0.004312798397790768,0.01928742078142467
21,0.46121490396014675,0.0044794878261305016,0.020527592037876206
22,0.4555660484432556,0.0036029695228432263,0.01689942503210737
23,0.4583929395310305,0.00353589187250847,0.01695754170520136
24,0.4555590381356008,0.0028669404578571507,0.014045082489382396
25,0.4505295696945574,0.0025467768604448683,0.012733884302224342
26,0.44922544012664956,0.002579719782268982,0.01315404150939087
27,0.44358317971136757,0.002559355955317375,0.013298803647791024
28,0.44293998871914353,0.0026667923072700183,0.014111338486593232
29,0.4438213143935209,0.0023842626674261927,0.01283964740758817
30,0.44018114679288195,0.0018263584724720454,0.010003377334636172
31,0.43792869072905677,0.0014737362825190787,0.008205416354019323
32,0.4398115381106358,0.001651634235159524,0.00934305414176925
33,0.4354225650710902,0.0018001283324588404,0.010340949977617845
34,0.43303529372315275,0.0016578216849081214,0.00966667849493064
35,0.43293333924719324,0.0017968284280458187,0.010630180336860532
36,0.43266695321705795,0.0023149386468890505,0.013889631881334304
37,0.4321193405530999,0.001694608197862486,0.01030789924949412
38,0.4294607589235143,0.0017252669293079338,0.010635259617885114
39,0.42794359350574585,0.001651287880817411,0.010312289510484265
40,0.4288120611033179,0.002026414321534805,0.012816169478469554
41,0.429145533320206,0.0020754852925974556,0.013289590181466176
42,0.42713048517416147,0.002154748699574206,0.013964367592171968
43,0.4264138591165862,0.0024563755300096505,0.016107531530638028
44,0.4235824269798658,0.0022005896993496548,0.014597060700527601
45,0.42249803187813517,0.0019619995123814045,0.013161492844518783
46,0.42292406704694085,0.0023372306216794536,0.01585186932289507
47,0.4215767111513439,0.0020193154644947485,0.013843729353824392
48,0.41981775983179626,0.0021934512660661287,0.015196676147011257
49,0.42050898181449814,0.002205325691690077,0.015437279841830538
50,0.41967545731676326,0.0021559476642948492,0.015244852133061862
51,0.4201421935848302,0.002091218720866091,0.014934288823494117
52,0.42150235629007976,0.0018423035547573043,0.013285039863294079
53,0.4215645288799529,0.0020682389457611036,0.015057006802430523
54,0.4188966534894674,0.0016257421653653233,0.01194671627541742
55,0.4178608712436563,0.0016210949194111607,0.012022361688775516
56,0.4142840389734349,0.0021292849825788316,0.015934109767225816
57,0.41573122716690697,0.0020828436614765905,0.015725124798701376
58,0.4162409185595859,0.0018009912939338393,0.013715941060236376
59,0.41534508885999255,0.0018623150116625705,0.01430471303302383
60,0.41603039233765504,0.0017635003036520225,0.013660014614152012
61,0.41524771655054965,0.0018494934613043652,0.014445005706743893
62,0.41244053539971814,0.0022121684697463838,0.017418631949423686
63,0.41141402781030817,0.0016932730989189316,0.013439938564365497
64,0.41372345648224285,0.00205520153028907,0.01644161224231256
65,0.409687077499265,0.001993040517650733,0.01606840635610257
66,0.4073834432741489,0.001669497341695062,0.01356306052036833
67,0.4073819628743226,0.0017596842021038968,0.014403635961311292
68,0.4044854741797311,0.0016389106055694656,0.01351480307541582
69,0.40503027065678354,0.0019327634848685653,0.016054739284785922
70,0.4042171639008176,0.001679987915796531,0.01405578734207252
71,0.40282159107360294,0.0017331759034763786,0.014603999745952218
72,0.40422093953778593,0.0018044465957778508,0.015311237089961991
73,0.4031824631467756,0.001928785135622353,0.016479547422670163
74,0.40171847033541386,0.001530483899122153,0.013165720316220415
75,0.40361966525695775,0.001660602952105289,0.01438124342122614
76,0.40150302062685944,0.0018240315652864243,0.015901538525823673
77,0.40025707316262016,0.001660689279931682,0.014572489289924377
78,0.39880739232835627,0.0016127267305041913,0.014243216826547774
79,0.3998405262340713,0.0015678922531823301,0.013935731171687546
80,0.3998203410877247,0.001604573989875774,0.01435174606516116
81,0.39905153746887767,0.001532209917351722,0.013789889256165498
82,0.40017693416579664,0.001772755218077051,0.016052981255330483
83,0.39799601477237123,0.0015836593122829212,0.014427822976546894
84,0.40120829727770796,0.0018734005919098578,0.017170000038803996
85,0.3979663970834019,0.001479670584641887,0.013641888737254434
86,0.3998455699075149,0.0015669416775354892,0.014531219322156178
87,0.3956952438176512,0.0014155852919553855,0.013203700600045278
88,0.39521181346508877,0.0017572456563103808,0.016484425440478952
89,0.39564581160046103,0.0018229799242110319,0.017197958209124852
90,0.39700936627737976,0.0016360659661911702,0.015521084566344398
91,0.39674047271595914,0.0015588652787948127,0.01487062699170128
92,0.39772535773804363,0.0016009630333417564,0.015355897965917494
93,0.39592127237459923,0.0012983982240617254,0.012521299021544759
94,0.3935330191282739,0.0014021428373621465,0.013594279179802115
95,0.39545379086323507,0.0017843956370929726,0.01739213730451957
96,0.3946927596382932,0.0016829038531138145,0.016489022905170306
97,0.3955800650238298,0.0016420023707411498,0.016171847859641673
98,0.3923897278297658,0.0016217793262247096,0.01605479622826299
99,0.39372069324157827,0.0016557570407354876,0.01647457454432644
100,0.39253607699200355,0.00172724016578516,0.0172724016578516
101,0.39325129055461033,0.0015932713137323464,0.01601217853370996
102,0.3935322811318737,0.0015829339917955178,0.015986849667240028
103,0.39224942795096185,0.0012717468779019118,0.012906821162071078
104,0.3920096270746617,0.0017110615737900737,0.01744947270742873
105,0.39241342038991156,0.0014504887985417965,0.014863087305233679
106,0.3901455915750595,0.0013894419914806354,0.014305180846641034
107,0.38877161893299894,0.0015969209516929282,0.01651867876911697
108,0.3900156303503098,0.0016239783497161181,0.01687687807260105
109,0.38843438745738484,0.0016565494557165756,0.017294884064849993
110,0.3905153613084028,0.0016995943943840263,0.01782549639130357
111,0.3890553953784966,0.0017921550954908688,0.01888152555750253
112,0.3870936226570197,0.0017609386201013562,0.018636022651349737
113,0.38718316936778124,0.0015953275245225084,0.016958564204743277
