sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.6938341690416776,0.05711475200335457,0.12771246799754313
6,0.6828369393243001,0.04491854069104975,0.11002750468351516
7,0.68762804206486,0.04188963087526703,0.11082954580824951
8,0.6164674207364167,0.017510742957667354,0.04952786035592468
9,0.6136673933504931,0.012806305104650403,0.03841891531395121
10,0.6019296576808252,0.01400077171646985,0.044274327624109905
11,0.5765706755445731,0.013608212446552182,0.04513333475265787
12,0.577086649812935,0.015302720875477072,0.053010180100742356
13,0.5774152798147798,0.013541891948383027,0.048825985786687946
14,0.5755898688480289,0.013957249505253231,0.05222324571037769
15,0.5741512081294278,0.01565900773181738,0.06064707616346189
16,0.5665195879161617,0.013382180067095366,0.053528720268381465
17,0.5602006273843092,0.010859425520135923,0.04477455845304841
18,0.5635990531343248,0.010932962651664282,0.04638463217670643
19,0.5703016799457724,0.012107424144973166,0.052775038314522384
20,0.5635391404516589,0.011046638193332254,0.04940206784627277
21,0.5617493908077626,0.010047857040164358,0.04604506545864811
22,0.5533877162556119,0.009725266911746796,0.04561554519134651
23,0.5526503640844018,0.009361739628991788,0.04489732602576474
24,0.5574619812281286,0.009739837742944658,0.0477152652954308
25,0.5442878078466806,0.008557197199554646,0.04278598599777323
26,0.5389140792544909,0.009330042712946442,0.04757406985596807
27,0.5429358686550372,0.009342783192483389,0.04854652552044536
28,0.534749867816419,0.006827905677918909,0.03612988079835863
29,0.5308087684569998,0.006854608312709336,0.036913195452293934
30,0.5275201064032673,0.007051213782744094,0.03862108846600272
31,0.5291802171551332,0.006927590301236981,0.038571190399514156
32,0.5254827741569096,0.006768398587065816,0.03828784430950149
33,0.5274566475007955,0.006429750160688527,0.0369361025996632
34,0.5266492166242817,0.0064971800324475715,0.03788474422135122
35,0.5232212784108263,0.0068143890445376675,0.040314469260564804
36,0.51908054124024,0.006400455874874589,0.03840273524924753
37,0.5190651676871257,0.006913953520135196,0.042055937408501845
38,0.5149805324132309,0.0061316928887116375,0.03779829350507931
