sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.776942426956113,0.027865000258301152,0.06230803477061058
6,0.8171237612611197,0.03637118539244295,0.08909084555165436
7,0.7596801851977759,0.030141829168039123,0.07974778403922443
8,0.7552424922508753,0.039087422154704385,0.11055592505877107
9,0.7153874962718836,0.02249035465823272,0.06747106397469815
10,0.716267257944696,0.022718914722328162,0.07184351648968886
11,0.7120713841448904,0.017439497799763497,0.05784027073404406
12,0.6837975475193373,0.018360503955774588,0.06360265140794188
13,0.6861866621707728,0.01761636882848272,0.06351672109857993
14,0.6836951431309294,0.01253934759302203,0.04691794254675692
15,0.6819643751348664,0.011914489858706566,0.04614462080132769
16,0.6737096659248878,0.012830813119627225,0.0513232524785089
17,0.6776243437598893,0.013979343456251844,0.05763830964691341
18,0.6807450353109665,0.012563673330904683,0.053303151653371676
19,0.671213013733977,0.009311038122971304,0.04058587423748656
20,0.6680864851463301,0.009006875937962651,0.040279973724383335
21,0.6832960687583798,0.010156063663493756,0.04654093050075065
22,0.677750793746613,0.0104580522246078,0.0490526129713569
23,0.6601365592013038,0.008305511737590464,0.03983183500838015
24,0.6586895009467889,0.007970426276568772,0.03904695482012945
25,0.6521811283425925,0.005465098507645131,0.02732549253822565
26,0.6558463263744928,0.005181726774826682,0.026421725938947458
27,0.654419172107936,0.006085131853888166,0.03161927262507029
28,0.6645207752044697,0.008321678465258782,0.044034183419432785
29,0.6563561906062622,0.008551021649436398,0.04604866085159012
30,0.6564374841769901,0.008617162181818027,0.047198141086621674
31,0.6521014556158942,0.00789955137902944,0.04398284065050487
32,0.6678756956364654,0.010844482025076629,0.061345654227098464
33,0.6486052516296097,0.007742824909357128,0.04447914275297716
34,0.6479649297189225,0.00829117381471205,0.048345435665386974
35,0.6499308036893435,0.006913957324837045,0.04090352315068195
36,0.651911285509564,0.006234417369701841,0.03740650421821105
37,0.6444429703562997,0.00626639270743133,0.038116978760897306
38,0.6416013993142328,0.007184472384047143,0.04428806216816411
39,0.6420384827570033,0.007172745745606026,0.04479378282433026
40,0.6365817030134265,0.0069860579239329,0.044183709810990596
41,0.6333107651064307,0.0065938278214974005,0.04222109874128904
42,0.6339090255852914,0.0070820522030596795,0.04589694394061791
43,0.6277299718762241,0.006099203351577736,0.03999515102518772
44,0.6290414133561872,0.006615643124470916,0.04388321198152899
45,0.6228705273228401,0.00711701553829966,0.047742391621680896
46,0.6267691611219922,0.007106654769478827,0.048199677722756434
47,0.6227889483304586,0.00657762802960108,0.0450939458608615
48,0.6205461101618621,0.007108717796282291,0.04925064159931996
49,0.6162175300138355,0.0069183117496281945,0.04842818224739736
50,0.6155193033663073,0.006544092515373744,0.04627372194332906
51,0.6217599801542693,0.0066509437652193994,0.04749723888157764
52,0.620404242392601,0.006332603976673029,0.045665056690203536
53,0.6172805443226543,0.005536859049751861,0.040308942323650856
54,0.6103577610027514,0.005329163189639228,0.039161191711916926
55,0.6133320794268066,0.005710150319823653,0.04234760816296499
56,0.6132251617683393,0.005548889423107941,0.04152408619672724
57,0.6074023187961332,0.005202884419733652,0.0392809159548388
58,0.6066655106251183,0.005312638023359854,0.04045984577949397
59,0.6037495832652803,0.005006448885934104,0.03845526357211427
60,0.6050848420825773,0.005362191674093828,0.041535358105874935
61,0.603683725644407,0.005162885496603582,0.04032342477659129
62,0.6033353706303225,0.005311601560852849,0.04182359251376876
63,0.6015079872093259,0.00482826586685607,0.03832317224220858
64,0.6082478356226918,0.004658644435221395,0.03726915548177116
65,0.6063039339096773,0.004701945016703757,0.03790829264299362
66,0.603398872836079,0.00396402375278392,0.03220388120450573
67,0.60382829535098,0.004309474750348363,0.03527457109307831
68,0.6030385026660551,0.004403563729129217,0.03631271676867712
69,0.599693617443722,0.004236953200442406,0.03519477656086199
70,0.602501393501011,0.004174304241416953,0.034924734973852116
71,0.6018791362128822,0.003752299912053285,0.03161744105283746
72,0.6008764530905377,0.00431390123779118,0.03660466582333421
73,0.6015366588879133,0.003923138584319724,0.033519310757827436
74,0.5987645790899399,0.0038590601900102064,0.03319689097956312
75,0.5974861398946605,0.004153195173195828,0.03596772526862498
76,0.5981432025587281,0.004085946980494034,0.035620459953277304
77,0.5987478975979408,0.003619404114040403,0.03176014220428507
78,0.6025139160311896,0.004021870892125258,0.03552020195449492
79,0.5976806452514337,0.003902911050507903,0.034689832210403664
80,0.5952579117832479,0.0037798976336443856,0.03380843222727777
81,0.594923460382477,0.0035955010370191595,0.032359509333172436
82,0.5920996298809816,0.0035369934369940117,0.032028837803045156
83,0.593673772929712,0.0032065606235587413,0.029213157578431438
84,0.5946040457824637,0.003240946592422686,0.029703766166172305
85,0.5906006886323312,0.0033628124248067026,0.03100359865204229
86,0.5937787863188451,0.003485438643563985,0.03232262826987043
87,0.5906553276137795,0.0032117106074802722,0.029956842244794647
88,0.5929752696466841,0.0030970979363924554,0.02905335394114359
89,0.5926065869760663,0.0027757581851501115,0.026186450345857832
90,0.5876842300668257,0.0027495823936642873,0.026084828934830624
91,0.5882719844561698,0.002601149417040452,0.024813383976577227
92,0.5861207868034694,0.002459701614047914,0.023592629077188322
93,0.5866870700130709,0.0026078423112582487,0.025149120489515238
94,0.5844838648959723,0.0025140729302418254,0.02437484140801789
95,0.5828720424720177,0.0024615543767130014,0.023992264278386032
96,0.5820057062021553,0.002194640587519318,0.021502998432896863
97,0.5819099352947517,0.0021077360240645314,0.020758792384734662
98,0.5852729315239549,0.002250900840822219,0.022282781476534494
99,0.5864586451668051,0.0025915870864426597,0.02578596593178194
100,0.5882697175069624,0.0023195114160882405,0.023195114160882404
101,0.5857491031389795,0.00226399997275269,0.02275291813238562
102,0.5840017975270789,0.0024856304016502187,0.0251036365164093
103,0.5845602151082716,0.002597699656076651,0.02636377212819928
104,0.5830948302604492,0.0025031684633174565,0.02552740968053155
105,0.5816296310814765,0.0023419489149088158,0.02399783522746314
106,0.5838844393405279,0.002437418205650829,0.025094756344289128
107,0.5838424129112812,0.0025833535463104756,0.02672241686936523
108,0.5836188707714134,0.002781966080813378,0.028911039581412216
109,0.5805245541245038,0.002700458088728488,0.02819361016079218
110,0.5802300619273574,0.0028356253715148263,0.029740289797405232
111,0.5802642459817754,0.002469623363143152,0.026019096654031952
112,0.5808488887827816,0.0024236054545690965,0.02564902923571792
113,0.578389191337086,0.0024990841044415365,0.026565628428500923
114,0.574714170685307,0.0025342355375872513,0.02705823114389772
115,0.5760890542558479,0.002498459168373975,0.026792989658559516
116,0.5754096125089886,0.0025705290095801806,0.027685444716219
117,0.5799778450082461,0.002318450414987253,0.025077875552571918
118,0.5806161199392184,0.0023146374756913795,0.025143398815141233
119,0.5775280991677927,0.0023101809885023865,0.025201099336277094
120,0.5785245656998327,0.0023979297308600535,0.026268004098086863
121,0.5730022738843779,0.002475429555263999,0.02722972510790399
122,0.5721702848990652,0.0025449364529892744,0.028109741889066554
123,0.5719482216650155,0.002872796367743415,0.03186085299193872
124,0.5702255279650238,0.002794763082448944,0.031121164586024423
125,0.5709383052009512,0.002949632337975945,0.03297789208172924
126,0.5711209729550468,0.0030192357530740795,0.033890837273704844
127,0.5725044405407138,0.0032924804580631343,0.03710437037566341
128,0.5737188493116527,0.0030953809460933105,0.035020237717411376
129,0.5718347303778597,0.0029946979517150524,0.03401323038229119
130,0.5676188732217032,0.0030130509221367482,0.034354066159926165
131,0.569167398908115,0.0030552331698188496,0.03496874195016079
