sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.6662649252220818,0.03908383853693966,0.08739411979022302
6,0.6893267344671191,0.045481515030636056,0.11140650455378195
7,0.6401864733643701,0.027445841028488058,0.07261486988439261
8,0.6111578160676265,0.024350056192668657,0.06887235942443798
9,0.6051994151425173,0.02372515661905361,0.07117546985716083
10,0.5975648949118794,0.023170969038567826,0.07327303775511623
11,0.6045090255712865,0.022992773149038418,0.0762584014251188
12,0.5835794542993578,0.021237603623454573,0.07356921701366441
13,0.5825757144102551,0.016146734059641735,0.05821787758331909
14,0.5784371049736977,0.016271530636862364,0.06088249280153456
15,0.5776978912199267,0.014963235926424205,0.05795236354841345
16,0.5594407317590654,0.012904264332132011,0.051617057328528046
17,0.5567492556011837,0.009748141234737736,0.04019261596426265
18,0.5506348128608429,0.00911499896968125,0.03867166549182003
19,0.5461121243362896,0.007485996348389474,0.03263070157434422
20,0.546236759955028,0.006772842825187587,0.030289073916082338
21,0.5672587175567644,0.010114800863457387,0.046351840596198166
22,0.5632486529513824,0.011528350662827388,0.05407275763369646
23,0.5586301781779438,0.010785488064768676,0.05172538365533071
24,0.553455884070955,0.007855486245263504,0.03848386596469459
25,0.55016795946464,0.008215542368910445,0.04107771184455222
26,0.548353914517657,0.007680447101006228,0.03916274964114789
27,0.5457486761509251,0.006741163008511407,0.03502811049853688
28,0.5499315017540151,0.00817980333322927,0.0432834507862837
29,0.5454236280772643,0.008444075320220184,0.04547273724324275
30,0.547449372690191,0.00806297305999091,0.04416272225513477
31,0.5453499863017176,0.008566223261813949,0.04769471260117324
32,0.546360072560413,0.010613930761040386,0.0600414593294092
33,0.5379596202419155,0.006488017245623824,0.037270821519305164
34,0.5339428080352285,0.006064317227780271,0.03536074203026837
35,0.5295149836218089,0.005212386610029393,0.030836895045294032
36,0.5328331937263117,0.005510493840894825,0.03306296304536895
37,0.5245732862225279,0.004829365999618243,0.029375886547574052
38,0.5160734624775087,0.004646458160403094,0.028642691748198296
39,0.5124285240489183,0.004832770088958001,0.030180639532262365
40,0.5146948664479138,0.004978923224587182,0.031489475369611115
41,0.5149607679786833,0.00552881944325628,0.03540171778150427
42,0.5128557025910869,0.005033893470832468,0.03262335828787358
43,0.5124323079046408,0.00419287818556668,0.027494540941740416
44,0.5110883065895538,0.003981899142450787,0.026412930817094372
45,0.5070850252209167,0.004134995630612872,0.027738393950144973
46,0.5065242992596646,0.004688881118960345,0.031801539000434705
47,0.5079203154005736,0.004453964689240865,0.030534843511817945
48,0.5062281941247233,0.005072897340697513,0.03514606374267655
49,0.5060934447656262,0.004578302355287079,0.03204811648700955
50,0.5059915914796288,0.004633141797719821,0.03276125983366517
51,0.5107002315194439,0.004930101498513575,0.03520796699708655
52,0.5103709596890889,0.004751360474587994,0.034262547638679856
53,0.5080265077246197,0.00455263022827701,0.03314364834711689
54,0.5062659707754273,0.004576480141813424,0.033630123496268656
55,0.5062891448089754,0.00456159880169826,0.033829722131892025
56,0.5052288624432867,0.004628526570969483,0.034636721268294854
57,0.5032103892159754,0.004627322842670294,0.03493552134070712
58,0.5027551845209349,0.0044624558466535786,0.033985051223049484
59,0.5005614191498599,0.004291209058046928,0.03296140220943242
60,0.5014968793108002,0.00496728217312206,0.03847640226482945
61,0.49870552489016884,0.004318112458718289,0.033725536431233
62,0.49804154139737056,0.005032055663003996,0.03962244591295919
63,0.4964706527258887,0.004848970696401227,0.03848751173195198
64,0.4975617033128473,0.00470076050461844,0.03760608403694752
65,0.4969064308566196,0.004737657352915512,0.03819621470232668
66,0.49195373625456684,0.004396439731009348,0.03571684521838733
67,0.49363694267976044,0.004546329514826165,0.03721331089602788
68,0.493610232537727,0.004537226460151907,0.037414927885107266
69,0.49154279499654574,0.004317095004839676,0.035860484385685676
70,0.49393880972296733,0.0037705250237317443,0.03154647566402797
71,0.4920874564550194,0.003981295954046835,0.03354699600013969
72,0.4936929103248877,0.0038730146537653974,0.03286361910374857
73,0.49273315055082473,0.003991475632491545,0.03410318275335142
74,0.49265447789414535,0.0037826524752915002,0.03253960696464141
75,0.489784624610709,0.00414277340325481,0.03587747009341181
76,0.4871225745637471,0.003484496650424419,0.030377137536612035
77,0.4880291129032262,0.003132753251376457,0.02748979821531529
78,0.4876566867444053,0.003417731782679372,0.03018458980987259
79,0.48875202395386863,0.003649708079680834,0.03243931497865079
80,0.48738525220299583,0.003413794848778837,0.03053390937243238
81,0.48964204627476693,0.003818960842180849,0.03437064757962764
82,0.49111169414589195,0.003819544903466103,0.034587450153295465
83,0.4915215106588275,0.003187714421324901,0.02904146050476092
84,0.48795702195074353,0.003248313431553769,0.029771284362073804
85,0.48825469854299974,0.0029380819026315584,0.027087776720479323
86,0.48829834323522653,0.0029757729227593804,0.0275961828148967
87,0.48879093798841583,0.002841320650753753,0.02650207472094924
88,0.48934821093312425,0.003065113935083258,0.028753317413537847
89,0.48614774543932526,0.0029212611038510437,0.02755912213554159
90,0.48415650982856534,0.0025929629583567914,0.02459900651056738
91,0.4803101216362785,0.002556297456584464,0.02438552354318353
92,0.48182329145160285,0.002639456813289867,0.025316780379196158
93,0.4834952643879272,0.0026947904933303972,0.025987618391722266
94,0.48289909537362574,0.002640303004934667,0.025598687388995185
95,0.4845830640460351,0.0027077851061954607,0.026392224560023856
96,0.48081415751757123,0.0025935223315131455,0.02541122539488225
97,0.48137511092214924,0.002628459066191831,0.02588731958076512
98,0.4800656218117451,0.0026667459657409753,0.02639943818508237
99,0.47965768417698673,0.00261741885805132,0.026042988814070186
100,0.4794266857246202,0.0025042445081042844,0.025042445081042846
101,0.4789411908104787,0.0023171661672711234,0.023287231774544195
102,0.47800824380645174,0.0023087973756705754,0.02331771049726238
103,0.47770990355042997,0.002394334366099267,0.024299839852115274
104,0.47597575488564453,0.002494662665343527,0.02544066722083606
105,0.47946801955335727,0.0026584922704546133,0.02724143940703257
106,0.4774228736008682,0.002655368198964264,0.027338688864674842
107,0.47599194337893624,0.0026472356204610774,0.027383218182592425
108,0.4757674780015087,0.002575792990236872,0.026768425973220166
109,0.47509839744619436,0.002772213562793782,0.02894275930372603
110,0.4731359959896911,0.002585783213498835,0.027119923137674258
111,0.4732488407318334,0.0025368783509685435,0.026727671918912604
112,0.4741183201192965,0.0024818429654108083,0.02626535711836831
113,0.4734031839713023,0.0023150955783594373,0.024609803568378077
114,0.4717985317133751,0.0024747679836210333,0.026423291416743513
115,0.469912856697907,0.0023807815104651695,0.025531037367601685
116,0.47152661083331077,0.002514202650614087,0.027078791264182535
117,0.46977929995028084,0.0022596714325819234,0.024442083647625883
118,0.4711055494401909,0.0023144069220175484,0.025140894361190963
119,0.4680258001306289,0.0023652336467239717,0.0258016529359618
120,0.46418218564240066,0.002005315063618918,0.021967125904979776
121,0.4641110781359565,0.002066090066740208,0.022726990734142288
122,0.46116955363006557,0.001961015411230279,0.021660123177306367
123,0.46328156340707566,0.002053339190709938,0.022772633254609737
124,0.4599906454261332,0.002218152223920304,0.02470029780735125
125,0.460953226822694,0.0022746725224257855,0.025431611933474856
126,0.4610359540037604,0.002351943457300901,0.02640049983085368
127,0.46247535424194036,0.00252594780591778,0.028465986095936452
128,0.46290926569838053,0.00262055248266921,0.02964816689521026
129,0.4607119624594289,0.002491910623825165,0.02830266407725819
130,0.46096779217042405,0.002227362926021957,0.025395844710271447
131,0.4608500236143396,0.002254236220783496,0.02580091283309732
132,0.4579184915181712,0.0022600963126342805,0.025966529710274446
133,0.4570343718983859,0.0020752329089246783,0.023932753420694616
134,0.4560891939937869,0.002147644260865101,0.024860779688987873
135,0.45636106185315384,0.0022173048910807827,0.025762754749860364
136,0.45437074632751784,0.0021659068954277376,0.025258597831905736
137,0.45613469450792127,0.0021905691095841645,0.02563995406137494
138,0.45688468373236785,0.0021176043763431155,0.024876218857970294
139,0.4588320262671816,0.002164188476353654,0.025515405832639445
140,0.4525121080022763,0.0016853833462520515,0.019941724683069085
141,0.45302523978442955,0.0018650875427833082,0.022146687505281967
142,0.4515320307552574,0.0017387241419345482,0.020719289397272685
143,0.4509117020616046,0.001828452195519038,0.021865108110312875
144,0.44837589482427254,0.0016331318811651629,0.019597582573981955
145,0.44874286752393094,0.0016099104826677246,0.01938588934043256
146,0.44867838398795035,0.0016601537418907122,0.020059713986500534
147,0.44851736449963353,0.001561136911754841,0.018927779141113887
148,0.45043771452076414,0.00178198712888884,0.02167880907415748
149,0.45188681922423973,0.0015241729986060464,0.01860490247548431
150,0.4497890397370565,0.001611708862055971,0.019739321629794245
