sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.51104245498989,0.8473136371178435,1.894650890858087
6,3.162538370744729,0.7336163125157665,1.7969856326457885
7,2.8315088102354564,0.5944793836695316,1.5728446087445331
8,2.764889359523631,0.5641105787913772,1.595545662409804
9,2.5178903458686053,0.5392092893120203,1.617627867936061
10,2.420836424192043,0.4859838792999482,1.5368159647121924
11,2.527799282583248,0.5031508171089418,1.6687624733110922
12,2.399634274597971,0.4957189393559821,1.717220778477432
13,2.462808185780387,0.469041490625349,1.6911531447697579
14,2.4132620908685487,0.42887198011790845,1.604692012388539
15,2.323661946235673,0.40998820232334693,1.5878774797398396
16,2.2379959223389023,0.31751070313379837,1.2700428125351935
17,2.269107189325953,0.2997508257573396,1.235904315963626
18,2.173719860309008,0.27638323840556145,1.1725947724972243
19,2.1667314038112355,0.26939261873921927,1.1742552012200385
20,2.1723402499347513,0.26972123160014566,1.2062300176657803
21,2.198568063766966,0.24265251168288765,1.1119735023579889
22,2.0980387518632178,0.2560925176240755,1.201180380636823
23,2.0458663190232675,0.254308304418731,1.2196197829715574
24,2.0462432180904195,0.24562505231563192,1.2033120924354437
25,2.0469946343643604,0.24460209312261366,1.2230104656130683
26,2.052517515707957,0.24354028791045845,1.2418166804014326
27,2.059535598183181,0.2134196988320943,1.1089612851397066
28,2.005801483057918,0.2126599493120185,1.1252906794064048
29,1.9805754938659395,0.2158298096803565,1.1622790954211937
30,1.8299019688093026,0.16460553298893668,0.9015816350820138
31,1.8753154107593406,0.16634808043259097,0.9261869140577621
32,1.8166776541528336,0.15678083350052824,0.8868863242264206
33,1.766911251758604,0.14987768379360009,0.8609817438703531
34,1.7763581350236517,0.15029123294028687,0.8763409494918023
35,1.7423896587815395,0.14555325728425184,0.8611046827836591
36,1.7583884795015348,0.14138419391693144,0.8483051635015887
37,1.7688920069718788,0.13710159875069752,0.8339564677247241
38,1.5948582384465548,0.12977919180069541,0.8000126672302034
39,1.576065694372168,0.1284208969098144,0.8019882441543179
40,1.562007535766052,0.1287045058257077,0.813998767071293
41,1.6712279610904948,0.11996072265660129,0.7681234107824436
42,1.6234591562510636,0.12222095120369138,0.7920822926638839
43,1.5479374782636288,0.12558777612774333,0.8235341213614792
44,1.5307071930829321,0.12330494497460033,0.8179124745523358
45,1.523464171661078,0.12167675163768205,0.8162324638296478
46,1.3922893943181642,0.11562915332079463,0.7842350734910141
47,1.385071819770535,0.11437051256684524,0.784084730629118
48,1.3725948716038716,0.11446798551410677,0.7930574670019647
49,1.2742546606472285,0.1135645427603869,0.7949517993227083
50,1.2574088695834074,0.11434293875493098,0.8085266737440979
51,1.228027141005694,0.11849407159003263,0.8462169314668507
52,1.202891484404895,0.11829195024672054,0.853015384178372
53,1.2116264095388005,0.11797874425339265,0.858898222764021
54,1.2013460359432844,0.11711354330857174,0.86060526922602
55,1.178668285744407,0.11292030260290936,0.8374393773260809
56,1.1554599495559363,0.1151731788553083,0.8618771508444012
57,1.0811232130818103,0.08583198389498235,0.6480172676579422
58,1.0821218654067148,0.0871507496031882,0.6637203349838403
59,1.0824236272399481,0.08617307156707889,0.6619079222482452
60,1.066899622887104,0.08488847888617446,0.6575433300220672
