sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,1.0044051934555227,0.06779884898728551,0.1516028351318132
6,1.011351997602253,0.07887381474416864,0.19320060019002167
7,0.9195704876324964,0.04057808012672688,0.10735950869577167
8,0.897866436697689,0.03164666526723805,0.08951028644961924
9,0.8964477465550985,0.032068376313119464,0.09620512893935838
10,0.8976564490747332,0.0244557083275261,0.07733574010772959
11,0.8940590058699478,0.025467460650244144,0.08446601134000038
12,0.8807156867105554,0.020047214712681803,0.06944558886521439
13,0.8706137829457294,0.02205569580799881,0.07952294215177587
14,0.863414625536476,0.01962247413614984,0.07342057529830566
15,0.8414581881064805,0.015085650233865691,0.05842647212247185
16,0.8151481463159895,0.016682355422496787,0.06672942168998715
17,0.8175817578257627,0.01534018734491374,0.06324921273984269
18,0.8014758087172679,0.012836095939562414,0.054458942896954146
19,0.8077736582484351,0.01382442606538529,0.0602592761714641
20,0.8163387332827909,0.013725480811375151,0.06138221623620761
21,0.8160375982800916,0.01368309566133913,0.0627038216094084
22,0.8054260307835811,0.011814861259978993,0.05541661145393277
23,0.797998021888912,0.0123409246782534,0.05918499559879553
24,0.7896701473813451,0.011264318619676597,0.055183665836678775
25,0.7577798924893456,0.010355579098298144,0.05177789549149072
26,0.7516130239645727,0.010420192686198006,0.05313276584232045
27,0.7434300714373855,0.00957200501480402,0.04973759704783394
28,0.7472722744837494,0.009257169575757255,0.048984337083613994
29,0.7424382983879889,0.008868412382568738,0.04775786225776502
30,0.7277973017079634,0.009865019104367078,0.05403293493681259
31,0.7214719525459105,0.011154656136163689,0.06210649691455541
32,0.7132484168423343,0.009337248458592354,0.05281945362155434
33,0.7163581926248084,0.008726731745508004,0.05013125721160289
34,0.721100770240229,0.008972351797390941,0.05231735171421535
35,0.7240922571932334,0.008138661389608127,0.04814897010855407
36,0.7195682630570963,0.008458234835152836,0.05074940901091702
37,0.7177390849697741,0.008041224024767977,0.04891285619559249
38,0.7071228268485394,0.006552830943026485,0.04039436282428086
39,0.6963565746526531,0.006675952895221955,0.0416913124680631
40,0.6836008437599842,0.005945135842339588,0.0376003405217936
41,0.6764914711801768,0.004435410306092974,0.02840048323390337
42,0.6702607588761408,0.004485371606198028,0.029068530315770592
43,0.6821701849948405,0.0050262551438872705,0.03295935911349748
44,0.6767651111684879,0.0056239232432489135,0.037304886495230574
45,0.6748369069703847,0.005245401991300549,0.035187226265582364
46,0.6729332187795833,0.005506257595748728,0.03734525598645785
47,0.6742959958700654,0.0054880322276481186,0.03762405338862501
48,0.6723736790766663,0.005747544531064812,0.039820156586275565
49,0.665203026341995,0.005611879770389,0.039283158392723
50,0.6597376689214026,0.005460366938480316,0.0386106248996626
51,0.6595141050204728,0.004590513217270338,0.03278282159141609
52,0.650644817214143,0.004633159342998435,0.033410187157151806
53,0.650107788200268,0.004287602161124892,0.03121421489450585
54,0.6513968387258696,0.004248816010194446,0.031222293707832725
55,0.6585752634486104,0.004512556569342907,0.03346601520249446
56,0.6500384745496633,0.0043773935713301675,0.03275741398196857
57,0.6505638235132526,0.004616975751200485,0.03485740251322346
58,0.645794172233841,0.0044060696024584645,0.03355562638096766
59,0.6453526728409111,0.004024037153351801,0.030909215869733483
60,0.6469014984534434,0.0037722565365259993,0.02921977348717453
61,0.6439599855282636,0.003665912920316802,0.02863169519780632
62,0.6411755997708176,0.0031651855252387852,0.024922695748438407
63,0.640895086712067,0.00344382980698809,0.027334551680766164
64,0.6413347507417183,0.002872833105506424,0.02298266484405139
65,0.6391842511962256,0.0038745709592984223,0.03123778973793625
66,0.6343221163067781,0.0035548631615020462,0.028879844847268233
67,0.6263533424617409,0.0035935045162065193,0.029414102152467203
68,0.6249235277818256,0.0037053564718719746,0.03055515222818829
69,0.6203175656944566,0.003181026911596325,0.02642359405245062
70,0.615457375351448,0.0027011377163911874,0.02259933953468043
71,0.6133305033603157,0.0026873196630086377,0.022643757968912603
72,0.6090617479510463,0.0026147230667652958,0.022186660937215517
73,0.6143509944121494,0.002600004336043322,0.022214446784995963
74,0.6058548937634759,0.0022094974009462883,0.019006815319625267
75,0.61255858169072,0.0023629288005693077,0.020463563686269143
76,0.604872671696855,0.0020910995250075707,0.018229783020787812
77,0.6069400779601553,0.002474485142349647,0.02171351900124908
78,0.6032121882765848,0.0030162987174627023,0.02663922897404197
79,0.60097046246605,0.0031201934412995245,0.027732885925903148
80,0.5981071807095087,0.003296218542433426,0.029482274918305663
81,0.5952614305803131,0.003041969114784729,0.02737772203306256
82,0.596370619672802,0.002761184044576391,0.025003584960919215
83,0.5921131879258136,0.002883098084859836,0.02626627360427367
84,0.5945543023348347,0.0028512906219976823,0.026132510207244195
85,0.5941421169935501,0.003273918451051632,0.030184036709021988
86,0.6010306802400499,0.0028672248047244032,0.026589548979836283
87,0.5969086255456637,0.0032130239453775303,0.02996909224518716
88,0.5937736686697311,0.003351711876364387,0.03144184441457376
89,0.5940803758487359,0.002975605086947296,0.028071802246712435
90,0.5860237525147277,0.0028595888471302498,0.027128441785639917
91,0.5900572258626576,0.003125566723316738,0.029816006240161484
92,0.5888819142662036,0.0026378288590699975,0.025301165590863837
93,0.5912323232999326,0.002884438382020522,0.027816516397809493
94,0.5913655625531137,0.0031261627954205346,0.030309272828728903
95,0.5895968661606082,0.002925958260073267,0.02851871342242919
96,0.5878185836403438,0.002731222266499338,0.026760403708204605
97,0.5884626108684431,0.002944919402141603,0.029004092429443042
98,0.5828039559689335,0.002655739538022845,0.026290480109616557
99,0.5828503041117759,0.002280486286927059,0.022690552059863464
100,0.5812433737439954,0.0022578985089985616,0.022578985089985616
101,0.5789334951472388,0.0021715716335940277,0.021824024819974284
102,0.5772534766941531,0.001826385889032795,0.018445593305641526
103,0.5819412838575038,0.002127409207213435,0.021590845358587955
104,0.581711396312985,0.002322775993893211,0.02368776023713271
105,0.5794696801953374,0.002201359927415457,0.02255722679438258
106,0.5749856306502876,0.002183935092378432,0.022484987963050613
107,0.5787222417317767,0.002381389040212299,0.024633279773717272
108,0.5751840931088374,0.0022345076635269844,0.023221684818784553
109,0.575276056022674,0.002326254501154945,0.024286810009790438
110,0.5748325504782019,0.0019850660627692834,0.020819548508347097
111,0.572332905150949,0.0021563321484174757,0.022718368891871586
112,0.5769558888945998,0.0019662751254171476,0.020809099963944443
113,0.5737627239538939,0.0018103057140789968,0.01924381370628646
114,0.5756838505532844,0.001828150401399079,0.01951930489222042
115,0.5762613615911759,0.0016585946895074405,0.017786446513206693
116,0.5726477536506911,0.0019887101145406806,0.021419063440833802
117,0.5751949071025005,0.0020598452256135155,0.022280632741407663
118,0.5752699522238319,0.0022858945346068793,0.024831170555468806
119,0.5740254526928801,0.002232679886284012,0.02435566212360989
120,0.5752386222438014,0.002135169822557108,0.02338961351837662
121,0.5744421623587141,0.0022283075828069196,0.024511383410876116
122,0.5726116948769291,0.00225458647250536,0.024902721533288444
123,0.5719248885744623,0.0022053211898795245,0.024458195164717124
124,0.5710410788743253,0.0019841160857461677,0.022094181667870617
