sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,1.0121377466047066,0.05049455603158254,0.11290925978029058
6,0.9818553912978526,0.05832647969715136,0.14287011375082354
7,0.9669670175037439,0.06023414465953926,0.15936456720383022
8,0.9119303416940033,0.0478540595112047,0.1353517199507098
9,0.8827611116322887,0.05033909806410391,0.15101729419231172
10,0.8978554741775355,0.04485439195282143,0.14184204163284356
11,0.9193928168975359,0.05203099366821405,0.17256728346682357
12,0.9182017454603087,0.047465947439379895,0.16442686518879965
13,0.8922326430600943,0.04212538943508882,0.15188525160710173
14,0.8999192916155808,0.04540010963265811,0.16987165556738199
15,0.8665802873826041,0.029019252407210445,0.11239108129251554
16,0.8448523366338266,0.027556924912042976,0.1102276996481719
17,0.8307138636369077,0.03110568379746301,0.12825201985400386
18,0.814493425395096,0.02600673118018478,0.11033721584402567
19,0.8028996292034606,0.025381261268260315,0.11063435292794971
20,0.7799986472750052,0.021540536044547403,0.09633220573478486
21,0.7750522287329277,0.019436982355941993,0.08907144292762527
22,0.7651602252661722,0.01670691798297508,0.07836239140542378
23,0.7679835242645967,0.017822608970622517,0.08547422992898752
24,0.7577117217662807,0.015497934950064449,0.07592406538900758
25,0.7526068400167769,0.01634204188246418,0.0817102094123209
26,0.7382603051704993,0.014062644300812787,0.07170569770255876
27,0.7313916441692657,0.012812746345164374,0.0665769829629514
28,0.7337393260061231,0.012603720423448397,0.06669261966926031
29,0.7225386782781099,0.011241812393598366,0.06053901247041442
30,0.7298202644891859,0.011143931171196898,0.06103782481749506
31,0.7322809784002233,0.011145967464775645,0.062058120439640714
32,0.7316974935192274,0.011283045281594238,0.06382654264840132
33,0.7250660639486963,0.010188989825692331,0.05853129035862819
34,0.7194501870985528,0.009603915716826762,0.05599997054696557
35,0.7200812984457523,0.007439781033721759,0.04401433816428926
36,0.7200844534041606,0.008961332263084853,0.053767993578509116
37,0.7225087760574944,0.008612535578597166,0.052388008708351134
38,0.7213653799399401,0.008003833660634032,0.049338944295046865
39,0.7206145991355222,0.007383259140475051,0.046108438553923374
40,0.7199428884342163,0.00759571938858841,0.0480395474708819
41,0.7060970094027528,0.005114132023461257,0.03274642271285627
42,0.7078238722307938,0.00597137664408278,0.03869894364282942
43,0.7065704901137184,0.005716532724039595,0.03748581191005029
44,0.7071739856924438,0.005451390198204987,0.03616043174653419
45,0.7086883105452794,0.005257824704794396,0.035270560361094105
46,0.7046615891871134,0.005470736304156781,0.03710433886545445
47,0.7028922892200677,0.005081585099474635,0.03483759226454267
48,0.6961563297257929,0.005181628819251235,0.03589937752362508
49,0.691037593052006,0.0059182997099242515,0.04142809796946976
50,0.6883292896300935,0.004989601797612725,0.03528181266512545
51,0.6896939861173038,0.005105342036395467,0.036459434756149434
52,0.6881705918456237,0.005570678170319151,0.04017073156438723
53,0.689922327509396,0.005634675321449052,0.041021055530566126
54,0.6880111486968167,0.005575673467880613,0.040972664906045626
55,0.6907462431477864,0.005533249902691644,0.041035679557064
56,0.6862836308688622,0.005818307978823364,0.0435402300549804
57,0.687206397952067,0.005075490186086212,0.03831911058279243
58,0.682385378265653,0.005065667127026325,0.03857897146926598
59,0.677585316036182,0.005353368225717667,0.041120001583746166
60,0.6713979457917988,0.004542404044346258,0.03518531043099655
61,0.668496432192643,0.004596205378999867,0.03589751157173413
62,0.6678376829425595,0.004758629625636969,0.03746948714177137
63,0.6605076772524718,0.00453338266028671,0.03598260935103313
