sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.5527319812823538,0.032621775994435755,0.07294450867032914
6,0.5616069674202662,0.02837936379387557,0.0695149605198105
7,0.5680310828216169,0.030487397432991073,0.08066207172928337
8,0.5443804238789106,0.016616208618645614,0.04699773516741868
9,0.5402399333804715,0.01226504721193259,0.03679514163579777
10,0.5553195902546764,0.012783593723297633,0.04042527284785282
11,0.5287738454534237,0.015608050996271742,0.05176604886336616
12,0.5168813287507361,0.010712871309201911,0.03711047480496925
13,0.5201340914573895,0.00887206988622473,0.031988702894283225
14,0.517398578520073,0.009512821013046745,0.03559371701252472
15,0.5117073603843866,0.010612481806774897,0.041101965299568374
16,0.5151873857030954,0.012039919462651422,0.04815967785060569
17,0.5033693240903007,0.0072102413109612915,0.029728586511285356
18,0.4883650411501286,0.008689731293939736,0.03686740754780243
19,0.4923390655064151,0.010113133943429763,0.044082128861901326
20,0.4791627298654957,0.005301252262765865,0.023707920850838102
21,0.4762360055535826,0.004081761431312787,0.01870498072774214
22,0.4798154690073849,0.00573318856376635,0.02689103799352914
23,0.4754572491914077,0.005877345238312691,0.028186757567291908
24,0.4758474927218009,0.005989224602873581,0.029341088463926978
25,0.4803016732109414,0.006204046571738982,0.03102023285869491
26,0.4823738060639108,0.006020188732702958,0.0306970598235638
27,0.4782750371090515,0.0032961868554516323,0.017127489314648754
28,0.47295340757102633,0.003552443033526109,0.01879776162686795
29,0.4772076006629546,0.005186489098410662,0.02793009856534786
30,0.4746233639269832,0.004585125010413183,0.025113763971844102
31,0.47204992028529,0.0035714837469509155,0.019885179928699943
32,0.4737808239758963,0.0034028973553355026,0.019249694365116022
33,0.4724072681429412,0.003646294340500117,0.020946366266719987
34,0.47144657626690584,0.004044974364708866,0.02358605093649983
35,0.4674022959362304,0.004604159656037186,0.027238575859244482
36,0.46485662694717494,0.004277028005557839,0.025662168033347036
37,0.46193992891984736,0.004161247068285447,0.02531187774628003
38,0.46531723067875214,0.004021353369474641,0.024789287021675953
39,0.46263928190892517,0.0042218819214468895,0.026365644148910208
40,0.4624830743889753,0.004057336748929705,0.02566085072184121
41,0.4647220905818667,0.0036376128200121486,0.023292086814216243
42,0.46239995039280013,0.0031544821440404056,0.020443380813283542
43,0.46414148078643186,0.0037501046379648695,0.024591080623154443
44,0.46010827499856904,0.003949554547148527,0.0261983810438674
45,0.4577016610487184,0.0036518783239316895,0.024497544533607765
46,0.45984807621183127,0.0030333017539728806,0.020572853433836732
47,0.4541256186172373,0.0025970659385714323,0.017804587049312096
48,0.4537059542315453,0.0023594259804544902,0.01634658269938076
49,0.4517239287880265,0.002580510667821833,0.01806357467475283
50,0.4504524570370932,0.0026448964178236983,0.018702241925791452
51,0.4518669932501109,0.0026949344641343954,0.019245681595229262
52,0.4513632785111673,0.0024995977724977725,0.01802485587355258
53,0.45200383342614964,0.0030431965256903976,0.02215480512170278
54,0.45332156197098505,0.003249502724669848,0.02387887077967435
55,0.44800137949381275,0.0030038321955770508,0.022277015784327767
56,0.44263181748749647,0.0036229542524742046,0.027111707081428342
57,0.44329285242101035,0.00310944146222648,0.02347576822597611
58,0.44181425393985013,0.0025860979354027057,0.019695135105570107
59,0.440739029655605,0.0027150166937520612,0.020854438932605933
60,0.44224314569211876,0.0028932156699531327,0.022410752213429634
61,0.43958596480647627,0.0026766879501133383,0.020905601194875948
62,0.44003925265314037,0.003042944115235215,0.02396016592353999
63,0.44170677409915404,0.0031911910389502522,0.02532929362548061
64,0.44222301243611406,0.00295454632248225,0.023636370579858
65,0.4434063074751677,0.0029053595515741225,0.023423757556271668
66,0.43925689857234274,0.0028192174982476477,0.022903431226785606
67,0.4354782540676049,0.0024969120064531544,0.02043810561314293
68,0.4332155946082784,0.0024058563745176877,0.019839199904403974
69,0.4348615195892278,0.0025649740533405566,0.021306274679244366
