sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.4475053790336834,0.033937087617903046,0.07588563487199762
6,0.40243229017420507,0.03327566315766891,0.08150839558901808
7,0.4047018874264327,0.02773817029251562,0.07338830041795608
8,0.41711099396587814,0.028276341852322757,0.07997757228370563
9,0.43828469476562415,0.03489787875777781,0.10469363627333343
10,0.42567806136908837,0.03108644617894753,0.09830397428571246
11,0.3675527097235497,0.017758338347154144,0.058897745197690365
12,0.36925678872028966,0.020496942449942945,0.07100349144623296
13,0.36745623419514295,0.015498099000382312,0.05587919061809562
14,0.36498397494433527,0.01654196838399243,0.06189437819574627
15,0.36938154877990115,0.015589215810523192,0.06037677321458968
16,0.3666088369592608,0.01265265500164819,0.05061062000659276
17,0.37003779532953257,0.013612910767187536,0.05612746896522215
18,0.36312675724200955,0.01097392128563643,0.04655840494368549
19,0.3578099338791597,0.010670028213987767,0.046509574709500456
20,0.35809053132220026,0.009257661839489513,0.0414015223716086
21,0.35906906609896894,0.008187973620072049,0.03752200890228175
22,0.353260328989244,0.009204753720069047,0.043174121913905204
23,0.3536082611232547,0.008457159556644653,0.04055911239944184
24,0.35194889294997894,0.008072928120454483,0.039549109250558274
25,0.35216439865630117,0.008301404644956373,0.041507023224781864
26,0.3473436851892592,0.009089918134780575,0.046349669946207074
27,0.34466610777935486,0.009672323241641932,0.05025886584525939
28,0.34478522498857345,0.010284567902048285,0.054420818021154116
29,0.3432180053466293,0.009649043168984305,0.05196168769613587
30,0.3434519965551759,0.009068738455110163,0.04967152619978388
31,0.3418064883519836,0.009357722402295134,0.05210159330875498
32,0.34402865943339683,0.008398426796595014,0.047508676313369184
33,0.3477223027031126,0.00785144082237778,0.045103093669735216
34,0.34663322797939744,0.008298144161488327,0.04838607942212982
35,0.3415231217499729,0.008032550964357139,0.047521212366950595
36,0.3454872438951001,0.00775681368927936,0.046540882135676157
37,0.34604484210794,0.007642156996902702,0.04648542623141612
38,0.34326945136180775,0.007732547523821481,0.04766662423446822
39,0.347173119831448,0.006955139546225279,0.04343483254475841
40,0.34153230403065693,0.0066442048458199955,0.04202164110703813
41,0.3457023629590428,0.00727562441159996,0.04658672701237381
42,0.3493746408170952,0.007156836510192865,0.046381601643458184
43,0.345698209059238,0.006779882316884374,0.0444586614949715
44,0.34585759271769023,0.005624414637783134,0.03730814603781866
45,0.33995304540361193,0.0059307254070997675,0.03978451549848058
46,0.33190745230590185,0.005567616221214536,0.03776141043167795
47,0.3356052161742091,0.005453751909656326,0.03738903936888137
48,0.3365977894246283,0.004894659041004644,0.0339111925789856
49,0.332520350614191,0.0049788815138198566,0.03485217059673899
50,0.3329011188946015,0.004425969946166311,0.031296333622620576
51,0.32866826548045924,0.004144356335630236,0.029596624153281445
52,0.33103355455716016,0.004158226934848504,0.02998540085722348
53,0.3278845388914445,0.003638462569670539,0.026488407335235498
54,0.32678153108581304,0.003928298782056107,0.028866982719702255
55,0.32927943751258565,0.0041514389040527245,0.030787894919505895
56,0.3289424448191546,0.003605083279457251,0.026977972965032897
57,0.3275177919028787,0.0035980492996696917,0.027164676502448044
58,0.3285565531437807,0.003261404474852515,0.024838116486925986
59,0.32621495668785255,0.0041790860513989895,0.03210016905368036
60,0.32482906823608243,0.004016885468134374,0.031114661043414028
61,0.3263191787594578,0.004135589408678045,0.03229998583881069
62,0.324098823897672,0.004105231659633533,0.032324626412597014
63,0.3209518600760153,0.003999453281806543,0.03174467629164373
64,0.3233033166111342,0.004176007714267859,0.03340806171414287
65,0.3209315347474274,0.0039292110124172575,0.03167831192956102
66,0.3173501935068294,0.004663407324387938,0.037885700199788236
67,0.31918995549315843,0.004113372139500386,0.03366940204380239
68,0.3174215815926423,0.004193400927883672,0.034579669912454966
69,0.316287678208798,0.004595190224307056,0.038170516771876856
70,0.31280140207256135,0.004144018241975337,0.03467134412288778
71,0.31354081889292723,0.004196207729334032,0.03535787480672884
72,0.3154426052637281,0.003893035879118061,0.033033504834322956
73,0.3154508475260259,0.004391222993386159,0.0375186257020158
74,0.31417646226847784,0.003878278365588884,0.03336221197693004
75,0.3165751430616478,0.003826948384759846,0.03314234520173851
76,0.31625020433288215,0.003135496757292569,0.02733462700567558
77,0.3157133021880952,0.0028972400802288237,0.025423178525733024
78,0.3144022597876013,0.003363114878843995,0.029702226375939316
79,0.31205148146872785,0.0037869910319021866,0.033659512548177214
80,0.31639823321258603,0.0035274102759080073,0.03155011664584637
81,0.31267955261755676,0.0031407683290064943,0.02826691496105845
82,0.31063388179399265,0.0032592789071787995,0.029514025777111666
83,0.31105512087942444,0.003025844147722707,0.027566752128670213
84,0.3119940841816923,0.0032393025649248516,0.029688698405265473
85,0.30948212392115704,0.0035964548291457514,0.03315767518595495
86,0.30870153666883093,0.003555002383912327,0.032967735858980676
87,0.30826070080200396,0.003274594712895652,0.030543386132418287
88,0.31319386056628984,0.0029840704185993515,0.027993061839642595
89,0.31284728711274246,0.0035844406307177505,0.03381554527916833
90,0.313448958967638,0.0031266073461815474,0.029661601688844748
91,0.3161635145163951,0.002937448389037219,0.028021471704416583
92,0.3121498557534404,0.003278780606949203,0.031448958785666795
93,0.31090521353787404,0.0032110122010606183,0.030965880256315893
