sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.8107514144557968,0.06707564717877594,0.149985706726535
6,0.7734898839721918,0.02841214887909489,0.0695952672497715
7,0.7498091377519105,0.018215765155008026,0.04819438454090717
8,0.7473427447480737,0.02263067461900883,0.06400921394370973
9,0.7227343609023524,0.023185861569429044,0.06955758470828713
10,0.6873881600140848,0.018243108592355832,0.057689774753632656
11,0.685751943575731,0.01605297340166639,0.053241689542882595
12,0.6721755627593993,0.01296028374196636,0.044895739843189245
13,0.6767849697476574,0.015226443217367974,0.0548997217631611
14,0.6714803979632771,0.009067828790623279,0.033928708576437004
15,0.6490980538412562,0.0042346587976631956,0.01640076300022028
16,0.6527539093324852,0.006805309429244941,0.027221237716979763
17,0.651811970976705,0.005427179759691375,0.02237683539842181
18,0.6466834369340457,0.005061543438363964,0.021474310131224594
19,0.6408092710268642,0.00647538547878346,0.028225550922487845
20,0.6393058747870639,0.007682325115300942,0.03435640236613363
21,0.638678595757902,0.0069687535220128655,0.03193484051411406
22,0.6532746825035085,0.010569224245787379,0.04957405597154903
23,0.6498025366202763,0.009859807228759907,0.047285974321473384
24,0.6471494556740616,0.007512087850693461,0.03680156427431952
25,0.6426623322299417,0.004776484060552166,0.023882420302760828
26,0.6386575076789437,0.003961961772608965,0.02020212039064177
27,0.6349246789645046,0.004163873102697276,0.021636119310423432
28,0.634271802726996,0.0042042031983451425,0.02224655224800721
29,0.6311135294589614,0.003870042573737012,0.020840817070200794
30,0.637283391960364,0.0049491750069408005,0.027107747923422635
31,0.6385033243672968,0.004089261368330391,0.02276804371688748
32,0.638391750450404,0.0046460711491655374,0.02628214732360102
33,0.639532685931176,0.004888290961928301,0.028081093665302766
34,0.644463884522276,0.005327276383004687,0.031063092319845796
35,0.6421766612378355,0.004478306746895133,0.026494020007824904
36,0.6448684239966124,0.004962490302733364,0.029774941816400186
37,0.6400064622728971,0.003883779612363012,0.02362410910201787
38,0.636142943500151,0.00411781376245511,0.025383908818896645
39,0.6384982394428775,0.004827278397837324,0.030146343932205916
40,0.6339406680165479,0.004902866500766171,0.031008450412321555
41,0.6303063263288621,0.005147329358154504,0.032958989371248776
42,0.6296685426371103,0.00462085499667287,0.029946563038379184
43,0.623052123843215,0.0038554063274491425,0.0252815899784527
44,0.621547148391943,0.003851695834280571,0.02554925977776713
45,0.6283363625894346,0.004998291988404591,0.03352956197239577
46,0.6247755061964632,0.004051783246614249,0.02748053099863646
47,0.6262602926584158,0.0036300515567700216,0.02488637965486337
48,0.6187923644315967,0.00431466160063087,0.02989285243903649
49,0.6173578505005539,0.003995110414692521,0.02796577290284765
50,0.6181858315475812,0.00420142913728974,0.029708590336523212
51,0.6128296094558683,0.0036843670253336384,0.026311643415903502
52,0.6132554968945196,0.0038482008519320557,0.027749770979850465
53,0.6085785558313199,0.003854649550333737,0.02806227231109534
54,0.6086950755179144,0.0036410668595160114,0.026756267775516686
55,0.6063806844122916,0.0034307833399407923,0.02544337021522191
56,0.6045047547791942,0.0034865467371193834,0.026090926706550648
57,0.6093109528450393,0.00461770347465372,0.03486289670481005
58,0.6078536540632551,0.004237373503858959,0.032270875170189374
59,0.6028746800858977,0.003989556867994337,0.0306443677724747
60,0.6021608672806382,0.003931188463196042,0.030450854897521997
61,0.6004720823409133,0.0038482580341867977,0.030055856064312613
62,0.5921840422173996,0.003208613394414867,0.02526464713228243
63,0.5926764980340404,0.0031501076386062964,0.025003204244511572
64,0.5907235946740368,0.00255562223949825,0.020444977915986
65,0.5868576867347464,0.0022938233120103242,0.018493394770483076
66,0.5892973006349786,0.002881806879097203,0.023411909760529776
67,0.5896902641505741,0.0033228381831989875,0.02719860273333145
68,0.5883028384373452,0.0034171043406566225,0.028178164260567694
69,0.5867963676084599,0.0035185665833924336,0.02922740914487371
70,0.5877278997412537,0.0035515768684833905,0.029714623970231224
71,0.5880284218029977,0.0034655475470788586,0.02920122267775041
72,0.5856162490794449,0.003362047908900562,0.02852792250069167
73,0.5852179107024411,0.0032552532144804916,0.02781289565647825
74,0.5837453952993967,0.0033655118147151155,0.028951227320254323
75,0.5829990492975792,0.003715172286465602,0.0321743357951513
76,0.5805955944575718,0.003575936565233864,0.031174292232732714
77,0.5819457170702991,0.003539212278237605,0.031056461700955926
78,0.5801614224455326,0.0035181286444197447,0.03107127088449334
79,0.576803489383709,0.0034648787255871145,0.030796515745438943
80,0.5760461495934462,0.0032125015526756773,0.028733487398425746
81,0.5752408293956984,0.0031187143920536654,0.02806842952848299
82,0.5758404145599287,0.00288253577935311,0.02610247165650351
83,0.5735467067040319,0.0029719963348335205,0.02707617520596109
84,0.5769719855169526,0.002861734973826233,0.026228234272922365
85,0.5766378526530058,0.003366323624397994,0.031035970312772627
86,0.5732788685341561,0.0033512829087045505,0.03107851916580116
87,0.5756071950135516,0.0032410148039960893,0.030230173593543876
88,0.5750363869879535,0.0032764526973148296,0.030735850735602924
89,0.5740200886757745,0.0033278935730191635,0.03139528517735522
90,0.572507244788302,0.0031026522884119983,0.029434344056746685
91,0.5723805659517894,0.0030021448037241823,0.028638636166026795
92,0.5742812260384733,0.003234384410008827,0.031023125424063085
93,0.5739360564588749,0.0029732391027011192,0.028672879535377657
94,0.5749528241980006,0.0027791473780152906,0.02694483353039226
95,0.5725130576209672,0.002881853554785669,0.028088833930352566
96,0.5726043792666455,0.002615455509511685,0.025626125773018493
97,0.5708539656253465,0.0028782948904729384,0.028347917087904264
98,0.5696281406278564,0.002418650108465602,0.023943414502190483
99,0.5675713259389477,0.0023440820206716336,0.023323321621157758
100,0.5675517605586631,0.0023994683523489496,0.023994683523489498
101,0.5657473442718456,0.002357777147825201,0.023695367077964432
102,0.5656050176961824,0.0026615117691595213,0.026879951256135376
103,0.5638196134804965,0.002613213004412577,0.026521215418272102
104,0.5632382716372719,0.0023053690434675887,0.023510243477347936
