sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,0.7331049981560703,0.0592782624946856,0.13255022452619328
6,0.6869714344023449,0.028378040958940375,0.06951172024920535
7,0.6591404858524774,0.020951434394879148,0.05543228501893527
8,0.627868680202481,0.017097376261482812,0.048358682779969596
9,0.5987125171350614,0.013922116875809775,0.041766350627429324
10,0.5785161336040001,0.01410038346264159,0.04458932762371916
11,0.5772436869450054,0.014806494265844286,0.049107585940354234
12,0.5745281357177052,0.012205175188362536,0.042279967083045905
13,0.5781719313752599,0.009092740136111763,0.03278434079522037
14,0.569856232271575,0.010660695690247848,0.03988867077756498
15,0.556624681631935,0.010235729839414863,0.039642811204332086
16,0.5496576355400711,0.006749300609625995,0.02699720243850398
17,0.5461832863400604,0.005109851078539938,0.02106845572799649
18,0.546666897918276,0.0059393941840510224,0.025198715422094512
19,0.5416567204773284,0.005883810302643784,0.025646934512187722
20,0.5413081969925774,0.005378112901442035,0.024051652076586032
21,0.5399382526723816,0.004664231332202866,0.021374193138604353
22,0.5359714141019213,0.004547753101268837,0.021330852817977232
23,0.5312299375823015,0.0046504697631654145,0.02230286948840133
24,0.5344199093906472,0.005769744121176039,0.028265858086608496
25,0.5381097185323431,0.007084484655842914,0.03542242327921457
26,0.5367521039095362,0.007239774389854593,0.036915750887877866
27,0.5325398565939536,0.007435310377440076,0.038635006031311016
28,0.5365881759827686,0.0064660022520955296,0.03421486787165669
29,0.5320243446680736,0.006164540358889346,0.033197065792851206
30,0.5373764188513659,0.006302669935677573,0.03452114496280241
31,0.5379080503635257,0.006092748563962297,0.03392298832611307
32,0.5420069489012993,0.007351984076483088,0.04158910236525367
33,0.5403092890121455,0.006998406381318889,0.040202783883417866
34,0.5400354629245144,0.006173488662283508,0.035997315413148004
35,0.5333003059886796,0.005214080174978914,0.03084691431065326
36,0.5350273746130967,0.005620881268108527,0.033725287608651164
37,0.5300092929815138,0.0057252582086745425,0.03482538610800781
38,0.5242107802600039,0.005567098139589397,0.034317897727587414
39,0.5218133427167416,0.005520286583007454,0.034474178661467084
40,0.5223243692015938,0.005369111704523567,0.033957243996326894
41,0.5209667856860982,0.005321583191537662,0.03407475831525006
42,0.5216965502479135,0.0054035042567207245,0.03501870995055011
43,0.5205746909623619,0.00511289168411175,0.03352747289997773
44,0.5183530090564545,0.00504793721338216,0.03348422740412165
45,0.5188913081763783,0.005701378697255132,0.03824601099759501
46,0.5160173740641634,0.005979245648136266,0.04055321703582587
47,0.5105715624936848,0.004990169560410074,0.03421087890360658
48,0.5102816291717434,0.005145577994941905,0.03564961008619108
49,0.5100420224782527,0.005042679836291967,0.035298758854043766
50,0.5104484540921975,0.004829074458391184,0.03414671296383161
51,0.5086445732327918,0.005135291140832583,0.03667331414198605
52,0.506203915351018,0.004684686216976412,0.03378175272953574
53,0.5066795356799519,0.004990993054312491,0.036334977892030745
54,0.5048102739195951,0.004978827455784256,0.03658676035209241
55,0.5042360658326571,0.004872498227004601,0.03613541397948782
56,0.4995435633253254,0.005079594220050972,0.038012202470535876
57,0.5028914273668625,0.006032530858961046,0.04554460921081754
58,0.49884586123952823,0.005569614205956996,0.04241691807976486
59,0.4974559794226674,0.00540985305264213,0.04155386977189611
60,0.49532960253898406,0.005392944312720727,0.04177356702038276
61,0.49286365730724613,0.005012099088152848,0.039145745278857814
62,0.488112198834037,0.004443903323594462,0.03499132976133005
63,0.4844271547439716,0.0042505677648187,0.03373783570961389
64,0.481468893709616,0.003826455296159259,0.03061164236927407
65,0.4845438931383798,0.004043086296547967,0.032596403821383534
66,0.48181140005662176,0.0037500913124038455,0.030465885842860512
67,0.48594519415362303,0.0041770717188472336,0.03419080557217622
68,0.4818967904877164,0.0037379992931882516,0.030824331828598638
69,0.48364742338815747,0.0037864904577926232,0.03145295199341179
70,0.48258173530194226,0.0037221953230470537,0.0311421203774556
71,0.48168519524962294,0.0039651898869145176,0.03341128386622595
72,0.4803632924068003,0.003832905185032231,0.03252327897577643
73,0.4800429667073695,0.003158390519624859,0.026985300428850174
74,0.4766768466917276,0.003176916000032478,0.02732886477835138
75,0.4777471545692881,0.003426257679215718,0.02967226190112326
76,0.48042826872659095,0.0032174559081800925,0.028049130318109808
77,0.47767524823577395,0.003183519703894501,0.027935272028235363
78,0.47580746699122817,0.003113342330748863,0.027496294960189738
79,0.4735621169831008,0.00306560030694653,0.027247651533923105
80,0.4740135225356852,0.003405214184907657,0.03045716158160024
81,0.47223670821931607,0.003165463487142577,0.028489171384283193
82,0.47175760938770034,0.003213412547715198,0.029098688227284498
83,0.4735880644551642,0.003233846460107219,0.029461743379957734
84,0.47148355719466384,0.003170374614027668,0.029056963300296383
85,0.475119128153061,0.0031224798947735344,0.028787842206867816
86,0.4757483774590961,0.003345236811245438,0.031022449964578765
87,0.4756045342164231,0.0031733167858812848,0.02959872851744422
88,0.4745374136366068,0.0030175130884593036,0.028306781891165977
89,0.4757602922714589,0.003180249299344036,0.030002411885247868
90,0.4760248778096285,0.0029610753574913318,0.028091227359209808
91,0.47290244015379324,0.0024488228228735412,0.023360280880635763
92,0.4709328112930088,0.002853200108349227,0.027366934043880974
93,0.47126390883161645,0.0026642646073461768,0.025693237408120552
94,0.47204227293970025,0.0025156604455321228,0.02439023293981012
95,0.4740740035232959,0.002672027177910643,0.026043699386835307
96,0.4734011956090475,0.0026800189420134067,0.026258715635705858
97,0.4733213255988402,0.0029447136810864926,0.029002066312024427
98,0.4696354102001723,0.0025627508232836838,0.025369938798894206
99,0.46828938166931094,0.0024542836171333915,0.02441981366144318
100,0.46649925563755623,0.002404707412224618,0.02404707412224618
101,0.4654813362997344,0.0023567576393390384,0.02368512114448382
102,0.46541021075623046,0.002173825537943227,0.021954561755595223
103,0.46587870042229956,0.0023613835225343043,0.023965425313796154
104,0.46451490982372834,0.002567924149489565,0.02618779069534689
105,0.4650300216569576,0.002282643529413558,0.02339013586213698
106,0.46309984211073435,0.0023742108439838284,0.02444399672637809
107,0.4650240596515066,0.0024791350559075684,0.02564437242205375
108,0.46324177274244,0.0022818443693666765,0.023713622296248286
109,0.4634346738032793,0.0023414504815272206,0.024445460702580385
110,0.4636406287254832,0.0021117916744610643,0.022148657936668245
111,0.46282344360333505,0.002115342899253681,0.02228652035509244
112,0.46354085924826266,0.0022463130906188716,0.02377274321826573
113,0.4639361278392641,0.002165931539821558,0.023024168088704045
114,0.4646598830483731,0.0024047379908778968,0.02567557570423586
115,0.4650819704668355,0.0023137613584572835,0.024812326306643654
116,0.46209190329637984,0.0022856447037576592,0.024617146840578228
117,0.4615077007879783,0.0021626190456123444,0.02339230157475091
118,0.4622885558682849,0.00235664275198131,0.025599692910950964
119,0.46182582802106315,0.002433657427600508,0.02654806826333885
120,0.46286406943309705,0.002432706856078132,0.026648968417429333
121,0.46368130852868417,0.002443856308532242,0.026882419393854665
122,0.46384897106802025,0.0023977578051399186,0.026484100589548944
123,0.4632923236892255,0.0022151948328056263,0.024567699162040303
124,0.4607902008733629,0.0021928506449014995,0.024418551347382796
125,0.46245935376839575,0.0022639468582602894,0.025311695362585443
126,0.45867971082323045,0.0021889391945655143,0.024570781519635175
127,0.46245820863270604,0.0021468080520913703,0.0241932980635256
128,0.4572293906860736,0.002149023944391934,0.024313430464188778
129,0.4582125242395203,0.002137307561192037,0.024275147493590978
130,0.45827513148030763,0.0019269452947030864,0.02197055670530875
131,0.4571250836868441,0.0019943085848523473,0.02282590506073453
132,0.45481051075863144,0.0021042391870466676,0.02417586766657967
133,0.4558495241927022,0.0019904355808503583,0.022954822926816682
134,0.4572719001068072,0.0021933023079442884,0.025389309795276465
135,0.4552427848998318,0.0019645381390750827,0.022825870486881315
136,0.4556625115297114,0.0021100585573428994,0.024607299886346242
137,0.4563196692817697,0.001974655297946555,0.02311274768957708
138,0.4547579426668572,0.0017834034619437335,0.02095024704661163
139,0.4531680179706751,0.001912546471212025,0.022548590346889403
140,0.450528500751619,0.0016232755928243994,0.019206855834214945
141,0.45186803777425555,0.0018290420315525244,0.021718670774225474
142,0.4513936174543476,0.0018036185619201412,0.021492595659905963
143,0.4509490636167137,0.0017224985793519243,0.020598087141512046
144,0.45001151363872455,0.0017349031466230359,0.02081883775947643
145,0.45150065129533273,0.0017805451255186381,0.02144060253074028
146,0.45299758812591273,0.0017878251548101322,0.02160237353831966
147,0.45114398029767067,0.001679964624072852,0.0203684885866877
148,0.4495512354152561,0.0017356638810878792,0.021115262442146673
149,0.4478725509116295,0.0017163059699739453,0.02095018427610274
150,0.44825789035263597,0.0017973932720778386,0.022013481918510797
