,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
0,0,FEVNIE_CoRE,0.72,2586.6,1868.3,0.68,1.0,12.02,4.54,2.53
1,1,FEPLET_CSD17,1.37,0.0,0.0,0.42,0.31,4.04,3.19,0.16
2,2,TIQHEH_CoRE,1.59,0.0,0.0,0.21,0.24,4.93,3.44,0.13
3,3,FEJGEH_CSD17,0.64,4177.67,2686.06,0.77,1.19,6.11,5.45,3.14
4,4,YIXZAI_CSD17,1.57,548.69,861.32,0.5,0.32,7.93,7.27,0.36
5,5,LAXNEE_CSD17,1.07,892.7,955.73,0.51,0.48,5.9,4.5,0.25
6,6,CAKFIF_CoRE,1.94,0.0,0.0,0.11,0.19,3.64,2.91,0.0
7,7,YAXBOP_CoRE,1.13,1078.5,1213.5,0.53,0.52,6.03,5.79,0.55
8,8,HEFDON_CSD17,1.23,721.01,890.04,0.58,0.47,9.34,6.31,0.77
9,9,JEDSEQ_CSD17,1.01,776.37,787.75,0.54,0.54,8.51,3.9,0.52
10,10,KADHOO_CSD17,1.18,542.88,642.58,0.46,0.39,4.67,4.3,0.24
11,11,DIVPUU_CSD17,1.89,517.39,975.77,0.57,0.3,5.29,5.1,0.27
12,12,JUZXAD01_CSD17,1.54,196.67,303.55,0.42,0.27,4.46,4.16,0.01
13,13,OFIVOQ01_CSD17,0.77,2278.66,1748.83,0.65,0.85,8.24,6.46,1.82
14,14,LEJJUH_CSD17,1.36,0.0,0.0,0.37,0.27,3.83,1.32,0.0
15,15,LAGMUD_CoRE,1.13,1070.2,1213.0,0.54,0.51,4.81,3.83,0.56
16,16,IXOFEH_CSD17,0.96,1528.63,1461.45,0.63,0.66,7.1,6.67,0.64
17,17,BIVXEK_CoRE,1.42,0.0,0.0,0.27,0.3,4.38,3.14,0.22
18,18,MATVIN_CoRE,1.62,0.0,0.0,0.22,0.25,3.96,2.69,0.07
19,19,GAYTEH_CoRE,1.37,0.0,0.0,0.36,0.37,7.25,3.66,0.4
20,20,AWELIX_CSD17,0.71,2579.59,1844.08,0.7,0.98,8.57,7.68,3.03
21,21,SETDOM_CSD17,0.81,2368.9,1927.97,0.69,0.85,6.29,5.43,1.63
22,22,SOQDEI_CoRE,1.02,1417.7,1442.8,0.57,0.58,5.8,4.22,0.64
23,23,FAGCIA_CSD17,1.41,263.51,372.09,0.5,0.36,5.62,4.49,0.33
24,24,NIHCOX_CSD17,1.09,1659.17,1809.86,0.6,0.55,5.27,3.93,0.8
25,25,POWJER_CSD17,0.64,3679.84,2359.32,0.71,1.12,5.0,4.4,2.16
26,26,VEYPEW_CSD17,2.14,0.0,0.0,0.38,0.18,4.43,1.53,0.0
27,27,FUMJAA_CSD17,1.13,1631.52,1842.92,0.65,0.58,6.7,5.2,0.86
28,28,VETTIZ_CoRE,0.54,2059.6,1107.2,0.83,1.43,21.62,12.85,4.16
29,29,DIYDOG_CSD17,1.13,666.26,752.13,0.47,0.42,8.01,4.49,0.45
30,30,FUMGOL_CSD17,1.51,0.0,0.0,0.37,0.24,3.75,1.41,0.13
31,31,XUJCUA_CSD17,1.18,415.51,489.31,0.52,0.45,4.87,4.16,0.44
32,32,DUXKEN_CoRE,1.46,0.0,0.0,0.23,0.3,5.2,2.67,0.29
