sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.1577138696312907,1.6182715718596405
2,0.8289008478415864,0.9340683363348825
3,0.7084077185179507,0.6012057436794662
4,0.6196874954801586,0.5270477001580602
5,0.5863673484389271,0.43843235906484584
6,0.5427936172676938,0.4111752726956864
7,0.5063776447826198,0.37453332450678
8,0.471949579705085,0.334610399942345
9,0.460716049266713,0.31861726654968736
10,0.47128977964924906,0.29768595280773325
11,0.4614882839420543,0.29212190629382795
12,0.4257406986047114,0.2566310749758249
13,0.42719464251239386,0.24496480728414188
14,0.40471791409860763,0.22989275675260407
15,0.4155064908308643,0.22665765898639775
16,0.4045502079038748,0.215007496273384
17,0.3969584489012403,0.20211271802188638
18,0.37570562676872526,0.19723605431616503
19,0.38367475008033214,0.20411135961873042
20,0.38780097684902803,0.19305659729250174
21,0.3673227577770927,0.17679124911277658
22,0.3702069522976443,0.1789806897853757
23,0.3693442794225578,0.17079881442285214
24,0.3579337710690285,0.1659690245377395
25,0.34903305375609284,0.161031822754664
26,0.3649469790368208,0.15379681143930038
27,0.3533759859898793,0.15088158025161327
28,0.3488636517140382,0.1560003700831622
29,0.32696237075807794,0.1093214855229014
30,0.3344398041229163,0.11255606248087303
31,0.3145066634916834,0.10484518172702607
32,0.32318444032947136,0.10857662635513528
33,0.3317867695694523,0.1069012036309373
34,0.32089092588477897,0.10306627461106574
35,0.3136570219663637,0.09839306859571946
36,0.315629241359021,0.10208458410800673
37,0.3120055452010461,0.09581351825976944
38,0.2883266568769302,0.0901200473953471
39,0.28943955181299574,0.09257080608558771
40,0.28824838736440456,0.0872776375888048
41,0.27695637481766083,0.08427704565914924
42,0.2719479307479092,0.08327206364638422
43,0.269586372184035,0.08015923256532281
44,0.2768711447465632,0.08287897378397509
45,0.2807508975065845,0.08039088813598504
46,0.26627016691377914,0.0756435387521872
47,0.2787533037397744,0.0805609425033103
48,0.28084040340222416,0.08071557516677165
49,0.2752411619619067,0.07687171308920686
50,0.26694320262223475,0.07459526439569736
51,0.28040079832130244,0.07771626481350032
52,0.28018369998746284,0.07865756390105852
53,0.2774684555764709,0.07437479224931207
54,0.2702846913031701,0.07512865021524331
55,0.2831159368428801,0.070316696391352
56,0.27610303310145223,0.07275782889301988
57,0.27171406707373846,0.07013428714488162
58,0.2699373261619891,0.07212861093308197
59,0.2617625583302496,0.07056821212498265
60,0.25405556604558865,0.06793447701172486
61,0.2819577095952949,0.07189177898852293
62,0.2728061450347304,0.06848041863626628
63,0.27382917024175235,0.06963928309374307
64,0.2666470656436119,0.06712496436366235
65,0.28162637278437613,0.07018150353422194
66,0.2718162112989064,0.06717697998619993
67,0.2753754584837172,0.06612284151514315
68,0.25986823327865977,0.06403905217231819
69,0.24032326982915403,0.056301776996396505
70,0.24975097415849032,0.05719630034527085
71,0.2673527167183347,0.06390292109108374
72,0.243084023048436,0.055250671364680835
73,0.2595822222302002,0.05600261943697445
74,0.26733745751317056,0.056320896936879104
75,0.24273625090748205,0.05433837024114348
76,0.25929772187609756,0.0551463830537854
77,0.2525265627930473,0.053232403861495636
78,0.256781415517575,0.054115467651686074
79,0.25896224218167896,0.05372440420656543
80,0.24982060300478973,0.05316382903567914
81,0.2573350640597886,0.054636935270959065
82,0.2612678144002067,0.0553316899694853
83,0.23901916323229672,0.05162441982988294
84,0.25995090563861384,0.05297561087502319
85,0.24589404808783105,0.05182714012790877
86,0.2639534119234553,0.054605901619321245
87,0.24364141058855288,0.051140172865993365
88,0.2565118406023165,0.054737047276589644
89,0.252672991687698,0.05140045896568289
90,0.2425816972557721,0.04942915902260289
91,0.25686387147541556,0.05149315828013116
92,0.2536147357518119,0.051562080440524946
93,0.24928699001756363,0.04895868575339577
94,0.22848904131512557,0.04744109375951706
95,0.24012570716600332,0.04840216527399375
96,0.2486838930148099,0.04732588210587703
97,0.23644474651983804,0.048015855985656615
98,0.2292035084611603,0.046205609445390226
99,0.23444783481316905,0.045825588019251774
100,0.2439186731735369,0.04839917198101327
101,0.23004202413372696,0.046657437074290056
102,0.23953028770110438,0.04689106062874755
103,0.22998826967099945,0.04469257484905765
104,0.23923676715884354,0.04644052146085051
105,0.23141464537608303,0.044718117204823556
106,0.25452874278649684,0.047717208382180645
107,0.24029017190262678,0.04522173253607183
108,0.23258344358764588,0.04539802448449977
109,0.24402880551107228,0.046688445636180985
110,0.24353516091938526,0.04526332571586227
111,0.23535526322786293,0.04371240110109036
112,0.23824067467377918,0.04270083377947969
113,0.2420558402520671,0.043613127804271255
114,0.25847955912325,0.04517603813385488
115,0.2394754601462212,0.04396399867164607
116,0.2487461609201772,0.04484653932055271
117,0.24088175375695572,0.04599933550444693
118,0.24732644308943832,0.044755292899593284
119,0.25574468192990335,0.04404998953774538
120,0.23821923217230606,0.04639970002864288
121,0.23638846944964353,0.04297093487990023
122,0.24289407802080468,0.04317883438112218
123,0.23940294356910244,0.04428741493409941
124,0.24716277001478842,0.04218870216586711
125,0.23976507903475844,0.0435570624920188
126,0.24648399764512266,0.042703072633764126
127,0.2514414893995438,0.04379803509009125
128,0.24173046504067522,0.04319495750594814
129,0.2517179367771106,0.04485673386458191
130,0.24318031016404607,0.04251843103389471
131,0.2582883675553437,0.04376459096653773
132,0.24749498963143143,0.04262902006338137
133,0.23714110901153512,0.04056785536862596
134,0.2404068666127111,0.04340683033656093
135,0.2427382926621607,0.04264145395711828
136,0.24355044979322704,0.04230923337441057
137,0.23991875386504188,0.0405956791496052
138,0.23929744384344664,0.041942502007602245
139,0.23698475726055246,0.039685629996203876
