,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
0,0,KAFYAT_CoRE,1.63,0.0,0.0,0.24,0.28,3.69,2.81,0.37
1,1,FORTIR_CSD17,0.82,2285.23,1866.0,0.68,0.83,10.63,6.87,2.16
2,2,MNCITD_CSD17,1.42,0.0,0.0,0.48,0.34,4.06,1.86,0.44
3,3,XAPTUE_CoRE,1.47,781.7,1147.0,0.55,0.38,7.01,4.78,0.29
4,4,KUDWAJ_CSD17,0.89,1979.04,1756.82,0.66,0.74,7.34,6.28,1.51
5,5,RONCIG_CoRE,1.45,702.8,1021.1,0.4,0.4,9.09,7.63,0.91
6,6,WEHQEG_CSD17,1.13,962.34,1083.2,0.58,0.51,5.74,4.55,0.62
7,7,SERKEG_CSD17,1.42,800.15,1134.53,0.55,0.39,9.09,8.52,0.78
8,8,NISPEL_CoRE,1.33,645.3,856.9,0.39,0.4,5.69,3.92,0.25
9,9,HIHNUJ_CoRE,0.81,2771.6,2253.3,0.83,0.88,8.15,7.95,1.64
10,10,DACKEZ_CSD17,1.68,0.0,0.0,0.42,0.25,4.47,3.12,0.17
11,11,MIBQAR04_CoRE,0.59,3698.0,2186.95,0.81,1.37,15.09,7.96,4.91
12,12,LIWNIP_CSD17,1.44,376.28,540.31,0.49,0.34,4.89,4.27,0.38
13,13,OSILOS_CSD17,1.52,225.16,341.5,0.47,0.31,4.76,4.69,0.13
14,14,XALBIW_CoRE,0.87,1542.9,1341.4,0.58,0.73,12.14,7.81,1.57
15,15,TOHPOX_CSD17,0.84,1935.44,1631.3,0.64,0.76,6.24,4.33,1.1
16,16,HOVGIK_CSD17,1.13,877.18,990.1,0.54,0.48,5.93,4.23,0.56
17,17,HUGYOZ01_CSD17,1.31,0.0,0.0,0.54,0.42,5.07,3.69,0.46
18,18,DISTUU_CSD17,1.64,0.0,0.0,0.31,0.19,2.07,1.21,0.0
19,19,ENISUQ_CSD17,0.99,1593.22,1580.89,0.58,0.58,6.64,4.38,0.93
20,20,FOKMOJ_CSD17,1.4,436.9,612.75,0.47,0.34,5.62,3.9,0.07
21,21,PAQTOS_CSD17,1.33,227.2,301.71,0.5,0.37,5.13,4.32,0.19
22,22,DIRYUA_CSD17,0.85,1937.22,1648.05,0.67,0.79,7.28,6.7,1.5
23,23,NETHOJ_CoRE,1.68,671.9,1131.0,0.48,0.33,4.98,4.05,0.62
24,24,ZARMAI_CSD17,0.88,2343.61,2060.84,0.72,0.81,10.7,7.05,1.83
25,25,KOXFOU_CSD17,1.01,372.07,375.55,0.53,0.52,4.68,3.77,0.34
26,26,LOJFUL_CoRE,0.61,3011.9,1836.9,0.76,1.18,11.51,8.64,3.22
27,27,MUMLAJ_CSD17,1.93,0.0,0.0,0.38,0.2,3.71,2.25,0.27
28,28,YIHZAR_CSD17,0.68,3054.28,2076.01,0.71,1.04,6.12,4.66,1.9
29,29,YOYQUA_CSD17,1.08,667.23,723.79,0.52,0.48,6.74,5.14,0.28
30,30,COWXOC_CoRE,1.28,0.0,0.0,0.3,0.39,5.83,2.91,0.3
31,31,MICNES_CoRE,0.97,0.0,0.0,0.51,0.63,5.23,3.23,0.39
32,32,METPAC_CSD17,0.61,3601.55,2208.12,0.72,1.17,7.1,6.19,2.35
33,33,SOPPOD_CoRE,2.08,0.0,0.0,0.25,0.16,2.85,2.58,0.35
34,34,WATZAU_CSD17,1.26,100.74,126.67,0.46,0.37,4.31,3.89,0.18
35,35,ECEVIS_CSD17,1.22,204.91,249.34,0.54,0.44,4.34,3.75,0.5
36,36,NUSLAP_CSD17,0.98,1025.61,1003.54,0.57,0.58,5.64,4.04,0.67
37,37,VIPYOK_CoRE,1.54,306.8,473.9,0.32,0.29,4.56,3.89,0.13
38,38,FAYPEC_CSD17,0.75,2220.81,1656.29,0.69,0.92,11.31,4.78,2.27
39,39,ETEKEU_CoRE,1.16,1774.2,2062.6,0.68,0.56,6.74,5.18,1.07
40,40,OKIKAV_CSD17,0.9,2182.74,1963.61,0.64,0.71,5.62,4.25,0.8
41,41,TUVDIX_CoRE,1.46,0.0,0.0,0.33,0.34,7.27,3.21,0.25
42,42,PADNIS_CSD17,1.28,383.57,491.75,0.53,0.41,5.01,3.94,0.47
43,43,WIRBUW_CSD17,0.85,1921.26,1624.34,0.64,0.75,5.17,3.89,0.96
44,44,MASZUD_CoRE,1.47,592.9,871.3,0.41,0.37,6.16,3.77,0.51
45,45,QEWDON_CoRE,1.42,616.8,873.9,0.49,0.37,6.85,4.97,0.28
46,46,HIDBON_CoRE,1.63,0.0,0.0,0.19,0.26,3.58,2.82,0.12
47,47,IBASEL_CoRE,1.77,421.8,747.5,0.32,0.26,7.43,5.13,0.24
48,48,GAHWIX_CSD17,0.58,4111.95,2395.86,0.77,1.33,10.1,7.18,3.61
49,49,TEHRUU_CoRE,1.55,0.0,0.0,0.38,0.36,4.78,3.65,0.45
50,50,WIMXEX_CSD17,1.02,1408.17,1441.64,0.6,0.59,5.53,3.94,1.19
51,51,DIXDUK_CSD17,1.56,0.0,0.0,0.53,0.34,3.74,2.14,0.13
52,52,MENBOX04_CSD17,1.74,0.0,0.0,0.4,0.23,2.57,1.75,0.22
53,53,MODNIC_CoRE,1.36,0.0,0.0,0.47,0.49,5.25,3.7,1.04
54,54,MASQED_CSD17,1.43,119.16,170.53,0.47,0.33,4.38,4.01,0.1
55,55,GIYJAB_CSD17,0.95,1456.48,1379.75,0.59,0.62,7.17,5.42,0.84
56,56,WUNPIE_CSD17,0.41,7523.65,3080.18,0.86,2.11,7.99,7.19,7.94
57,57,FEDSOW_CSD17,0.75,3193.07,2399.37,0.72,0.96,6.15,5.13,2.12
58,58,VAKCOA_CSD17,1.52,0.0,0.0,0.46,0.3,5.91,1.87,0.2
59,59,SIPVOD_CoRE,2.21,0.0,0.0,0.08,0.17,3.92,3.3,0.16
60,60,OJICEQ_CoRE,0.84,1395.7,1168.1,0.57,0.76,11.97,11.07,1.78
