sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,0.6691425580637796,0.6689706792104007
2,0.6219856634650912,0.47370743781626656
3,0.5363125301429204,0.32741138572524403
4,0.4291077773571014,0.2598050660355626
5,0.40706772928578505,0.21913520833514244
6,0.3420859951632363,0.170786764020538
7,0.3485237390824727,0.16002812515443746
8,0.3022255708064352,0.1368341577158355
9,0.31351368766171595,0.13005039286334183
10,0.3309781546166966,0.12763394036200093
11,0.2864204033357756,0.12166068157769241
12,0.3007484686544964,0.1160266127261587
13,0.2888188888175148,0.11634783772360202
14,0.29775723981857305,0.10590823313280355
15,0.27919970013414114,0.10542385987158183
16,0.2666748787675585,0.1020159727046626
17,0.2550765609060014,0.09505312001942594
18,0.20349626040458677,0.04509797751517835
19,0.21550185053689142,0.04761032520570977
20,0.24365813148021698,0.052949224756900115
21,0.21329450035095215,0.042806189351223
22,0.2225222556420735,0.04241310926520692
23,0.19697671859604973,0.03640155442297503
24,0.18018249217953,0.03349282865126338
25,0.18821199296201976,0.03455253736183617
26,0.17262290319374635,0.029005180990857016
27,0.14882838228770665,0.02668286895629978
28,0.15554962113925394,0.024081897870920035
29,0.14261608657666616,0.026467897753401318
30,0.16433767345121933,0.027963140503758237
31,0.17013555118015836,0.024818622846338623
32,0.16327836344923294,0.025914976778830607
33,0.14042495468684607,0.025426469872725323
34,0.1533159351348877,0.02389174232274457
