,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
0,0,BICVOZ_CSD17,0.68,2568.96,1747.22,0.73,1.08,10.15,9.65,3.08
1,1,OFORUX_CSD17,1.4,299.72,418.63,0.47,0.33,5.52,5.07,0.49
2,2,ILIXIL_CSD17,0.61,3692.54,2234.98,0.79,1.31,12.33,7.61,4.36
3,3,FOQLAZ_CSD17,0.43,3363.5,1457.1,0.85,1.96,12.8,12.08,7.13
4,4,WOCWAN_CSD17,1.37,563.02,770.32,0.46,0.34,5.81,5.5,0.25
5,5,NASDIW_CSD17,1.52,636.98,968.82,0.45,0.3,4.93,4.59,0.21
6,6,VEQBUP_CoRE,1.82,0.0,0.0,0.16,0.23,5.4,3.67,0.22
7,7,XEXLUJ_CSD17,1.12,1113.45,1248.54,0.56,0.5,8.69,8.13,0.91
8,8,HOCHEM_CSD17,0.84,2905.31,2436.32,0.72,0.86,8.59,6.47,2.17
9,9,PEVXAQ_CoRE,1.21,0.0,0.0,0.26,0.39,5.0,3.64,0.06
10,10,ROGROV_CSD17,0.93,1904.46,1765.4,0.74,0.8,8.47,8.16,2.78
11,11,ZEZQAY_CoRE,1.26,1068.4,1341.5,0.54,0.46,6.86,4.76,0.71
12,12,JEMQEY_CoRE,1.75,0.0,0.0,0.06,0.2,3.33,2.61,0.0
13,13,LUFMOO_CSD17,1.58,499.73,790.35,0.53,0.34,5.05,4.22,0.4
14,14,FATLUJ_CoRE,1.21,745.4,901.6,0.36,0.43,5.42,4.29,0.4
15,15,FEQVIH_CSD17,0.84,1857.89,1558.4,0.64,0.76,6.4,4.57,0.87
16,16,CAGBIX_CSD17,1.11,1043.14,1153.56,0.56,0.51,6.6,5.17,0.8
17,17,QOWBUA_UM,0.96,1302.74,1959.81,0.49,0.51,5.0,4.2,0.89
18,18,POZNEZ_CSD17,1.07,139.67,148.79,0.52,0.49,5.41,3.75,0.45
19,19,KEFYUR_CSD17,0.97,1955.93,1900.63,0.7,0.72,7.18,5.36,2.0
20,20,CAXBIO_CSD17,1.33,0.0,0.0,0.4,0.3,3.73,1.46,0.04
21,21,TAFCIO_CoRE,1.58,0.0,0.0,0.14,0.25,5.01,2.87,0.07
22,22,AFOVAT_CoRE,1.04,1441.9,1500.6,0.62,0.59,8.33,6.55,1.11
23,23,QUPZAC_CoRE,1.83,0.0,0.0,0.14,0.23,4.03,2.49,0.03
24,24,EGATOW_CoRE,1.21,1358.9,1641.8,0.64,0.51,5.97,5.11,1.03
25,25,CUSPEM_CSD17,1.14,535.95,613.2,0.5,0.44,5.47,3.94,0.34
26,26,PULDOQ_CoRE,3.35,0.0,0.0,0.21,0.12,4.37,2.48,0.29
27,27,WERCAX_CSD17,0.48,5848.55,2800.8,0.82,1.71,8.38,6.67,5.97
28,28,ROCZUG_CSD17,0.85,2782.74,2361.81,0.73,0.85,7.92,6.37,1.95
29,29,DOMFOC_CSD17,1.17,525.58,614.55,0.53,0.45,8.26,5.78,0.55
30,30,MEGBEH_CSD17,0.93,2114.07,1970.08,0.72,0.77,9.95,6.82,2.03
31,31,NEVLAC_CSD17,1.41,1400.69,1979.05,0.65,0.46,6.81,5.86,0.95
32,32,IJEFUZ_CSD17,0.94,2102.52,1972.6,0.66,0.7,6.28,5.4,1.61
33,33,TEDSIG_CoRE,1.15,0.0,0.0,0.41,0.46,5.46,3.36,0.17
34,34,YUPSIM_CSD17,1.66,326.38,542.29,0.45,0.27,5.52,4.61,0.4
35,35,GOZNEQ_CSD17,0.78,3130.11,2451.07,0.73,0.93,6.73,4.78,2.24
36,36,XAGDAL_CoRE,2.14,0.0,0.0,0.31,0.2,5.31,2.63,0.14
37,37,NERNIH_CSD17,0.96,1598.47,1537.22,0.62,0.65,6.88,6.11,1.01
