sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.3027138207980564,2.169546262472871
2,0.9119726532016482,0.9881818160159629
3,0.7318308730551174,0.7521671836145957
4,0.6617557442315987,0.6277015454824983
5,0.5559309767340975,0.5382292285024366
6,0.48319948556646697,0.46784083416290684
7,0.47247785864344666,0.4226793569999941
8,0.46888678022793356,0.388643278584483
9,0.4519582184340272,0.364134599054061
10,0.4579790323589529,0.3463988637586872
11,0.4493007298197065,0.33460700477359745
12,0.4349779783955642,0.31705293830130277
13,0.4500665946794408,0.3058433858523619
14,0.443107912878905,0.29624075352705387
15,0.43460311340434205,0.2846793487333306
16,0.4288525249691946,0.2734763471463276
17,0.42248084884615883,0.26552686603612774
18,0.430973575958716,0.26199756212759956
19,0.41336613066614203,0.2541131957963736
20,0.41384328869570575,0.24677726846984155
21,0.4287348918419863,0.24029141005263482
22,0.41727198196787924,0.23636355827194097
23,0.4028235092946727,0.22521756530282927
24,0.39362995025435726,0.22161115274026208
25,0.3763869171256997,0.21340274285776872
26,0.354582867924124,0.18202569264900312
27,0.3513752503693104,0.17716341225474405
28,0.3483199540847646,0.17591946851764004
29,0.3462171136335071,0.17435054278486892
30,0.3427033856049446,0.16991696559060027
31,0.35118691513602557,0.16391944963186153
32,0.34159781932963856,0.1616485651436884
33,0.3515149958663554,0.16447266227536186
34,0.34878692248064497,0.16041263016858057
35,0.3466828223273956,0.1551183853195806
36,0.3571663532801571,0.15620181910896502
37,0.35142506869669465,0.15203381534672622
38,0.352253832318953,0.15019494642797804
39,0.3448807071621995,0.14753991397453078
40,0.35050375955418817,0.14587061707134066
41,0.34998232250663985,0.1438896550619663
42,0.3508743663656391,0.14319384094289173
43,0.3544153150422498,0.1417918768110823
44,0.3435323895625769,0.1398722946937939
45,0.3453367006757429,0.13827050758322232
46,0.34739097286122184,0.13818003456470812
47,0.34290374103188503,0.13696702884656828
48,0.3480077398847788,0.1359075688631855
49,0.3498916057015635,0.1343308066316475
50,0.34975948554117753,0.13142488854020662
51,0.31904574101444866,0.12981680383997793
52,0.27571179037142013,0.08192715828846601
53,0.28519989973602683,0.0851503455017454
54,0.28198192662931976,0.08063255269557787
55,0.29338094935296766,0.08140663113069968
56,0.27998766691916216,0.08136997626734185
57,0.28587120609012034,0.07934171943052454
58,0.2645969353117315,0.07825766545211713
59,0.2633007625159142,0.07787753210219069
60,0.2624661881543164,0.07467247668308803
61,0.26853697359522005,0.07612413328491983
62,0.26134634973481297,0.07544260143815885
63,0.2656057025867381,0.07050758417347014
64,0.2609034443361951,0.06687035863430207
65,0.2531369693106306,0.06636855131020877
66,0.2713818256022475,0.0713449868588819
67,0.2638006668042258,0.06579160151403846
68,0.26597946904732706,0.06698084202903104
69,0.2571436060821371,0.06727112229603249
70,0.2484055475480855,0.05970117929219935
71,0.24379804777500352,0.0584190071141752
72,0.2601525346737887,0.058867532389076604
73,0.2538894663687263,0.06157567048112668
74,0.2508970473786549,0.06016460196014404
75,0.23581690408023337,0.055481656093982146
76,0.25634960583065236,0.05926801332201329
77,0.2349210018701851,0.05551878051916932
78,0.23978097309118931,0.05531087934462093
79,0.23731328118858588,0.054091082886435986
80,0.24370961399246463,0.057628870858087954
81,0.24427899952641954,0.054968239224271
82,0.24349635587492954,0.055703371939904725
83,0.2420534477630364,0.05263875169634377
84,0.2552894052953259,0.0579131678050864
85,0.24928699198924004,0.05086359304294823
86,0.2511347282886771,0.0567682884349485
87,0.2543812364475535,0.054012699173362134
88,0.25954400624467855,0.055770417341879285
89,0.2522590009502268,0.05685902141993645
90,0.24947069610229558,0.053914258943339566
91,0.24234747807814605,0.05281362522125611
92,0.25356216537446846,0.05369174878171223
93,0.24428233768311994,0.0527850060791001
94,0.25572095241876586,0.05138032868933452
95,0.2546173654994262,0.05108258578796431
96,0.24232947225828783,0.049005141787894314
97,0.24559997567343603,0.04998494346121514
98,0.25133188584699695,0.0520850545287119
99,0.24282462856559348,0.04936200920768635
100,0.24732545723300428,0.047377854527072494
101,0.24770408494384688,0.05162367835173694
102,0.2548213179750102,0.04879026227658607
103,0.25514693575485475,0.0485872701614132
104,0.25207020715683964,0.049040663502416475
105,0.253710985946286,0.04654603267606055
106,0.25052530356523184,0.045818401878963265
107,0.2506766070321734,0.048474608839510665
108,0.24787559628273753,0.050092664473312634
109,0.24697630945965646,0.04810940138227971
110,0.23384162563085553,0.044579255018160235
111,0.25118945204020876,0.04886436379150858
112,0.25145102395649466,0.04561256084504986
113,0.25261848943680526,0.04742765430971369
114,0.24479924829623526,0.045877484838291245
115,0.24884910529372947,0.04691120024012886
116,0.2630086191714342,0.04766500908622887
117,0.2501174069879843,0.04784550448932308
118,0.2343427939582616,0.04458841221025285
119,0.2478159823722339,0.04871243266084945
120,0.23751678221632858,0.04467512393085763
121,0.242122739286295,0.0433396257061368
122,0.24393613115804536,0.04347342281599202
123,0.2399850092719176,0.04312901486925963
124,0.24525311623952745,0.0455401305336701
125,0.2327539389081565,0.04227141833010825
126,0.23845842100999184,0.0436198812623993
127,0.24645550718876927,0.04451045356811334
128,0.24082245759240217,0.044193175760872457
129,0.23981218154874762,0.044000182744692286
130,0.23645656089085554,0.042339548458867664
131,0.24966725917426602,0.045235496460196874
132,0.24071447054908743,0.04264586890763651
133,0.240102790011093,0.04332409545418428
134,0.25232874974927727,0.04445232843540906
135,0.24781312782956025,0.04304881182179862
136,0.25388482450520883,0.04585933399060891
137,0.24570375644708317,0.041461208112972846
138,0.23368032762275207,0.039911560335147686
139,0.25415994369345046,0.04358989376181269
