sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.360155393539692,3.170852664154232
2,3.953592983516524,2.0000166373617647
3,3.936655213729273,1.720614126035938
4,3.387994703027269,1.3574960152078914
5,3.541348141042915,1.2972396283917558
6,3.2693356577095836,1.1058179598062365
7,3.3229497731135478,1.115712633911116
8,3.206047502479376,1.0765201221720546
9,2.7713832359365003,0.9309268161018865
10,2.824107842051972,0.9095623168602538
11,2.696852897747785,0.7898169562936791
12,2.4196142094660718,0.6822700387737792
13,2.6117821823551908,0.6834445084330277
14,2.4875227930999246,0.6292446007809284
15,2.420603105143464,0.55190812102158
16,2.392068200055363,0.5740032199598913
17,2.2972096058002274,0.5549418229741108
18,2.4674638519359777,0.5512112699173798
19,2.2721238071413907,0.5013359725258372
20,2.1664816539728275,0.47458990695209086
21,2.0264178018511605,0.45741248771168946
22,2.097202273379451,0.46912389399162113
23,1.9921725829811776,0.4191535267013321
24,1.9754650607529396,0.41416793584693573
25,1.9091657876062849,0.3894760565019311
26,1.83458848509533,0.37738386222060855
27,1.8207107387275283,0.3557095978362452
28,1.8443601570964923,0.3681034989739038
29,1.7696445541025518,0.33175557684430035
30,1.7322975130376872,0.2867225653415663
31,1.7598279021214092,0.28837518089067277
32,1.7152348547462044,0.29860638336403494
33,1.584017494160126,0.2645344997447452
34,1.4999901455973574,0.24455017900407655
35,1.4747751601525352,0.23216046361918066
36,1.470000481105959,0.23777499833384988
37,1.4205345235675257,0.21968853906957822
38,1.2412192661891686,0.19282886462832433
39,1.2511829270046075,0.18781761524396315
40,1.2233459340446988,0.18241917663037557
41,1.2038333261283458,0.18986214035199078
42,1.1557622790399953,0.15490832627061116
43,1.126976137133684,0.16008144141645148
44,1.0930218216769658,0.14913881608542962
45,1.1058016493641607,0.14953184815073362
46,1.055605764124963,0.14799902855921887
47,1.0832880767079267,0.1505507144179304
48,1.0649055236430236,0.1440751544620373
49,1.0387908475789065,0.1385476975173669
50,1.0511444856316108,0.13368091623152292
51,1.023420438215048,0.1309654684721442
52,1.030437379534978,0.12940326015716938
53,1.0100534128664402,0.13127802813952713
54,0.9759361560766217,0.12179412015043277
55,0.9892292170523806,0.13105940799302182
56,0.9967683390699226,0.13792053583161984
57,0.9533906035942111,0.11692637916951226
58,0.9411836135679094,0.12422888113456178
59,0.9744801399296669,0.1299202921794817
60,0.9624280644076111,0.12564152746990526
61,0.9369465733491609,0.11784774326334091
62,0.9537678722363294,0.125628310192463
63,0.9814490262577686,0.1281474459144928
64,1.0090046211653743,0.12997055578260044
65,0.9526003771939279,0.11965854628205373
66,0.9626008213711641,0.12087829902085638
67,1.0181540572827965,0.12733697234810495
68,0.9741146536563405,0.12145159208193097
69,0.9536036363065187,0.11121998834528977
