sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.081936463931658,4.108350073960459
2,3.9148977970446848,2.5639754543325917
3,3.5387014595727355,1.9317083712503056
4,3.6199793162608125,1.7051446822303955
5,3.5702325552039356,1.2820290550429378
6,2.9074076430162177,0.793203329129475
7,2.894318128947678,0.7339294839493604
8,2.9976484541623307,0.7562769012975241
9,3.0104174154590853,0.7306807729579846
10,3.5728528056470474,0.9463150734591387
11,3.44446713661733,0.8637758429729342
12,3.5833258980877924,0.8745803275544134
13,3.6858353937153296,0.8364467587766498
14,3.5410833102524415,0.8357231759979162
15,3.429255909422562,0.7846805688059917
16,3.2124149034062843,0.7301584631101983
17,3.2850415247478,0.7189740663425531
18,3.3195087199180042,0.6989941943296731
19,3.1868708627859794,0.6665305712087854
20,3.1374056059538824,0.664923846290787
21,2.901233672952715,0.5943580132512299
22,3.297561472695081,0.6416253772735931
23,3.0884573981147394,0.6217252893541388
24,2.8008567331273913,0.5206604749063262
25,2.92613028003668,0.5512799896937847
26,2.916579176636974,0.5278323962516637
27,3.099790939045822,0.5924141057180308
28,2.7585429270266397,0.48722205667430013
29,2.775989308803878,0.4939618058564574
30,3.3389359827561753,0.5963140964833097
31,3.301444936068419,0.5680580241466707
32,3.120034662296719,0.531732967681704
33,3.269651680563835,0.530090318008962
34,3.2248468688437333,0.5433493560324542
35,3.091573053604967,0.5073146818463967
36,2.662252527989473,0.4195516709030565
37,2.5684836436906964,0.45414406329615226
38,2.6024996261495428,0.44449111457075
39,2.2698154890923745,0.3581040498074448
40,2.3851658672983103,0.37315850669898
41,2.4574154647993205,0.3967538203120361
42,2.2038152311409873,0.3122783059850006
43,2.2237171525180024,0.30471918911367346
44,2.3139849168456945,0.3250714072218703
45,2.2592274731433286,0.3162884959774097
46,2.201306466900195,0.31736032521792007
47,1.7420073066211579,0.24806012239938355
48,1.743410874464254,0.2529077015525856
49,1.711213042916987,0.2468840428168273
50,1.6932652136272996,0.23081544199079146
51,1.395358815316574,0.17914405710250483
52,1.3913729014482534,0.1903921497055359
53,1.3498838804785476,0.17513901442790916
54,1.2912962649105444,0.17253159142532512
55,1.2113403448759714,0.15642702426415847
56,1.2558612565107576,0.15792224034677763
57,1.128817148262564,0.12014492710913863
58,1.1321136698452832,0.1272942274792176
59,1.1374079698499064,0.1318431600577097
60,1.1363738715979663,0.12900165622361318
61,1.0706782753033663,0.12805853079370785
62,1.1004840398957556,0.12653382166677252
63,1.062200114464684,0.11798950144622963
64,1.0497610206807537,0.11273158088806219
65,1.006077371628247,0.10978806833073361
66,1.0076223814138257,0.1235575583097532
67,0.9687036117387718,0.12438820736566432
68,0.9586472217789512,0.11296777125437577
69,0.9872727069994135,0.11807225376661068
